Scale,Algorithm,Mean,Std,Improvement_vs_CCHIHH_pct,Wilcoxon_p
T100,CCHIHH,0.341471,0.00118,,
T100,DSAC-DE,0.324979,0.001958,-5.07,0.001953
T100,CGA,0.353245,0.001514,3.33,0.001953
T100,IMOMA,0.377472,0.001463,9.54,0.001953
T100,PPO,0.351,0.0,2.71,0.001953
T200,CCHIHH,0.036077,0.002096,,
T200,DSAC-DE,0.047121,0.001611,23.44,0.001953
T200,CGA,0.049487,0.001094,27.10,0.001953
T200,IMOMA,0.057598,0.001613,37.36,0.001953
T200,PPO,0.041,0.0,12.01,0.001953
T500,CCHIHH,0.028134,0.006629,,
T500,DSAC-DE,0.038472,0.012917,26.87,0.001953
T500,CGA,0.039213,0.000877,28.25,0.003906
T500,IMOMA,0.046502,0.001374,39.50,0.001953
T500,PPO,0.031,0.0,9.25,0.083984
