problem,algorithm,seed,final_fitness
T100,CCHIHH-full,1,0.342629
T100,CCHIHH-full,2,0.341934
T100,CCHIHH-full,3,0.341832
T100,CCHIHH-full,4,0.343752
T100,CCHIHH-full,5,0.34173
T100,CCHIHH-full,6,0.341669
T100,CCHIHH-full,7,0.342425
T100,CCHIHH-full,8,0.340791
T100,CCHIHH-full,9,0.343589
T100,CCHIHH-full,10,0.342792
T100,CCHIHH-noCC,1,0.348102
T100,CCHIHH-noCC,2,0.344712
T100,CCHIHH-noCC,3,0.351615
T100,CCHIHH-noCC,4,0.361623
T100,CCHIHH-noCC,5,0.358539
T100,CCHIHH-noCC,6,0.353698
T100,CCHIHH-noCC,7,0.357436
T100,CCHIHH-noCC,8,0.344365
T100,CCHIHH-noCC,9,0.353719
T100,CCHIHH-noCC,10,0.354454
T100,CCHIHH-noHI,1,REQUIRES RERUN
T100,CCHIHH-noHI,2,REQUIRES RERUN
T100,CCHIHH-noHI,3,REQUIRES RERUN
T100,CCHIHH-noHI,4,REQUIRES RERUN
T100,CCHIHH-noHI,5,REQUIRES RERUN
T100,CCHIHH-noHI,6,REQUIRES RERUN
T100,CCHIHH-noHI,7,REQUIRES RERUN
T100,CCHIHH-noHI,8,REQUIRES RERUN
T100,CCHIHH-noHI,9,REQUIRES RERUN
T100,CCHIHH-noHI,10,REQUIRES RERUN
T100,CCHIHH-noCB,1,0.356599
T100,CCHIHH-noCB,2,0.353637
T100,CCHIHH-noCB,3,0.354597
T100,CCHIHH-noCB,4,0.354883
T100,CCHIHH-noCB,5,0.355741
T100,CCHIHH-noCB,6,0.354577
T100,CCHIHH-noCB,7,0.355843
T100,CCHIHH-noCB,8,0.3557
T100,CCHIHH-noCB,9,0.359785
T100,CCHIHH-noCB,10,0.354883
T100,CCHIHH-noMig,1,0.34992
T100,CCHIHH-noMig,2,0.347122
T100,CCHIHH-noMig,3,0.351084
T100,CCHIHH-noMig,4,0.348674
T100,CCHIHH-noMig,5,0.347449
T100,CCHIHH-noMig,6,0.347469
T100,CCHIHH-noMig,7,0.352003
T100,CCHIHH-noMig,8,0.34894
T100,CCHIHH-noMig,9,0.347939
T100,CCHIHH-noMig,10,0.347469
T100,CCHIHH-noGate,1,0.342567
T100,CCHIHH-noGate,2,0.34077
T100,CCHIHH-noGate,3,0.341526
T100,CCHIHH-noGate,4,0.343487
T100,CCHIHH-noGate,5,0.340831
T100,CCHIHH-noGate,6,0.341281
T100,CCHIHH-noGate,7,0.340648
T100,CCHIHH-noGate,8,0.341587
T100,CCHIHH-noGate,9,0.342036
T100,CCHIHH-noGate,10,NOT FOUND
T100,GA,1,REQUIRES RERUN
T100,GA,2,REQUIRES RERUN
T100,GA,3,REQUIRES RERUN
T100,GA,4,REQUIRES RERUN
T100,GA,5,REQUIRES RERUN
T100,GA,6,REQUIRES RERUN
T100,GA,7,REQUIRES RERUN
T100,GA,8,REQUIRES RERUN
T100,GA,9,REQUIRES RERUN
T100,GA,10,REQUIRES RERUN
T100,DE,1,REQUIRES RERUN
T100,DE,2,REQUIRES RERUN
T100,DE,3,REQUIRES RERUN
T100,DE,4,REQUIRES RERUN
T100,DE,5,REQUIRES RERUN
T100,DE,6,REQUIRES RERUN
T100,DE,7,REQUIRES RERUN
T100,DE,8,REQUIRES RERUN
T100,DE,9,REQUIRES RERUN
T100,DE,10,REQUIRES RERUN
T100,Gbest-DE,1,0.352412
T100,Gbest-DE,2,0.351983
T100,Gbest-DE,3,NOT FOUND
T100,Gbest-DE,4,0.351043
T100,Gbest-DE,5,0.351227
T100,Gbest-DE,6,0.351002
T100,Gbest-DE,7,0.350104
T100,Gbest-DE,8,NOT FOUND
T100,Gbest-DE,9,0.351615
T100,Gbest-DE,10,0.349471
T100,CGA,1,0.354537
T100,CGA,2,0.353453
T100,CGA,3,0.352494
T100,CGA,4,0.352719
T100,CGA,5,0.351717
T100,CGA,6,0.350839
T100,CGA,7,0.354413
T100,CGA,8,0.355782
T100,CGA,9,0.352207
T100,CGA,10,0.354286
T100,IMOMA,1,0.37835
T100,IMOMA,2,0.376144
T100,IMOMA,3,0.377043
T100,IMOMA,4,0.377288
T100,IMOMA,5,0.376491
T100,IMOMA,6,0.380004
T100,IMOMA,7,0.377165
T100,IMOMA,8,0.378329
T100,IMOMA,9,0.37498
T100,IMOMA,10,0.378922
T100,PPO,1,0.3873770469
T100,PPO,2,0.3874587416
T100,PPO,3,0.3885411966
