problem,run,gate_blocked_total,gate_fallback_total,notes
T100,1,3702,3702,仅有 overall total；无 per-block / gate_open 原始日志
T100,2,4839,4839,仅有 overall total；无 per-block / gate_open 原始日志
T100,3,4331,4331,仅有 overall total；无 per-block / gate_open 原始日志
T100,4,2867,2867,仅有 overall total；无 per-block / gate_open 原始日志
T100,5,3509,3509,仅有 overall total；无 per-block / gate_open 原始日志
T100,6,3624,3624,仅有 overall total；无 per-block / gate_open 原始日志
T100,7,3750,3750,仅有 overall total；无 per-block / gate_open 原始日志
T100,8,3407,3407,仅有 overall total；无 per-block / gate_open 原始日志
T100,9,4417,4417,仅有 overall total；无 per-block / gate_open 原始日志
T100,10,3616,3616,仅有 overall total；无 per-block / gate_open 原始日志
T200,1,4729,4729,仅有 overall total；无 per-block / gate_open 原始日志
T200,2,20431,20431,仅有 overall total；无 per-block / gate_open 原始日志
T200,3,18308,18308,仅有 overall total；无 per-block / gate_open 原始日志
T200,4,3968,3968,仅有 overall total；无 per-block / gate_open 原始日志
T200,5,9128,9128,仅有 overall total；无 per-block / gate_open 原始日志
T200,6,15334,15334,仅有 overall total；无 per-block / gate_open 原始日志
T200,7,15861,15861,仅有 overall total；无 per-block / gate_open 原始日志
T200,8,4924,4924,仅有 overall total；无 per-block / gate_open 原始日志
T200,9,12861,12861,仅有 overall total；无 per-block / gate_open 原始日志
T200,10,8741,8741,仅有 overall total；无 per-block / gate_open 原始日志
T500,1,7146,7146,仅有 overall total；无 per-block / gate_open 原始日志
T500,2,12338,12338,仅有 overall total；无 per-block / gate_open 原始日志
T500,3,20154,20154,仅有 overall total；无 per-block / gate_open 原始日志
T500,4,15252,15252,仅有 overall total；无 per-block / gate_open 原始日志
T500,5,20165,20165,仅有 overall total；无 per-block / gate_open 原始日志
T500,6,6746,6746,仅有 overall total；无 per-block / gate_open 原始日志
T500,7,23526,23526,仅有 overall total；无 per-block / gate_open 原始日志
T500,8,13542,13542,仅有 overall total；无 per-block / gate_open 原始日志
T500,9,5775,5775,仅有 overall total；无 per-block / gate_open 原始日志
T500,10,19062,19062,仅有 overall total；无 per-block / gate_open 原始日志
