problem,run,generation_window,block,operator,selection_count,selection_probability
T500,1,0-50,offload,GA,37,0.0925
T500,1,0-50,offload,DE,302,0.755
T500,1,0-50,offload,BITFLIP,46,0.115
T500,1,0-50,offload,RESAMPLE,15,0.0375
T500,1,0-50,seq,GA,101,0.2525
T500,1,0-50,seq,SWAP,285,0.7125
T500,1,0-50,seq,VNS,9,0.0225
T500,1,0-50,seq,RESAMPLE,5,0.0125
T500,1,0-50,dev,DE,140,0.35
T500,1,0-50,dev,GDE,242,0.605
T500,1,0-50,dev,LEVY,10,0.025
T500,1,0-50,dev,RESAMPLE,8,0.02
T500,1,50-100,offload,GA,77,0.1925
T500,1,50-100,offload,DE,228,0.57
T500,1,50-100,offload,BITFLIP,67,0.1675
T500,1,50-100,offload,RESAMPLE,28,0.07
T500,1,50-100,seq,GA,353,0.8825
T500,1,50-100,seq,SWAP,31,0.0775
T500,1,50-100,seq,VNS,12,0.03
T500,1,50-100,seq,RESAMPLE,4,0.01
T500,1,50-100,dev,DE,213,0.5325
T500,1,50-100,dev,GDE,155,0.3875
T500,1,50-100,dev,LEVY,28,0.07
T500,1,50-100,dev,RESAMPLE,4,0.01
T500,1,100-150,offload,GA,65,0.1625
T500,1,100-150,offload,DE,319,0.7975
T500,1,100-150,offload,BITFLIP,16,0.04
T500,1,100-150,offload,RESAMPLE,0,0.0
T500,1,100-150,seq,GA,288,0.72
T500,1,100-150,seq,SWAP,103,0.2575
T500,1,100-150,seq,VNS,9,0.0225
T500,1,100-150,seq,RESAMPLE,0,0.0
T500,1,100-150,dev,DE,191,0.4775
T500,1,100-150,dev,GDE,138,0.345
T500,1,100-150,dev,LEVY,70,0.175
T500,1,100-150,dev,RESAMPLE,1,0.0025
T500,1,150-200,offload,GA,110,0.275
T500,1,150-200,offload,DE,287,0.7175
T500,1,150-200,offload,BITFLIP,3,0.0075
T500,1,150-200,offload,RESAMPLE,0,0.0
T500,1,150-200,seq,GA,238,0.595
T500,1,150-200,seq,SWAP,159,0.3975
T500,1,150-200,seq,VNS,3,0.0075
T500,1,150-200,seq,RESAMPLE,0,0.0
T500,1,150-200,dev,DE,50,0.125
T500,1,150-200,dev,GDE,301,0.7525
T500,1,150-200,dev,LEVY,49,0.1225
T500,1,150-200,dev,RESAMPLE,0,0.0
T500,1,200-250,offload,GA,114,0.285
T500,1,200-250,offload,DE,277,0.6925
T500,1,200-250,offload,BITFLIP,9,0.0225
T500,1,200-250,offload,RESAMPLE,0,0.0
T500,1,200-250,seq,GA,228,0.57
T500,1,200-250,seq,SWAP,170,0.425
T500,1,200-250,seq,VNS,2,0.005
T500,1,200-250,seq,RESAMPLE,0,0.0
T500,1,200-250,dev,DE,35,0.0875
T500,1,200-250,dev,GDE,360,0.9
T500,1,200-250,dev,LEVY,3,0.0075
T500,1,200-250,dev,RESAMPLE,2,0.005
T500,1,250-300,offload,GA,125,0.3125
T500,1,250-300,offload,DE,214,0.535
T500,1,250-300,offload,BITFLIP,42,0.105
T500,1,250-300,offload,RESAMPLE,19,0.0475
T500,1,250-300,seq,GA,238,0.595
T500,1,250-300,seq,SWAP,159,0.3975
T500,1,250-300,seq,VNS,3,0.0075
T500,1,250-300,seq,RESAMPLE,0,0.0
T500,1,250-300,dev,DE,87,0.2175
T500,1,250-300,dev,GDE,308,0.77
T500,1,250-300,dev,LEVY,5,0.0125
T500,1,250-300,dev,RESAMPLE,0,0.0
T500,1,300-350,offload,GA,113,0.2825
T500,1,300-350,offload,DE,280,0.7
T500,1,300-350,offload,BITFLIP,7,0.0175
T500,1,300-350,offload,RESAMPLE,0,0.0
T500,1,300-350,seq,GA,161,0.4025
T500,1,300-350,seq,SWAP,235,0.5875
T500,1,300-350,seq,VNS,4,0.01
T500,1,300-350,seq,RESAMPLE,0,0.0
T500,1,300-350,dev,DE,44,0.11
T500,1,300-350,dev,GDE,344,0.86
T500,1,300-350,dev,LEVY,12,0.03
T500,1,300-350,dev,RESAMPLE,0,0.0
T500,1,350-400,offload,GA,72,0.18
T500,1,350-400,offload,DE,307,0.7675
T500,1,350-400,offload,BITFLIP,18,0.045
T500,1,350-400,offload,RESAMPLE,3,0.0075
T500,1,350-400,seq,GA,136,0.34
T500,1,350-400,seq,SWAP,216,0.54
T500,1,350-400,seq,VNS,48,0.12
T500,1,350-400,seq,RESAMPLE,0,0.0
T500,1,350-400,dev,DE,147,0.3675
T500,1,350-400,dev,GDE,241,0.6025
T500,1,350-400,dev,LEVY,12,0.03
T500,1,350-400,dev,RESAMPLE,0,0.0
T500,1,400-450,offload,GA,86,0.215
T500,1,400-450,offload,DE,289,0.7225
T500,1,400-450,offload,BITFLIP,25,0.0625
T500,1,400-450,offload,RESAMPLE,0,0.0
T500,1,400-450,seq,GA,98,0.245
T500,1,400-450,seq,SWAP,229,0.5725
T500,1,400-450,seq,VNS,73,0.1825
T500,1,400-450,seq,RESAMPLE,0,0.0
T500,1,400-450,dev,DE,33,0.0825
T500,1,400-450,dev,GDE,362,0.905
T500,1,400-450,dev,LEVY,5,0.0125
T500,1,400-450,dev,RESAMPLE,0,0.0
T500,1,450-500,offload,GA,64,0.16
T500,1,450-500,offload,DE,321,0.8025
T500,1,450-500,offload,BITFLIP,15,0.0375
T500,1,450-500,offload,RESAMPLE,0,0.0
T500,1,450-500,seq,GA,92,0.23
T500,1,450-500,seq,SWAP,223,0.5575
T500,1,450-500,seq,VNS,85,0.2125
T500,1,450-500,seq,RESAMPLE,0,0.0
T500,1,450-500,dev,DE,42,0.105
T500,1,450-500,dev,GDE,346,0.865
T500,1,450-500,dev,LEVY,12,0.03
T500,1,450-500,dev,RESAMPLE,0,0.0
T500,1,500-550,offload,GA,95,0.2375
T500,1,500-550,offload,DE,269,0.6725
T500,1,500-550,offload,BITFLIP,22,0.055
T500,1,500-550,offload,RESAMPLE,14,0.035
T500,1,500-550,seq,GA,161,0.4025
T500,1,500-550,seq,SWAP,170,0.425
T500,1,500-550,seq,VNS,69,0.1725
T500,1,500-550,seq,RESAMPLE,0,0.0
T500,1,500-550,dev,DE,145,0.3625
T500,1,500-550,dev,GDE,227,0.5675
T500,1,500-550,dev,LEVY,28,0.07
T500,1,500-550,dev,RESAMPLE,0,0.0
T500,1,550-600,offload,GA,82,0.205
T500,1,550-600,offload,DE,267,0.6675
T500,1,550-600,offload,BITFLIP,31,0.0775
T500,1,550-600,offload,RESAMPLE,20,0.05
T500,1,550-600,seq,GA,97,0.2425
T500,1,550-600,seq,SWAP,228,0.57
T500,1,550-600,seq,VNS,75,0.1875
T500,1,550-600,seq,RESAMPLE,0,0.0
T500,1,550-600,dev,DE,37,0.0925
T500,1,550-600,dev,GDE,355,0.8875
T500,1,550-600,dev,LEVY,8,0.02
T500,1,550-600,dev,RESAMPLE,0,0.0
T500,1,600-650,offload,GA,62,0.155
T500,1,600-650,offload,DE,335,0.8375
T500,1,600-650,offload,BITFLIP,2,0.005
T500,1,600-650,offload,RESAMPLE,1,0.0025
T500,1,600-650,seq,GA,95,0.2375
T500,1,600-650,seq,SWAP,199,0.4975
T500,1,600-650,seq,VNS,106,0.265
T500,1,600-650,seq,RESAMPLE,0,0.0
T500,1,600-650,dev,DE,25,0.0625
T500,1,600-650,dev,GDE,357,0.8925
T500,1,600-650,dev,LEVY,18,0.045
T500,1,600-650,dev,RESAMPLE,0,0.0
T500,1,650-700,offload,GA,83,0.2075
T500,1,650-700,offload,DE,316,0.79
T500,1,650-700,offload,BITFLIP,1,0.0025
T500,1,650-700,offload,RESAMPLE,0,0.0
T500,1,650-700,seq,GA,117,0.2925
T500,1,650-700,seq,SWAP,172,0.43
T500,1,650-700,seq,VNS,111,0.2775
T500,1,650-700,seq,RESAMPLE,0,0.0
T500,1,650-700,dev,DE,161,0.4025
T500,1,650-700,dev,GDE,226,0.565
T500,1,650-700,dev,LEVY,13,0.0325
T500,1,650-700,dev,RESAMPLE,0,0.0
T500,1,700-750,offload,GA,80,0.2
T500,1,700-750,offload,DE,320,0.8
T500,1,700-750,offload,BITFLIP,0,0.0
T500,1,700-750,offload,RESAMPLE,0,0.0
T500,1,700-750,seq,GA,132,0.33
T500,1,700-750,seq,SWAP,143,0.3575
T500,1,700-750,seq,VNS,125,0.3125
T500,1,700-750,seq,RESAMPLE,0,0.0
T500,1,700-750,dev,DE,109,0.2725
T500,1,700-750,dev,GDE,280,0.7
T500,1,700-750,dev,LEVY,11,0.0275
T500,1,700-750,dev,RESAMPLE,0,0.0
T500,1,750-800,offload,GA,58,0.145
T500,1,750-800,offload,DE,335,0.8375
T500,1,750-800,offload,BITFLIP,7,0.0175
T500,1,750-800,offload,RESAMPLE,0,0.0
T500,1,750-800,seq,GA,89,0.2225
T500,1,750-800,seq,SWAP,191,0.4775
T500,1,750-800,seq,VNS,120,0.3
T500,1,750-800,seq,RESAMPLE,0,0.0
