scale,block,operator,freq,avg_reward,contribution,rank
100,offload,GA,0.14672375,2.6282118671516353e-05,3.856211009429897e-06,2.0
100,offload,DE,0.65711,1.5213945764441793e-05,9.997235901272347e-06,1.0
100,offload,BITFLIP,0.16068249999999998,9.203537589327368e-07,1.4788474286970947e-07,3.0
100,offload,RESAMPLE,0.03548375,0.0,0.0,4.0
100,seq,GA,0.039181249999999994,0.0004438257343495413,1.7389647053982964e-05,1.0
100,seq,SWAP,0.24754625,2.2717780047892296e-05,5.623701259180558e-06,2.0
100,seq,VNS,0.5367537499999999,1.3267527661059714e-06,7.121395225302529e-07,3.0
100,seq,RESAMPLE,0.17651875,1.372370338947404e-09,2.4224909676807206e-10,4.0
100,dev,DE,0.13631625,0.00011775302411087471,1.6051650672954023e-05,1.0
100,dev,GDE,0.38338625,1.1071136087438532e-05,4.244521347802731e-06,2.0
100,dev,LEVY,0.3179725,2.695389511466675e-06,8.570597414348374e-07,3.0
100,dev,RESAMPLE,0.162325,9.85379439409656e-08,1.599517175021724e-08,4.0
200,offload,GA,0.5877487499999999,5.303761202744894e-05,3.117279017211808e-05,2.0
200,offload,DE,0.31714375,0.00012153621673349665,3.854445153567388e-05,1.0
200,offload,BITFLIP,0.052021250000000005,5.7652713389321625e-05,2.999166216404248e-06,3.0
200,offload,RESAMPLE,0.04308625,2.197302456207143e-06,9.467352295375501e-08,4.0
200,seq,GA,0.46898499999999993,5.958701468710114e-05,2.7945416083030126e-05,1.0
200,seq,SWAP,0.30554624999999996,8.998390257417131e-05,2.7494243991903387e-05,2.0
200,seq,VNS,0.15453125,4.952841618130831e-05,7.653688063017801e-06,3.0
200,seq,RESAMPLE,0.0709375,2.678710030306286e-07,1.9002099277485216e-08,4.0
200,dev,DE,0.5033425,6.372418968927449e-05,3.207509294867365e-05,2.0
200,dev,GDE,0.26535250000000005,0.00012885629162861113,3.4192339124381037e-05,1.0
200,dev,LEVY,0.16681375,3.222175379657853e-05,5.375031582384002e-06,3.0
200,dev,RESAMPLE,0.06449125,2.3631158526228566e-06,1.524002952304638e-07,4.0
500,offload,GA,0.49748000000000003,5.694483893085889e-05,2.8328918471323686e-05,2.0
500,offload,DE,0.36673875,0.00010221679398882893,3.7486859256470636e-05,1.0
500,offload,BITFLIP,0.06949625000000001,3.1480283791885225e-05,2.187761672471804e-06,3.0
500,offload,RESAMPLE,0.06628500000000001,1.6471930961510974e-06,1.091841943783755e-07,4.0
500,seq,GA,0.567115,5.472787495078895e-05,3.103699880271668e-05,1.0
500,seq,SWAP,0.25686,0.0001173807401609346,3.0150416917737656e-05,2.0
500,seq,VNS,0.16427125,6.622032210516555e-05,1.0878095087618177e-05,3.0
500,seq,RESAMPLE,0.01175375,1.0389282263245648e-06,1.2211302640162355e-08,4.0
500,dev,DE,0.54632875,6.684023747386143e-05,3.6516743388797874e-05,2.0
500,dev,GDE,0.33281,0.00012503900764456369,4.161423213418724e-05,1.0
500,dev,LEVY,0.056203750000000004,6.904429958596853e-05,3.8805485528548785e-06,3.0
500,dev,RESAMPLE,0.06465749999999999,2.3182234707108397e-06,1.498905340574861e-07,4.0
