Scale,Strategy,Mean,Std,p_value_vs_CB
100,CB,0.34231429999999996,0.0009120692042456659,
100,Random,0.3422569,0.00174693245115227,0.845703125
100,RoundRobin,0.3416811,0.0013300277733106836,0.4921875
100,FixedBest,0.3556245,0.0016842155608934358,0.001953125
200,CB,0.038271,0.0019312648601370035,
200,Random,0.037158670000000005,0.0011910914826792744,0.130859375
200,RoundRobin,0.03827272999999999,0.0016375157288812015,0.921875
200,FixedBest,0.04778823,0.0014714916982059032,0.001953125
500,CB,0.02604341,0.0009363528328929576,
500,Random,0.02548192,0.0009581519118710883,0.322265625
500,RoundRobin,0.02619673,0.0008218876417532183,0.625
500,FixedBest,0.03376886,0.000504334408899492,0.001953125
