Block,Operator,Early (0-2k),Late (8k-10k),Change
offload,GA,0.39897083333333333,0.4107987804878049,0.011827947154471552
offload,DE,0.5049812499999999,0.38896544715447157,-0.11601580284552837
offload,BITFLIP,0.08107083333333333,0.12477642276422764,0.04370558943089431
offload,RESAMPLE,0.014977083333333334,0.07545934959349593,0.06048226626016259
seq,GA,0.29196875,0.3436077235772358,0.05163897357723579
seq,SWAP,0.43597916666666664,0.15781910569105692,-0.27816006097560975
seq,VNS,0.2594416666666667,0.30566463414634143,0.04622296747967475
seq,RESAMPLE,0.012610416666666669,0.19290853658536583,0.18029811991869915
dev,DE,0.36687291666666666,0.37679878048780485,0.009925863821138192
dev,GDE,0.49467916666666667,0.24987804878048783,-0.24480111788617884
dev,LEVY,0.12783541666666667,0.21569308943089432,0.08785767276422765
dev,RESAMPLE,0.010612499999999999,0.157630081300813,0.147017581300813
