gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
50,0.025,0.8525,0.115,0.0075,0.23,0.72,0.0325,0.0175,0.19,0.77,0.025,0.015,0.085,0.3475,0.256667,0.0383333,0.24,0.0108333,0.00833333,0.0133333
100,0,0.72,0.275,0.005,0.4775,0.51,0.01,0.0025,0.57,0.415,0.0125,0.0025,0.159167,0.43,0.138333,0.0916667,0.17,0.00333333,0.00416667,0.00333333
150,0,0.775,0.2225,0.0025,0.3,0.6675,0.03,0.0025,0.5625,0.4,0.0325,0.005,0.1,0.445833,0.133333,0.0741667,0.2225,0.01,0.0108333,0.00333333
200,0.005,0.8125,0.1825,0,0.1075,0.855,0.0325,0.005,0.245,0.5575,0.1975,0,0.0375,0.3525,0.185833,0.0608333,0.285,0.0108333,0.0658333,0.00166667
250,0.0025,0.75,0.245,0.0025,0.4775,0.445,0.07,0.0075,0.165,0.705,0.13,0,0.16,0.305,0.235,0.0816667,0.148333,0.0233333,0.0433333,0.00333333
300,0,0.7125,0.19,0.0975,0.665,0.2725,0.0625,0,0.4075,0.4275,0.1575,0.0075,0.221667,0.373333,0.1425,0.0633333,0.0908333,0.0208333,0.0525,0.035
350,0.01,0.6275,0.245,0.1175,0.56,0.3975,0.0425,0,0.495,0.36,0.145,0,0.19,0.374167,0.12,0.0816667,0.1325,0.0141667,0.0483333,0.0391667
400,0,0.445,0.555,0,0.3,0.5225,0.175,0.0025,0.41,0.365,0.225,0,0.1,0.285,0.121667,0.185,0.174167,0.0583333,0.075,0.000833333
450,0.0125,0.725,0.22,0.0425,0.31,0.56,0.13,0,0.53,0.29,0.1775,0.0025,0.1075,0.418333,0.0966667,0.0733333,0.186667,0.0433333,0.0591667,0.015
500,0.005,0.685,0.185,0.125,0.245,0.615,0.14,0,0.405,0.355,0.24,0,0.0833333,0.363333,0.118333,0.0616667,0.205,0.0466667,0.08,0.0416667
550,0.01,0.6375,0.15,0.2025,0.26,0.6425,0.0975,0,0.3175,0.415,0.265,0.0025,0.09,0.318333,0.138333,0.05,0.214167,0.0325,0.0883333,0.0683333
600,0.01,0.5775,0.0425,0.37,0.2775,0.69,0.0275,0.005,0.38,0.3725,0.245,0.0025,0.0958333,0.319167,0.124167,0.0141667,0.23,0.00916667,0.0816667,0.125833
650,0.01,0.6,0.0825,0.3075,0.1675,0.7075,0.125,0,0.5075,0.345,0.1475,0,0.0591667,0.369167,0.115,0.0275,0.235833,0.0416667,0.0491667,0.1025
700,0,0.54,0.19,0.27,0.0325,0.7675,0.1975,0.0025,0.2775,0.545,0.175,0.0025,0.0108333,0.2725,0.181667,0.0633333,0.255833,0.0658333,0.0583333,0.0916667
750,0,0.5925,0.0325,0.375,0.0025,0.745,0.25,0.0025,0.3475,0.4525,0.2,0,0.000833333,0.313333,0.150833,0.0108333,0.248333,0.0833333,0.0666667,0.125833
800,0.0075,0.635,0.0275,0.33,0.0025,0.6925,0.305,0,0.395,0.4125,0.19,0.0025,0.00333333,0.343333,0.1375,0.00916667,0.230833,0.101667,0.0633333,0.110833
850,0.005,0.5475,0.08,0.3675,0.01,0.73,0.2575,0.0025,0.325,0.455,0.21,0.01,0.005,0.290833,0.151667,0.0266667,0.243333,0.0858333,0.07,0.126667
900,0.015,0.5925,0.0625,0.33,0.0075,0.605,0.3875,0,0.235,0.5625,0.195,0.0075,0.0075,0.275833,0.1875,0.0208333,0.201667,0.129167,0.065,0.1125
950,0.0075,0.565,0.06,0.3675,0.0075,0.6625,0.33,0,0.18,0.5425,0.265,0.0125,0.005,0.248333,0.180833,0.02,0.220833,0.11,0.0883333,0.126667
1000,0.0025,0.5075,0.115,0.375,0.005,0.695,0.2925,0.0075,0.2375,0.495,0.2675,0,0.0025,0.248333,0.165,0.0383333,0.231667,0.0975,0.0891667,0.1275
1050,0,0.6275,0.0625,0.31,0.0025,0.6875,0.2975,0.0125,0.125,0.545,0.315,0.015,0.000833333,0.250833,0.181667,0.0208333,0.229167,0.0991667,0.105,0.1125
1100,0,0.545,0.085,0.37,0,0.6225,0.375,0.0025,0.13,0.535,0.33,0.005,0,0.225,0.178333,0.0283333,0.2075,0.125,0.11,0.125833
1150,0.0125,0.5425,0.0725,0.3725,0.0075,0.6675,0.32,0.005,0.1825,0.6325,0.1625,0.0225,0.00666667,0.241667,0.210833,0.0241667,0.2225,0.106667,0.0541667,0.133333
1200,0.005,0.5475,0.1125,0.335,0.0025,0.6,0.3975,0,0.1425,0.5275,0.2975,0.0325,0.0025,0.23,0.175833,0.0375,0.2,0.1325,0.0991667,0.1225
1250,0.01,0.5625,0.0575,0.37,0.0025,0.65,0.345,0.0025,0.14,0.5475,0.3,0.0125,0.00416667,0.234167,0.1825,0.0191667,0.216667,0.115,0.1,0.128333
1300,0.01,0.6225,0.0375,0.33,0.01,0.6175,0.3675,0.005,0.2375,0.6675,0.065,0.03,0.00666667,0.286667,0.2225,0.0125,0.205833,0.1225,0.0216667,0.121667
1350,0.005,0.4575,0.165,0.3725,0.0025,0.62,0.3725,0.005,0.11,0.49,0.265,0.135,0.0025,0.189167,0.163333,0.055,0.206667,0.124167,0.0883333,0.170833
1400,0.005,0.545,0.08,0.37,0.0025,0.645,0.35,0.0025,0.0775,0.585,0.205,0.1325,0.0025,0.2075,0.195,0.0266667,0.215,0.116667,0.0683333,0.168333
1450,0.005,0.555,0.1325,0.3075,0.0025,0.56,0.4325,0.005,0.08,0.5775,0.2075,0.135,0.0025,0.211667,0.1925,0.0441667,0.186667,0.144167,0.0691667,0.149167
1500,0.0025,0.5875,0.0525,0.3575,0.015,0.6225,0.36,0.0025,0.0725,0.565,0.215,0.1475,0.00583333,0.22,0.188333,0.0175,0.2075,0.12,0.0716667,0.169167
1550,0.01,0.5575,0.0675,0.365,0.005,0.6325,0.36,0.0025,0.0775,0.56,0.225,0.1375,0.005,0.211667,0.186667,0.0225,0.210833,0.12,0.075,0.168333
1600,0.0075,0.6325,0.0175,0.3425,0.01,0.55,0.43,0.01,0.0675,0.69,0.0275,0.215,0.00583333,0.233333,0.23,0.00583333,0.183333,0.143333,0.00916667,0.189167
1650,0.0075,0.62,0.0025,0.37,0.0075,0.5575,0.4275,0.0075,0,0.6575,0.0475,0.295,0.005,0.206667,0.219167,0.000833333,0.185833,0.1425,0.0158333,0.224167
1700,0.0075,0.615,0.005,0.3725,0.0075,0.4925,0.4975,0.0025,0.01,0.66,0.0425,0.2875,0.005,0.208333,0.22,0.00166667,0.164167,0.165833,0.0141667,0.220833
1750,0.0075,0.615,0.0075,0.37,0.0075,0.425,0.565,0.0025,0.0025,0.67,0.0425,0.285,0.005,0.205833,0.223333,0.0025,0.141667,0.188333,0.0141667,0.219167
1800,0,0.54,0.0775,0.3825,0.0025,0.4275,0.5625,0.0075,0,0.5975,0.1125,0.29,0.000833333,0.18,0.199167,0.0258333,0.1425,0.1875,0.0375,0.226667
1850,0,0.505,0.125,0.37,0.0075,0.4675,0.52,0.005,0.0025,0.57,0.155,0.2725,0.0025,0.169167,0.19,0.0416667,0.155833,0.173333,0.0516667,0.215833
1900,0.0075,0.5725,0.05,0.37,0.01,0.48,0.5075,0.0025,0.01,0.67,0.03,0.29,0.00583333,0.194167,0.223333,0.0166667,0.16,0.169167,0.01,0.220833
1950,0.0025,0.6225,0.0025,0.3725,0,0.4575,0.535,0.0075,0.005,0.6525,0.0475,0.295,0.000833333,0.209167,0.2175,0.000833333,0.1525,0.178333,0.0158333,0.225
2000,0.0125,0.6175,0.0125,0.3575,0.0025,0.43,0.555,0.0125,0.0025,0.65,0.0525,0.295,0.005,0.206667,0.216667,0.00416667,0.143333,0.185,0.0175,0.221667
2050,0.0025,0.6175,0.0025,0.3775,0.0075,0.4225,0.565,0.005,0.01,0.66,0.04,0.29,0.00333333,0.209167,0.22,0.000833333,0.140833,0.188333,0.0133333,0.224167
2100,0.0025,0.545,0.08,0.3725,0,0.4275,0.565,0.0075,0.01,0.5925,0.16,0.2375,0.000833333,0.185,0.1975,0.0266667,0.1425,0.188333,0.0533333,0.205833
2150,0.01,0.615,0.0125,0.3625,0.0075,0.3775,0.605,0.01,0.0025,0.67,0.0225,0.305,0.00583333,0.205833,0.223333,0.00416667,0.125833,0.201667,0.0075,0.225833
2200,0.005,0.6275,0,0.3675,0.0075,0.3625,0.6175,0.0125,0.0025,0.665,0.0425,0.29,0.00416667,0.21,0.221667,0,0.120833,0.205833,0.0141667,0.223333
2250,0.005,0.6225,0,0.3725,0.0075,0.3025,0.6775,0.0125,0,0.66,0.0475,0.2925,0.00416667,0.2075,0.22,0,0.100833,0.225833,0.0158333,0.225833
2300,0,0.5475,0.0775,0.375,0.005,0.3,0.69,0.005,0.005,0.5975,0.115,0.2825,0.00166667,0.184167,0.199167,0.0258333,0.1,0.23,0.0383333,0.220833
2350,0.0025,0.555,0.07,0.3725,0.0025,0.2425,0.7525,0.0025,0.005,0.585,0.125,0.285,0.00166667,0.186667,0.195,0.0233333,0.0808333,0.250833,0.0416667,0.22
2400,0.005,0.615,0.0075,0.3725,0.0075,0.295,0.6925,0.005,0.0075,0.655,0.0425,0.295,0.00416667,0.2075,0.218333,0.0025,0.0983333,0.230833,0.0141667,0.224167
2450,0.005,0.5425,0.08,0.3725,0.0025,0.305,0.69,0.0025,0.0075,0.5875,0.1175,0.2875,0.0025,0.183333,0.195833,0.0266667,0.101667,0.23,0.0391667,0.220833
2500,0,0.5475,0.0775,0.375,0.005,0.3175,0.6775,0,0.005,0.6,0.1125,0.2825,0.00166667,0.184167,0.2,0.0258333,0.105833,0.225833,0.0375,0.219167
2550,0.0075,0.605,0.0075,0.38,0.0075,0.2925,0.6975,0.0025,0.0075,0.6675,0.04,0.285,0.005,0.204167,0.2225,0.0025,0.0975,0.2325,0.0133333,0.2225
2600,0.005,0.6225,0,0.3725,0.0075,0.29,0.6975,0.005,0.0025,0.6625,0.0425,0.2925,0.00416667,0.208333,0.220833,0,0.0966667,0.2325,0.0141667,0.223333
