Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CCHIHH --stable --seed 6 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --resample_gate 15 --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5 --cchihh_op_stats 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\results\ablation_cchihh_bandit_fixed_T500_gen10000_seed1_10\CCHIHH_cfg1_bandit_on_opstats_seed6.csv' --cchihh_op_stats_every 50
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 6
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
CCHIHH op stats: C:\Users\Hu\Desktop\论文\CED_schedule_Final\results\ablation_cchihh_bandit_fixed_T500_gen10000_seed1_10\CCHIHH_cfg1_bandit_on_opstats_seed6.csv
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T500_E200_D800.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=500, M_Jnum=500, M_OPTnum=5, ops=2500
  Nvar=6000, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=1000
  Block 1 (seq): start=1000, len=2500
  Block 2 (dev): start=3500, len=2500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 3138.68
Gen 50: best_fit = 1976.83
Gen 100: best_fit = 1904.3
Gen 150: best_fit = 1816.47
Gen 200: best_fit = 1762.56
Gen 250: best_fit = 1711.61
Gen 300: best_fit = 1690.59
Gen 350: best_fit = 1666.15
Gen 400: best_fit = 1649.73
Gen 450: best_fit = 1624.82
Gen 500: best_fit = 1599.43
Gen 550: best_fit = 1570.45
Gen 600: best_fit = 1554.14
Gen 650: best_fit = 1541.85
Gen 700: best_fit = 1530.72
Gen 750: best_fit = 1524.39
Gen 800: best_fit = 1519.03
Gen 850: best_fit = 1502.39
Gen 900: best_fit = 1494.2
Gen 950: best_fit = 1485.04
Gen 1000: best_fit = 1480.99
Gen 1050: best_fit = 1477.67
Gen 1100: best_fit = 1472.51
Gen 1150: best_fit = 1469.63
Gen 1200: best_fit = 1467.16
Gen 1250: best_fit = 1464.32
Gen 1300: best_fit = 1460.1
Gen 1350: best_fit = 1457.81
Gen 1400: best_fit = 1456.25
Gen 1450: best_fit = 1453.96
Gen 1500: best_fit = 1451.75
Gen 1550: best_fit = 1448.88
Gen 1600: best_fit = 1447.39
Gen 1650: best_fit = 1446.26
Gen 1700: best_fit = 1444.74
