Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CCHIHH --stable --cchihh_random_ops --seed 3 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --resample_gate 15 --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 3
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: random
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T500_E200_D800.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=500, M_Jnum=500, M_OPTnum=5, ops=2500
  Nvar=6000, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=1000
  Block 1 (seq): start=1000, len=2500
  Block 2 (dev): start=3500, len=2500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 2265.96
Gen 50: best_fit = 2024.65
Gen 100: best_fit = 1886.08
Gen 150: best_fit = 1774.19
Gen 200: best_fit = 1739.36
Gen 250: best_fit = 1684.84
Gen 300: best_fit = 1663.44
Gen 350: best_fit = 1636.62
Gen 400: best_fit = 1617.28
Gen 450: best_fit = 1589.24
Gen 500: best_fit = 1565.92
Gen 550: best_fit = 1554.97
Gen 600: best_fit = 1540.45
Gen 650: best_fit = 1527.35
Gen 700: best_fit = 1514.16
Gen 750: best_fit = 1503.7
Gen 800: best_fit = 1490.62
Gen 850: best_fit = 1484.19
Gen 900: best_fit = 1479.73
Gen 950: best_fit = 1474.27
Gen 1000: best_fit = 1466.74
Gen 1050: best_fit = 1461.47
Gen 1100: best_fit = 1456.08
