gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
50,0.0375,0.6475,0.3,0.015,0.16,0.8075,0.0275,0.005,0.175,0.7825,0.0275,0.015,0.0658333,0.274167,0.260833,0.1,0.269167,0.00916667,0.00916667,0.0116667
100,0.0075,0.515,0.47,0.0075,0.3175,0.67,0.01,0.0025,0.7325,0.245,0.015,0.0075,0.108333,0.415833,0.0816667,0.156667,0.223333,0.00333333,0.005,0.00583333
150,0.01,0.5225,0.3975,0.07,0.3475,0.57,0.0775,0.005,0.8675,0.045,0.0825,0.005,0.119167,0.463333,0.015,0.1325,0.19,0.0258333,0.0275,0.0266667
200,0.0075,0.5275,0.415,0.05,0.7275,0.1975,0.0675,0.0075,0.745,0.0625,0.1925,0,0.245,0.424167,0.0208333,0.138333,0.0658333,0.0225,0.0641667,0.0191667
250,0,0.3725,0.375,0.2525,0.6925,0.2,0.1075,0,0.3625,0.1725,0.4075,0.0575,0.230833,0.245,0.0575,0.125,0.0666667,0.0358333,0.135833,0.103333
300,0.005,0.3725,0.375,0.2475,0.46,0.4075,0.1275,0.005,0.18,0.1075,0.5875,0.125,0.155,0.184167,0.0358333,0.125,0.135833,0.0425,0.195833,0.125833
350,0,0.3775,0.375,0.2475,0.28,0.5875,0.13,0.0025,0.1775,0.0825,0.615,0.125,0.0933333,0.185,0.0275,0.125,0.195833,0.0433333,0.205,0.125
400,0.01,0.4025,0.53,0.0575,0.01,0.755,0.235,0,0.065,0.15,0.69,0.095,0.00666667,0.155833,0.05,0.176667,0.251667,0.0783333,0.23,0.0508333
450,0.005,0.485,0.385,0.125,0.015,0.7225,0.2625,0,0.17,0.21,0.62,0,0.00666667,0.218333,0.07,0.128333,0.240833,0.0875,0.206667,0.0416667
500,0.0075,0.4425,0.415,0.135,0.02,0.615,0.365,0,0.13,0.2425,0.6275,0,0.00916667,0.190833,0.0808333,0.138333,0.205,0.121667,0.209167,0.045
