Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CCHIHH --resample_gate 15 --seed 10 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 10
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: disabled
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T500_E200_D800.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=500, M_Jnum=500, M_OPTnum=5, ops=2500
  Nvar=6000, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=1000
  Block 1 (seq): start=1000, len=2500
  Block 2 (dev): start=3500, len=2500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 2911.17
Gen 50: best_fit = 1986.28
Gen 100: best_fit = 1917.2
Gen 150: best_fit = 1825.51
Gen 200: best_fit = 1792.41
Gen 250: best_fit = 1778.36
Gen 300: best_fit = 1721.3
Gen 350: best_fit = 1704.22
Gen 400: best_fit = 1692.5
Gen 450: best_fit = 1685.4
Gen 500: best_fit = 1676.97
Gen 550: best_fit = 1672.12
Gen 600: best_fit = 1664.39
Gen 650: best_fit = 1660.85
Gen 700: best_fit = 1655.19
Gen 750: best_fit = 1648.26
Gen 800: best_fit = 1644.6
Gen 850: best_fit = 1630.3
Gen 900: best_fit = 1625.12
Gen 950: best_fit = 1621.52
Gen 1000: best_fit = 1619.16
Gen 1050: best_fit = 1613.4
Gen 1100: best_fit = 1609.07
Gen 1150: best_fit = 1606.46
Gen 1200: best_fit = 1594.82
Gen 1250: best_fit = 1581.19
Gen 1300: best_fit = 1566.39
