Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation_tmp_20260206\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 6 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T200_E100_D300.txt --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5 --cchihh_no_migration
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 6
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: disabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=200, M_Jnum=200, M_OPTnum=5, ops=1000
  Nvar=2400, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=400
  Block 1 (seq): start=400, len=1000
  Block 2 (dev): start=1400, len=1000
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 1981.89
Gen 50: best_fit = 1587.13
Gen 100: best_fit = 1552.68
Gen 150: best_fit = 1522.43
Gen 200: best_fit = 1471.72
Gen 250: best_fit = 1439.16
Gen 300: best_fit = 1430.36
Gen 350: best_fit = 1430.36
Gen 400: best_fit = 1430.36
Gen 450: best_fit = 1430.36
Gen 500: best_fit = 1415.52
Gen 550: best_fit = 1395.02
Gen 600: best_fit = 1367.8
Gen 650: best_fit = 1359.01
Gen 700: best_fit = 1339.57
Gen 750: best_fit = 1338.45
Gen 800: best_fit = 1328.24
Gen 850: best_fit = 1324.68
Gen 900: best_fit = 1318.71
Gen 950: best_fit = 1308.7
Gen 1000: best_fit = 1308.7
Gen 1050: best_fit = 1307.17
Gen 1100: best_fit = 1305.33
Gen 1150: best_fit = 1299.33
