Command: 'build_nsub1\Release\CED_Schedule.exe' --solver CCHIHH --stable --migration --resample_gate 15 --seed 1 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5 --nsubpop 1
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 1
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: enabled
  Subpopulations: 1
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T500_E200_D800.txt"
[Migration] Initialized: 1 subpops, interval=5, pElitist=0.8

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=500, M_Jnum=500, M_OPTnum=5, ops=2500
  Nvar=6000, popsize=40, nSubpop=1
  Block 0 (offload): start=0, len=1000
  Block 1 (seq): start=1000, len=2500
  Block 2 (dev): start=3500, len=2500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 2982.07
Gen 50: best_fit = 2112.96
Gen 100: best_fit = 2088.12
Gen 150: best_fit = 1986.77
Gen 200: best_fit = 1954.46
Gen 250: best_fit = 1876.59
Gen 300: best_fit = 1876.59
Gen 350: best_fit = 1876.59
Gen 400: best_fit = 1836.06
Gen 450: best_fit = 1820.98
Gen 500: best_fit = 1820.98
Gen 550: best_fit = 1820.98
Gen 600: best_fit = 1792.31
Gen 650: best_fit = 1773.83
Gen 700: best_fit = 1767.81
Gen 750: best_fit = 1753.21
Gen 800: best_fit = 1753.21
Gen 850: best_fit = 1740.12
Gen 900: best_fit = 1701.69
Gen 950: best_fit = 1690.76
Gen 1000: best_fit = 1690.76
Gen 1050: best_fit = 1690.76
Gen 1100: best_fit = 1690.76
Gen 1150: best_fit = 1685.78
Gen 1200: best_fit = 1664.23
Gen 1250: best_fit = 1660.37
Gen 1300: best_fit = 1657.62
Gen 1350: best_fit = 1654.73
Gen 1400: best_fit = 1648.48
Gen 1450: best_fit = 1638.81
Gen 1500: best_fit = 1635.44
Gen 1550: best_fit = 1630.22
Gen 1600: best_fit = 1612.87
Gen 1650: best_fit = 1601.18
Gen 1700: best_fit = 1589.93
Gen 1750: best_fit = 1589.66
Gen 1800: best_fit = 1589.66
Gen 1850: best_fit = 1589.66
Gen 1900: best_fit = 1589.66
Gen 1950: best_fit = 1589.66
Gen 2000: best_fit = 1589.66
Gen 2050: best_fit = 1589.66
Gen 2100: best_fit = 1589.66
Gen 2150: best_fit = 1589.66
Gen 2200: best_fit = 1589.66
Gen 2250: best_fit = 1589.66
Gen 2300: best_fit = 1589.66
Gen 2350: best_fit = 1589.66
Gen 2400: best_fit = 1589.66
Gen 2450: best_fit = 1583.16
Gen 2500: best_fit = 1580.23
Gen 2550: best_fit = 1568.69
Gen 2600: best_fit = 1563.29
Gen 2650: best_fit = 1547.05
Gen 2700: best_fit = 1540.12
Gen 2750: best_fit = 1537
Gen 2800: best_fit = 1534.44
Gen 2850: best_fit = 1533.19
Gen 2900: best_fit = 1528.11
Gen 2950: best_fit = 1522.66
Gen 3000: best_fit = 1522.66
Gen 3050: best_fit = 1522.66
Gen 3100: best_fit = 1522.66
Gen 3150: best_fit = 1522.66
Gen 3200: best_fit = 1522.66
Gen 3250: best_fit = 1522.66
Gen 3300: best_fit = 1522.66
Gen 3350: best_fit = 1522.66
Gen 3400: best_fit = 1519.36
Gen 3450: best_fit = 1516.77
Gen 3500: best_fit = 1511.87
Gen 3550: best_fit = 1503.52
Gen 3600: best_fit = 1503.52
Gen 3650: best_fit = 1503.52
Gen 3700: best_fit = 1503.52
Gen 3750: best_fit = 1489.89
Gen 3800: best_fit = 1487.01
Gen 3850: best_fit = 1486.22
Gen 3900: best_fit = 1485.86
Gen 3950: best_fit = 1483.04
Gen 4000: best_fit = 1479.73
Gen 4050: best_fit = 1478.83
Gen 4100: best_fit = 1477.97
Gen 4150: best_fit = 1466.63
Gen 4200: best_fit = 1451.44
Gen 4250: best_fit = 1447.09
Gen 4300: best_fit = 1447.09
Gen 4350: best_fit = 1447.09
Gen 4400: best_fit = 1447.09
Gen 4450: best_fit = 1447.09
Gen 4500: best_fit = 1447.09
Gen 4550: best_fit = 1447.09
Gen 4600: best_fit = 1447.09
Gen 4650: best_fit = 1447.09
Gen 4700: best_fit = 1447.09
Gen 4750: best_fit = 1447.09
Gen 4800: best_fit = 1447.09
Gen 4850: best_fit = 1447.09
Gen 4900: best_fit = 1447.09
Gen 4950: best_fit = 1447.09
Gen 5000: best_fit = 1447.09
Gen 5050: best_fit = 1447.09
Gen 5100: best_fit = 1447.09
Gen 5150: best_fit = 1447.09
Gen 5200: best_fit = 1440.84
Gen 5250: best_fit = 1438.13
Gen 5300: best_fit = 1437.25
Gen 5350: best_fit = 1429.66
Gen 5400: best_fit = 1428.71
Gen 5450: best_fit = 1428.71
Gen 5500: best_fit = 1428.71
Gen 5550: best_fit = 1428.71
Gen 5600: best_fit = 1428.71
Gen 5650: best_fit = 1428.71
Gen 5700: best_fit = 1428.71
Gen 5750: best_fit = 1428.71
Gen 5800: best_fit = 1428.71
Gen 5850: best_fit = 1428.71
Gen 5900: best_fit = 1428.71
Gen 5950: best_fit = 1428.71
Gen 6000: best_fit = 1428.71
Gen 6050: best_fit = 1428.71
Gen 6100: best_fit = 1428.71
Gen 6150: best_fit = 1428.71
Gen 6200: best_fit = 1428.71
Gen 6250: best_fit = 1428.71
Gen 6300: best_fit = 1428.71
Gen 6350: best_fit = 1428.71
Gen 6400: best_fit = 1428.71
Gen 6450: best_fit = 1428.71
Gen 6500: best_fit = 1428.71
Gen 6550: best_fit = 1428.71
Gen 6600: best_fit = 1428.71
Gen 6650: best_fit = 1426.83
Gen 6700: best_fit = 1426.33
Gen 6750: best_fit = 1419.46
Gen 6800: best_fit = 1418.59
Gen 6850: best_fit = 1418.17
Gen 6900: best_fit = 1412.6
Gen 6950: best_fit = 1412.6
Gen 7000: best_fit = 1412.6
Gen 7050: best_fit = 1412.6
Gen 7100: best_fit = 1412.6
Gen 7150: best_fit = 1412.6
Gen 7200: best_fit = 1412.6
Gen 7250: best_fit = 1412.6
Gen 7300: best_fit = 1412.6
Gen 7350: best_fit = 1412.6
Gen 7400: best_fit = 1412.6
Gen 7450: best_fit = 1412.6
Gen 7500: best_fit = 1412.6
Gen 7550: best_fit = 1412.6
Gen 7600: best_fit = 1412.6
Gen 7650: best_fit = 1412.6
Gen 7700: best_fit = 1412.6
Gen 7750: best_fit = 1412.6
Gen 7800: best_fit = 1412.6
Gen 7850: best_fit = 1412.6
Gen 7900: best_fit = 1412.6
Gen 7950: best_fit = 1412.6
Gen 8000: best_fit = 1412.6
Gen 8050: best_fit = 1412.6
Gen 8100: best_fit = 1412.6
Gen 8150: best_fit = 1412.6
Gen 8200: best_fit = 1412.6
Gen 8250: best_fit = 1412.6
Gen 8300: best_fit = 1412.6
Gen 8350: best_fit = 1412.6
Gen 8400: best_fit = 1412.6
Gen 8450: best_fit = 1412.6
Gen 8500: best_fit = 1412.6
Gen 8550: best_fit = 1412.6
Gen 8600: best_fit = 1412.6
Gen 8650: best_fit = 1412.6
Gen 8700: best_fit = 1412.6
Gen 8750: best_fit = 1412.6
Gen 8800: best_fit = 1412.6
Gen 8850: best_fit = 1412.6
Gen 8900: best_fit = 1412.6
Gen 8950: best_fit = 1412.6
Gen 9000: best_fit = 1412.6
Gen 9050: best_fit = 1412.6
Gen 9100: best_fit = 1412.6
Gen 9150: best_fit = 1412.6
Gen 9200: best_fit = 1412.6
Gen 9250: best_fit = 1412.6
Gen 9300: best_fit = 1412.6
Gen 9350: best_fit = 1412.6
Gen 9400: best_fit = 1412.6
Gen 9450: best_fit = 1412.6
Gen 9500: best_fit = 1412.6
Gen 9550: best_fit = 1412.6
Gen 9600: best_fit = 1412.6
Gen 9650: best_fit = 1412.6
Gen 9700: best_fit = 1412.6
Gen 9750: best_fit = 1412.6
Gen 9800: best_fit = 1412.6
Gen 9850: best_fit = 1412.6
Gen 9900: best_fit = 1412.6
Gen 9950: best_fit = 1412.6
Gen 10000: best_fit = 1412.6

=== Final Results (CC-HIHH-UCB) ===
Solver: CCHIHH
Subpopulations per block: 1
Generations = 10000
The best solution = 1412.6
Time = 336.357 s

exit code 0
