Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_qhh\Release\CED_Schedule.exe' --solver GA --seed 2 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_100.txt --cnum 100 --enum 100 --dnum 300 --tnum 100 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 2
Pini (heuristic prob): 0.4
Solver: GA
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/100/5
Migration: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_100.txt"
Gen 50: best_fit = 55.4018
Gen 100: best_fit = 55.3985
Gen 150: best_fit = 55.3917
Gen 200: best_fit = 55.3806
Gen 250: best_fit = 55.3769
Gen 300: best_fit = 55.3726
Gen 350: best_fit = 55.3655
Gen 400: best_fit = 55.3655
Gen 450: best_fit = 55.3655
Gen 500: best_fit = 55.3655
Gen 550: best_fit = 55.3655
Gen 600: best_fit = 55.3655
Gen 650: best_fit = 55.3618
Gen 700: best_fit = 55.3581
Gen 750: best_fit = 55.355
Gen 800: best_fit = 55.355
Gen 850: best_fit = 55.355
Gen 900: best_fit = 55.355
Gen 950: best_fit = 55.355
Gen 1000: best_fit = 55.3446
Gen 1050: best_fit = 55.3415
Gen 1100: best_fit = 55.3415
Gen 1150: best_fit = 55.3412
Gen 1200: best_fit = 55.3412
Gen 1250: best_fit = 55.3412
Gen 1300: best_fit = 55.3412
Gen 1350: best_fit = 55.3375
Gen 1400: best_fit = 55.3375
Gen 1450: best_fit = 55.3375
Gen 1500: best_fit = 55.3341
Gen 1550: best_fit = 55.331
Gen 1600: best_fit = 55.331
Gen 1650: best_fit = 55.331
Gen 1700: best_fit = 55.3267
Gen 1750: best_fit = 55.3267
Gen 1800: best_fit = 55.3236
Gen 1850: best_fit = 55.3205
Gen 1900: best_fit = 55.3205
Gen 1950: best_fit = 55.3205
Gen 2000: best_fit = 55.3205
Gen 2050: best_fit = 55.3168
Gen 2100: best_fit = 55.3168
Gen 2150: best_fit = 55.3168
Gen 2200: best_fit = 55.3168
Gen 2250: best_fit = 55.3168
Gen 2300: best_fit = 55.3128
Gen 2350: best_fit = 55.3128
Gen 2400: best_fit = 55.302
Gen 2450: best_fit = 55.302
Gen 2500: best_fit = 55.302
Gen 2550: best_fit = 55.302
Gen 2600: best_fit = 55.302
Gen 2650: best_fit = 55.302
Gen 2700: best_fit = 55.3002
Gen 2750: best_fit = 55.3002
Gen 2800: best_fit = 55.3002
Gen 2850: best_fit = 55.2968
Gen 2900: best_fit = 55.2937
Gen 2950: best_fit = 55.2937
Gen 3000: best_fit = 55.2937
Gen 3050: best_fit = 55.2937
Gen 3100: best_fit = 55.2937
Gen 3150: best_fit = 55.2879
Gen 3200: best_fit = 55.2879
Gen 3250: best_fit = 55.2879
Gen 3300: best_fit = 55.2879
Gen 3350: best_fit = 55.2848
Gen 3400: best_fit = 55.2811
Gen 3450: best_fit = 55.2811
Gen 3500: best_fit = 55.2734
Gen 3550: best_fit = 55.266
Gen 3600: best_fit = 55.262
Gen 3650: best_fit = 55.262
Gen 3700: best_fit = 55.262
Gen 3750: best_fit = 55.2601
Gen 3800: best_fit = 55.2601
Gen 3850: best_fit = 55.2601
Gen 3900: best_fit = 55.2601
Gen 3950: best_fit = 55.2571
Gen 4000: best_fit = 55.2571
Gen 4050: best_fit = 55.2571
Gen 4100: best_fit = 55.2534
Gen 4150: best_fit = 55.2534
Gen 4200: best_fit = 55.2503
Gen 4250: best_fit = 55.2503
Gen 4300: best_fit = 55.2503
Gen 4350: best_fit = 55.2503
Gen 4400: best_fit = 55.2503
Gen 4450: best_fit = 55.2503
Gen 4500: best_fit = 55.2503
Gen 4550: best_fit = 55.2503
Gen 4600: best_fit = 55.2503
Gen 4650: best_fit = 55.2503
Gen 4700: best_fit = 55.246
Gen 4750: best_fit = 55.2429
Gen 4800: best_fit = 55.2429
Gen 4850: best_fit = 55.2398
Gen 4900: best_fit = 55.2398
Gen 4950: best_fit = 55.2398
Gen 5000: best_fit = 55.2398
Gen 5050: best_fit = 55.2361
Gen 5100: best_fit = 55.2361
Gen 5150: best_fit = 55.2349
Gen 5200: best_fit = 55.2349
Gen 5250: best_fit = 55.2349
Gen 5300: best_fit = 55.2306
Gen 5350: best_fit = 55.2263
Gen 5400: best_fit = 55.2263
Gen 5450: best_fit = 55.2263
Gen 5500: best_fit = 55.2229
Gen 5550: best_fit = 55.2229
Gen 5600: best_fit = 55.2229
Gen 5650: best_fit = 55.2229
Gen 5700: best_fit = 55.2195
Gen 5750: best_fit = 55.2195
Gen 5800: best_fit = 55.2195
Gen 5850: best_fit = 55.2195
Gen 5900: best_fit = 55.2155
Gen 5950: best_fit = 55.2155
Gen 6000: best_fit = 55.2155
Gen 6050: best_fit = 55.2155
Gen 6100: best_fit = 55.2155
Gen 6150: best_fit = 55.2155
Gen 6200: best_fit = 55.2155
Gen 6250: best_fit = 55.2155
Gen 6300: best_fit = 55.2155
Gen 6350: best_fit = 55.2155
Gen 6400: best_fit = 55.2155
Gen 6450: best_fit = 55.2121
Gen 6500: best_fit = 55.2121
Gen 6550: best_fit = 55.2121
Gen 6600: best_fit = 55.2118
Gen 6650: best_fit = 55.2081
Gen 6700: best_fit = 55.2041
Gen 6750: best_fit = 55.2041
Gen 6800: best_fit = 55.2041
Gen 6850: best_fit = 55.2041
Gen 6900: best_fit = 55.2041
Gen 6950: best_fit = 55.2041
Gen 7000: best_fit = 55.2032
Gen 7050: best_fit = 55.2032
Gen 7100: best_fit = 55.2032
Gen 7150: best_fit = 55.2032
Gen 7200: best_fit = 55.2032
Gen 7250: best_fit = 55.2032
Gen 7300: best_fit = 55.2001
Gen 7350: best_fit = 55.1964
Gen 7400: best_fit = 55.1964
Gen 7450: best_fit = 55.1964
Gen 7500: best_fit = 55.1924
Gen 7550: best_fit = 55.1924
Gen 7600: best_fit = 55.1924
Gen 7650: best_fit = 55.1924
Gen 7700: best_fit = 55.1924
Gen 7750: best_fit = 55.1924
Gen 7800: best_fit = 55.1924
Gen 7850: best_fit = 55.1884
Gen 7900: best_fit = 55.1884
Gen 7950: best_fit = 55.1884
Gen 8000: best_fit = 55.1816
Gen 8050: best_fit = 55.1748
Gen 8100: best_fit = 55.1714
Gen 8150: best_fit = 55.1714
Gen 8200: best_fit = 55.1671
Gen 8250: best_fit = 55.1671
Gen 8300: best_fit = 55.1671
Gen 8350: best_fit = 55.1671
Gen 8400: best_fit = 55.1671
Gen 8450: best_fit = 55.1671
Gen 8500: best_fit = 55.1671
Gen 8550: best_fit = 55.1671
Gen 8600: best_fit = 55.1628
Gen 8650: best_fit = 55.1628
Gen 8700: best_fit = 55.1628
Gen 8750: best_fit = 55.1628
Gen 8800: best_fit = 55.1591
Gen 8850: best_fit = 55.1591
Gen 8900: best_fit = 55.1591
Gen 8950: best_fit = 55.1591
Gen 9000: best_fit = 55.1591
Gen 9050: best_fit = 55.1591
Gen 9100: best_fit = 55.1591
Gen 9150: best_fit = 55.1591
Gen 9200: best_fit = 55.1591
Gen 9250: best_fit = 55.1548
Gen 9300: best_fit = 55.1548
Gen 9350: best_fit = 55.1548
Gen 9400: best_fit = 55.1548
Gen 9450: best_fit = 55.1548
Gen 9500: best_fit = 55.1517
Gen 9550: best_fit = 55.1486
Gen 9600: best_fit = 55.1486
Gen 9650: best_fit = 55.1486
Gen 9700: best_fit = 55.1486
Gen 9750: best_fit = 55.1446
Gen 9800: best_fit = 55.1446
Gen 9850: best_fit = 55.1446
Gen 9900: best_fit = 55.1446
Gen 9950: best_fit = 55.1446
Gen 10000: best_fit = 55.1409

=== Final Results ===
Solver: GA
Generation = 10000
The best solution = 55.1409
Time = 9.5 s

exit code 0
