Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_qhh\Release\CED_Schedule.exe' --solver GDE --seed 9 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T200_E100_D300.txt --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 9
Pini (heuristic prob): 0.4
Solver: GDE
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"
Gen 50: best_fit = 1517.03
Gen 100: best_fit = 1464.07
Gen 150: best_fit = 1408.07
Gen 200: best_fit = 1392.7
Gen 250: best_fit = 1380.48
Gen 300: best_fit = 1366.73
Gen 350: best_fit = 1355.62
Gen 400: best_fit = 1327.97
Gen 450: best_fit = 1313.28
Gen 500: best_fit = 1304.36
Gen 550: best_fit = 1292.08
Gen 600: best_fit = 1287.99
Gen 650: best_fit = 1285.05
Gen 700: best_fit = 1269.1
Gen 750: best_fit = 1267.42
Gen 800: best_fit = 1265.05
Gen 850: best_fit = 1256.11
Gen 900: best_fit = 1250.46
Gen 950: best_fit = 1246.66
Gen 1000: best_fit = 1243.7
Gen 1050: best_fit = 1241.61
Gen 1100: best_fit = 1239.84
Gen 1150: best_fit = 1225.78
Gen 1200: best_fit = 1222.51
Gen 1250: best_fit = 1221.11
Gen 1300: best_fit = 1220.3
Gen 1350: best_fit = 1216.21
Gen 1400: best_fit = 1211.28
Gen 1450: best_fit = 1210.8
Gen 1500: best_fit = 1210.43
Gen 1550: best_fit = 1205.45
Gen 1600: best_fit = 1204.07
Gen 1650: best_fit = 1202.33
Gen 1700: best_fit = 1198.54
Gen 1750: best_fit = 1189.27
Gen 1800: best_fit = 1186.25
Gen 1850: best_fit = 1180.86
Gen 1900: best_fit = 1176.38
Gen 1950: best_fit = 1170.72
Gen 2000: best_fit = 1168.87
Gen 2050: best_fit = 1167.53
Gen 2100: best_fit = 1167.09
Gen 2150: best_fit = 1166.46
Gen 2200: best_fit = 1165.86
Gen 2250: best_fit = 1165.39
Gen 2300: best_fit = 1165.13
Gen 2350: best_fit = 1164.77
Gen 2400: best_fit = 1164.72
Gen 2450: best_fit = 1164.56
Gen 2500: best_fit = 1163.85
Gen 2550: best_fit = 1163.76
Gen 2600: best_fit = 1162.36
Gen 2650: best_fit = 1162.02
Gen 2700: best_fit = 1160.65
Gen 2750: best_fit = 1154.33
Gen 2800: best_fit = 1153.9
Gen 2850: best_fit = 1153.6
Gen 2900: best_fit = 1151.08
Gen 2950: best_fit = 1149.25
Gen 3000: best_fit = 1147.3
Gen 3050: best_fit = 1147.16
Gen 3100: best_fit = 1147.14
Gen 3150: best_fit = 1147.07
Gen 3200: best_fit = 1146.29
Gen 3250: best_fit = 1144.37
Gen 3300: best_fit = 1143.57
Gen 3350: best_fit = 1143.37
Gen 3400: best_fit = 1143.28
Gen 3450: best_fit = 1141.21
Gen 3500: best_fit = 1141.18
Gen 3550: best_fit = 1137.95
Gen 3600: best_fit = 1131.84
Gen 3650: best_fit = 1127.86
Gen 3700: best_fit = 1125.87
Gen 3750: best_fit = 1125.57
Gen 3800: best_fit = 1124.8
Gen 3850: best_fit = 1122.83
Gen 3900: best_fit = 1122.19
Gen 3950: best_fit = 1115.71
Gen 4000: best_fit = 1112.6
Gen 4050: best_fit = 1111.69
Gen 4100: best_fit = 1106.36
Gen 4150: best_fit = 1104.44
Gen 4200: best_fit = 1101.64
Gen 4250: best_fit = 1101.22
Gen 4300: best_fit = 1099.69
Gen 4350: best_fit = 1099.64
Gen 4400: best_fit = 1099.56
Gen 4450: best_fit = 1098.74
Gen 4500: best_fit = 1098.38
Gen 4550: best_fit = 1097.17
Gen 4600: best_fit = 1097.1
Gen 4650: best_fit = 1096.02
Gen 4700: best_fit = 1095.71
Gen 4750: best_fit = 1095.7
Gen 4800: best_fit = 1092.36
Gen 4850: best_fit = 1092.19
Gen 4900: best_fit = 1092.17
Gen 4950: best_fit = 1091.6
Gen 5000: best_fit = 1089.34
Gen 5050: best_fit = 1084.49
Gen 5100: best_fit = 1083.82
Gen 5150: best_fit = 1083.19
Gen 5200: best_fit = 1082.03
Gen 5250: best_fit = 1079.85
Gen 5300: best_fit = 1073.69
Gen 5350: best_fit = 1072.14
Gen 5400: best_fit = 1072.12
Gen 5450: best_fit = 1070.81
Gen 5500: best_fit = 1070.8
Gen 5550: best_fit = 1070.46
Gen 5600: best_fit = 1070.44
Gen 5650: best_fit = 1070.43
Gen 5700: best_fit = 1068.6
Gen 5750: best_fit = 1068.06
Gen 5800: best_fit = 1066.78
Gen 5850: best_fit = 1064.95
Gen 5900: best_fit = 1064.86
Gen 5950: best_fit = 1064.84
Gen 6000: best_fit = 1063.27
Gen 6050: best_fit = 1062.52
Gen 6100: best_fit = 1062.48
Gen 6150: best_fit = 1062.47
Gen 6200: best_fit = 1062.45
Gen 6250: best_fit = 1062.45
Gen 6300: best_fit = 1057.25
Gen 6350: best_fit = 1057
Gen 6400: best_fit = 1056.2
Gen 6450: best_fit = 1055.77
Gen 6500: best_fit = 1055.34
Gen 6550: best_fit = 1053.9
Gen 6600: best_fit = 1052.85
Gen 6650: best_fit = 1052.84
Gen 6700: best_fit = 1051.5
Gen 6750: best_fit = 1051.48
Gen 6800: best_fit = 1050.9
Gen 6850: best_fit = 1048.19
Gen 6900: best_fit = 1046.02
Gen 6950: best_fit = 1044.99
Gen 7000: best_fit = 1044.92
Gen 7050: best_fit = 1044.91
Gen 7100: best_fit = 1044.88
Gen 7150: best_fit = 1044.65
Gen 7200: best_fit = 1044.65
Gen 7250: best_fit = 1044.62
Gen 7300: best_fit = 1044.62
Gen 7350: best_fit = 1040.46
Gen 7400: best_fit = 1039.45
Gen 7450: best_fit = 1038.29
Gen 7500: best_fit = 1038.29
Gen 7550: best_fit = 1038.27
Gen 7600: best_fit = 1034.94
Gen 7650: best_fit = 1033.86
Gen 7700: best_fit = 1033.51
Gen 7750: best_fit = 1032.83
Gen 7800: best_fit = 1031.03
Gen 7850: best_fit = 1030.53
Gen 7900: best_fit = 1029.95
Gen 7950: best_fit = 1029.64
Gen 8000: best_fit = 1029.62
Gen 8050: best_fit = 1029.53
Gen 8100: best_fit = 1028.34
Gen 8150: best_fit = 1028.06
Gen 8200: best_fit = 1028.06
Gen 8250: best_fit = 1027.59
Gen 8300: best_fit = 1025.99
Gen 8350: best_fit = 1025.91
Gen 8400: best_fit = 1025.84
Gen 8450: best_fit = 1025.29
Gen 8500: best_fit = 1025.28
Gen 8550: best_fit = 1024.15
Gen 8600: best_fit = 1023.03
Gen 8650: best_fit = 1022.98
Gen 8700: best_fit = 1022.02
Gen 8750: best_fit = 1020.08
Gen 8800: best_fit = 1019.82
Gen 8850: best_fit = 1019.81
Gen 8900: best_fit = 1019.78
Gen 8950: best_fit = 1019.78
Gen 9000: best_fit = 1018.6
Gen 9050: best_fit = 1017.77
Gen 9100: best_fit = 1017.42
Gen 9150: best_fit = 1017.4
Gen 9200: best_fit = 1017.4
Gen 9250: best_fit = 1017.39
Gen 9300: best_fit = 1017.37
Gen 9350: best_fit = 1017.37
Gen 9400: best_fit = 1017.37
Gen 9450: best_fit = 1017.36
Gen 9500: best_fit = 1015.15
Gen 9550: best_fit = 1015.15
Gen 9600: best_fit = 1013.55
Gen 9650: best_fit = 1012.57
Gen 9700: best_fit = 1011.61
Gen 9750: best_fit = 1011.6
Gen 9800: best_fit = 1011.59
Gen 9850: best_fit = 1011.57
Gen 9900: best_fit = 1011.57
Gen 9950: best_fit = 1011.56
Gen 10000: best_fit = 1011.55

=== Final Results ===
Solver: GDE
Generation = 10000
The best solution = 1011.55
Time = 119.507 s

exit code 0
