=== CED_Schedule Configuration ===
Data directory: ".\\\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 1
Pini (heuristic prob): 0.4
Solver: CCHIHH
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
=================================
[Initial] Loading data from: ".\\\\data\\data_matrix_100.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=100, M_Jnum=100, M_OPTnum=5, ops=500
  Nvar=1200, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=200
  Block 1 (seq): start=200, len=500
  Block 2 (dev): start=700, len=500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 55.7931
Gen 50: best_fit = 55.7502
Gen 100: best_fit = 55.7022
Gen 150: best_fit = 55.6698
Gen 200: best_fit = 55.6514
Gen 250: best_fit = 55.639
Gen 300: best_fit = 55.6236
Gen 350: best_fit = 55.6116
Gen 400: best_fit = 55.5882
Gen 450: best_fit = 55.5737
Gen 500: best_fit = 55.5636
Gen 550: best_fit = 55.5408
Gen 600: best_fit = 55.5235
Gen 650: best_fit = 55.5155
Gen 700: best_fit = 55.5041
Gen 750: best_fit = 55.4896
Gen 800: best_fit = 55.4819
Gen 850: best_fit = 55.4761
Gen 900: best_fit = 55.4684
Gen 950: best_fit = 55.457
Gen 1000: best_fit = 55.4496
Gen 1050: best_fit = 55.4425
Gen 1100: best_fit = 55.4382
Gen 1150: best_fit = 55.4348
Gen 1200: best_fit = 55.4283
Gen 1250: best_fit = 55.4222
Gen 1300: best_fit = 55.4136
Gen 1350: best_fit = 55.4059
Gen 1400: best_fit = 55.3972
Gen 1450: best_fit = 55.3941
Gen 1500: best_fit = 55.3898
Gen 1550: best_fit = 55.3821
Gen 1600: best_fit = 55.3787
Gen 1650: best_fit = 55.3704
Gen 1700: best_fit = 55.3664
Gen 1750: best_fit = 55.3556
Gen 1800: best_fit = 55.3486
Gen 1850: best_fit = 55.3467
Gen 1900: best_fit = 55.3396
Gen 1950: best_fit = 55.3319
Gen 2000: best_fit = 55.3313
Gen 2050: best_fit = 55.3255
Gen 2100: best_fit = 55.3224
Gen 2150: best_fit = 55.3218
