gen,GA,DE,GDE,CCHIHH (non-stable),CCHIHH (stable)
50,1.1684399092963164e-05,0.0006617941950113535,7.557868480725752e-05,4.911378684807141e-05,6.131582766439479e-05
100,1.46214058956847e-05,0.0008009141950113233,9.766054421768533e-05,8.616916099773535e-05,0.00011058503401361246
150,2.4397732426298333e-05,0.0009206433106575938,0.00010735759637189781,0.00012546585034013398,0.00017450140589568883
200,2.6304671201811756e-05,0.0009712271201814215,0.00010901455782313128,0.0001742536054421809,0.00019161746031744228
250,2.6304671201811756e-05,0.001211649024943298,0.0001534434467120248,0.00040831514739229474,0.00023200140589569565
300,2.7583446712012812e-05,0.0012830833106576072,0.00018384943310656874,0.000564063275000016,0.00020337990929703985
350,2.5740544217681727e-05,0.0017765453514739522,0.00021823378684806093,0.0008345572750000169,0.00016470712018139467
400,2.6152970521538572e-05,0.002161420453514798,0.00021634190476185227,0.0010900230999999648,0.0001768190476190413
450,2.4819909297048936e-05,0.0028390278911564234,0.0001994126530612056,0.0014722602749999742,0.00012527619047619486
500,2.4819909297048936e-05,0.003931714421768732,0.00021716503401359157,0.0018359036000000109,0.00013151578231292388
550,2.4819909297048936e-05,0.0045549896598640165,0.0002253015419501288,0.0022705782750000367,0.00013188086167799867
600,2.3435555555551526e-05,0.0051713291609976975,0.00028337895691612233,0.00268983772853186,0.00010853347500001457
650,2.3747936507933636e-05,0.005254813922902503,0.00031302916099774507,0.0032110082548476456,0.0001335300000000116
700,2.4105306122446423e-05,0.005392961496598682,0.00031489324263039544,0.0036025381717451656,9.74412750000018e-05
750,2.2498412698408658e-05,0.005590609024943325,0.0003079894331065877,0.004229788642659308,9.803787499999174e-05
800,2.623963718820803e-05,0.0057969659863944785,0.0002979097959183868,0.004718766703601253,0.00010760327499999362
850,2.623963718820803e-05,0.00609615705215415,0.00029785963718823727,0.0052440729639888686,0.00010908627500000796
900,2.791229024943115e-05,0.00652106598639456,0.000345481541950152,0.00559112365650965,0.00010282759999998277
950,2.937047619047551e-05,0.006661917596371834,0.00035411392290252386,0.006070686315789383,9.779627499999521e-05
1000,2.872467120181318e-05,0.006984858956915969,0.00032346045351473366,0.006348058116343425,8.775547499998371e-05
1050,3.010154195011413e-05,0.00727066530612232,0.0003282764625850341,0.006822187202216127,7.214059999998447e-05
1100,3.010154195011413e-05,0.007530165215419475,0.00033962857142857635,0.007214590803324029,7.009500000000084e-05
1150,2.746752834467431e-05,0.0076109995011337545,0.00035507868480725516,0.007726196066482069,8.226659279779408e-05
1200,2.746752834467431e-05,0.007649229024943292,0.00037791133786848626,0.008220318171745112,7.62051523545654e-05
1250,2.746752834467431e-05,0.007736044897959085,0.00041562489795917904,0.009032049529085874,6.344163580245234e-05
1300,3.066244897959382e-05,0.007832289115646212,0.0004055585487528409,0.00953664986149584,5.918472222222376e-05
1350,2.9728571428572938e-05,0.007921832018140612,0.00041731895691611884,0.010001475069251945,6.674250000000836e-05
1400,2.9728571428572938e-05,0.00798415678004532,0.0004201151473923192,0.010337377174515189,6.713719135801783e-05
1450,2.965473922902931e-05,0.008064088072562384,0.0004146536507936754,0.010536806204986109,5.669138888888972e-05
1500,2.965473922902931e-05,0.008188249433106629,0.00041698013605444636,0.011100700055401501,6.344098765432169e-05
1550,3.276408163265313e-05,0.008239605623582847,0.0004057005895691798,0.011400019889196568,6.889978395061885e-05
1600,3.333197278911235e-05,0.008220615510204131,0.0004109814058957221,0.011856545872576053,6.296867283950397e-05
1650,3.333197278911235e-05,0.008359696734694003,0.0003977129705215743,0.012436625650969408,5.7756913580240843e-05
1700,2.892820861677851e-05,0.008389065623582801,0.00039774535147395543,0.013058806814404555,5.523555555554697e-05
1750,2.9885034013598923e-05,0.008367778684807307,0.00039462562358280633,0.013592075844875177,5.698876543209883e-05
1800,2.9885034013598923e-05,0.00837816979591838,0.00039068625850344197,0.014123931966758924,6.37033333333376e-05
1850,2.9885034013598923e-05,0.008403888843537422,0.0003703144217687312,0.014384297229916812,5.925469135802103e-05
1900,2.9885034013598923e-05,0.00857177990929714,0.00036265419501135495,0.014803069806094197,6.342200617284619e-05
1950,3.275800453514346e-05,0.00871332013605455,0.0003605752380952556,0.015214315678670381,5.398645061727167e-05
2000,3.3920272108839564e-05,0.008787123310657742,0.00034110562358276113,0.015531896066481922,7.839138888889133e-05
2050,3.39120181405847e-05,0.008854418412698527,0.000340878548752827,0.01571099667590036,8.555052469135664e-05
2100,3.306848072561967e-05,0.008903649523809636,0.00032524426303855245,0.016073510083102562,7.598802469136117e-05
2150,3.267455782312587e-05,0.008919077732426416,0.0003209525170068121,0.0162146581163437,0.00010131802469134926
2200,3.273578231292167e-05,0.008943004263038698,0.00031766562358277197,0.016279479279778453,0.00011487802469136928
2250,3.5045079365074294e-05,0.008959041541950203,0.00031399079365079774,0.015274344320987792,0.0001014523765432067
2300,3.84372789115637e-05,0.008972777596371963,0.00031378108843537877,0.015455783950617388,0.00012992645061729442
2350,3.84372789115637e-05,0.008960504897959218,0.00030811868480725416,0.015515258888888973,0.00013320805555556314
2400,3.84372789115637e-05,0.008945006303854879,0.00030645959183673216,0.015920546450617343,0.00012291617283949457
2450,3.84372789115637e-05,0.009024357052154177,0.0002708608616780292,0.01620470570987648,0.00012938395061730366
2500,4.209229024943429e-05,0.009019449024943295,0.0002719614058957204,0.017146065813149123,0.00014167496913580218
2550,4.209229024943429e-05,0.009000220589569143,0.00026215632653062626,0.01728625280276814,0.0001299764506172794
2600,4.1793242630386456e-05,0.008909417596371835,0.0002680136507936604,0.017280964083044987,0.00014108802469137513
2650,4.1793242630386456e-05,0.008973303310657559,0.0002725932426304062,0.017267116608996384,0.00013782793209876206
