=== CED_Schedule Configuration ===
Data directory: "data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 1
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/100/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
=================================
[Initial] Loading data from: "data\\data_matrix_100.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=100, M_Jnum=100, M_OPTnum=5, ops=500
  Nvar=1200, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=200
  Block 1 (seq): start=200, len=500
  Block 2 (dev): start=700, len=500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 55.7931
Gen 50: best_fit = 55.7398
Gen 100: best_fit = 55.7102
Gen 150: best_fit = 55.6997
Gen 200: best_fit = 55.6871
Gen 250: best_fit = 55.6745
Gen 300: best_fit = 55.6621
Gen 350: best_fit = 55.639
Gen 400: best_fit = 55.6048
Gen 450: best_fit = 55.5904
Gen 500: best_fit = 55.575
Gen 550: best_fit = 55.5614
Gen 600: best_fit = 55.5503
Gen 650: best_fit = 55.5303
Gen 700: best_fit = 55.5146
Gen 750: best_fit = 55.5001
Gen 800: best_fit = 55.4844
Gen 850: best_fit = 55.469
Gen 900: best_fit = 55.4622
Gen 950: best_fit = 55.4502
Gen 1000: best_fit = 55.4431
Gen 1050: best_fit = 55.4317
Gen 1100: best_fit = 55.4234
Gen 1150: best_fit = 55.4163
Gen 1200: best_fit = 55.4123
Gen 1250: best_fit = 55.4077
Gen 1300: best_fit = 55.404
Gen 1350: best_fit = 55.404
Gen 1400: best_fit = 55.3926
Gen 1450: best_fit = 55.3904
Gen 1500: best_fit = 55.3824
Gen 1550: best_fit = 55.3787
Gen 1600: best_fit = 55.3714
Gen 1650: best_fit = 55.3636
Gen 1700: best_fit = 55.3596
Gen 1750: best_fit = 55.3504
Gen 1800: best_fit = 55.3461
Gen 1850: best_fit = 55.3399
Gen 1900: best_fit = 55.3365
Gen 1950: best_fit = 55.3298
Gen 2000: best_fit = 55.3258
Gen 2050: best_fit = 55.3218
