Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver GDE --seed 2 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_T300_E150_D500.txt --cnum 150 --enum 150 --dnum 500 --tnum 300 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_T300_E150_D500.txt
Generations: 10000
Population size: 40
Random seed: 2
Pini (heuristic prob): 0.4
Solver: GDE
Cnum/Enum/Dnum/Tnum/Mopt: 150/150/500/300/5
Migration: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_T300_E150_D500.txt"
Gen 50: best_fit = 1701.62
Gen 100: best_fit = 1589.02
Gen 150: best_fit = 1556.9
Gen 200: best_fit = 1509.32
Gen 250: best_fit = 1487.47
Gen 300: best_fit = 1473.97
Gen 350: best_fit = 1459.9
Gen 400: best_fit = 1441.12
Gen 450: best_fit = 1433.87
Gen 500: best_fit = 1429.37
Gen 550: best_fit = 1422.67
Gen 600: best_fit = 1409.37
Gen 650: best_fit = 1403.04
Gen 700: best_fit = 1397.62
Gen 750: best_fit = 1379.73
Gen 800: best_fit = 1374.18
Gen 850: best_fit = 1369.67
Gen 900: best_fit = 1365.03
Gen 950: best_fit = 1338.55
Gen 1000: best_fit = 1324.77
Gen 1050: best_fit = 1311.06
Gen 1100: best_fit = 1308.93
Gen 1150: best_fit = 1301.6
Gen 1200: best_fit = 1299.91
Gen 1250: best_fit = 1292.63
Gen 1300: best_fit = 1286.59
Gen 1350: best_fit = 1276.73
Gen 1400: best_fit = 1274.91
Gen 1450: best_fit = 1272.78
Gen 1500: best_fit = 1270.98
Gen 1550: best_fit = 1269.03
Gen 1600: best_fit = 1267.38
Gen 1650: best_fit = 1266.27
Gen 1700: best_fit = 1265.28
Gen 1750: best_fit = 1264.43
Gen 1800: best_fit = 1263.22
Gen 1850: best_fit = 1262.55
Gen 1900: best_fit = 1256.99
Gen 1950: best_fit = 1255.47
Gen 2000: best_fit = 1254.55
Gen 2050: best_fit = 1245.7
Gen 2100: best_fit = 1245.09
Gen 2150: best_fit = 1241.08
Gen 2200: best_fit = 1240.56
Gen 2250: best_fit = 1240.14
Gen 2300: best_fit = 1238.32
Gen 2350: best_fit = 1236.58
Gen 2400: best_fit = 1233.34
Gen 2450: best_fit = 1231.37
Gen 2500: best_fit = 1230.18
Gen 2550: best_fit = 1229.38
Gen 2600: best_fit = 1228.15
Gen 2650: best_fit = 1227.68
Gen 2700: best_fit = 1226.82
Gen 2750: best_fit = 1226.57
Gen 2800: best_fit = 1226.35
Gen 2850: best_fit = 1225.79
Gen 2900: best_fit = 1225.56
Gen 2950: best_fit = 1224.97
Gen 3000: best_fit = 1221.39
Gen 3050: best_fit = 1213.87
