gen,GA mean,GA var,DE mean,DE var,GDE mean,GDE var,CCHIHH_base mean,CCHIHH_base var,CCHIHH_stable mean,CCHIHH_stable var
50,1752.212,3588.7594159999962,1756.0520000000001,1964.0712960000005,1663.36,2612.98878,1676.946,5081.536964000004,1654.2009999999998,1588.4338689999993
100,1745.9389999999999,3269.576589000006,1755.493,1935.200201000001,1600.264,2600.4477839999972,1609.537,5478.5578810000015,1557.441,1933.2905689999996
150,1732.048,3097.0357360000007,1752.1419999999998,1798.4961560000006,1550.484,1815.468444000003,1554.53,3897.8962199999974,1492.1560000000002,1958.436363999998
200,1731.516,3024.308084,1744.917,1621.6958210000007,1518.1970000000001,1974.4323009999966,1515.398,4698.391595999997,1448.225,2174.794385000002
250,1722.2,2588.782579999998,1741.3110000000001,1412.586529,1497.308,2054.807276000001,1485.708,3813.1574760000003,1419.258,1737.6593359999993
300,1715.327,2920.074820999999,1741.3110000000001,1412.586529,1465.275,1825.9759650000003,1461.666,4238.468204,1389.127,1342.6542610000006
350,1712.131,2796.001968999998,1741.3110000000001,1412.586529,1445.034,1150.971444000001,1443.383,3805.1226209999995,1368.563,962.7696609999996
400,1706.1009999999999,3407.0822090000024,1740.366,1341.1133439999994,1425.901,1127.6321889999992,1426.342,3751.8378959999986,1345.585,890.2038649999997
450,1704.8830000000003,3440.5416609999993,1740.366,1341.1133439999994,1411.82,1288.733380000001,1408.1860000000001,4057.8720839999964,1333.655,899.0523450000021
500,1698.381,3854.755189000002,1737.2099999999998,1464.8790399999984,1403.291,1325.3137489999988,1388.774,3597.9209239999973,1318.67,772.5211600000007
550,1688.025,3102.333265000003,1737.2099999999998,1464.8790399999984,1393.5369999999998,1384.2538409999975,1373.831,3102.984588999997,1306.885,700.5583650000005
600,1680.703,4171.304841,1737.2099999999998,1464.8790399999984,1384.29,1419.788039999998,1363.776,2844.391303999998,1299.337,803.1032009999999
650,1678.4630000000002,4146.814661,1730.282,1194.6657759999985,1374.447,1044.9101809999997,1353.136,2478.7612640000016,1287.618,738.239236000001
700,1677.7490000000003,4111.822549000003,1728.575,967.9539849999994,1358.101,659.730508999999,1344.234,2515.1012639999967,1274.782,980.9539159999995
750,1676.6680000000001,4107.819756000004,1728.575,967.9539849999994,1346.193,693.1713409999988,1333.839,1750.351808999998,1264.417,1086.6132609999988
800,1670.9810000000002,3947.968189000002,1728.575,967.9539849999994,1338.946,732.8918839999999,1325.527,1504.3045010000005,1256.489,1273.8783889999988
850,1670.4150000000002,3954.204025000004,1728.575,967.9539849999994,1332.624,755.1696440000007,1318.135,1245.1487850000008,1248.403,1650.6108409999983
900,1669.354,3871.4538039999993,1728.575,967.9539849999994,1327.041,811.545769000001,1315.027,1255.3330809999966,1240.67,1899.1244800000022
950,1657.527,3509.8327809999996,1728.575,967.9539849999994,1319.336,745.8340439999995,1306.423,1051.074501000002,1234.596,1977.682604000002
1000,1655.6740000000002,3485.6121840000014,1728.575,967.9539849999994,1312.739,792.9519290000005,1300.952,900.8831360000011,1226.784,2118.0339439999975
1050,1651.432,3630.7879559999988,1728.575,967.9539849999994,1306.6209999999999,700.5591889999986,1295.396,787.3645840000015,1221.878,2257.3302759999983
1100,1650.2,3633.9463399999972,1728.575,967.9539849999994,1301.633,712.2776009999995,1289.8,743.0011800000011,1217.206,2245.6782239999984
1150,1649.08,3728.2852599999997,1728.575,967.9539849999994,1297.002,686.6905360000012,1282.276,822.9506239999995,1213.667,2348.6764809999995
1200,1648.1619999999998,3713.631436000001,1728.575,967.9539849999994,1291.892,669.4341360000024,1275.825,836.7706849999995,1209.04,2382.8299600000014
1250,1646.4759999999999,3722.4877240000033,1728.575,967.9539849999994,1288.157,606.2995810000018,1270.624,834.741863999999,1201.829,2645.236909
1300,1645.3259999999998,3649.473924000001,1728.575,967.9539849999994,1281.124,596.4315040000001,1264.613,790.6629810000006,1198.7710000000002,2806.8370089999976
1350,1643.587,3740.3767010000033,1728.575,967.9539849999994,1275.109,627.9176290000003,1261.049,845.2948689999987,1195.502,3044.9939959999997
1400,1642.2310000000002,3857.3234290000028,1728.575,967.9539849999994,1270.451,655.0619089999992,1257.142,991.7548959999989,1191.734,3255.8704840000005
1450,1641.471,3908.6349090000003,1728.575,967.9539849999994,1266.602,695.2250559999995,1251.569,873.3475689999992,1188.361,3414.1293090000013
1500,1640.632,3860.637776000002,1728.482,960.9126760000006,1263.876,760.6158440000006,1247.5639999999999,815.8076640000007,1186.834,3421.140844
1550,1639.157,3958.300680999996,1728.482,960.9126760000006,1261.76,747.2413400000014,1242.298,884.3924759999987,1183.044,3556.516544000003
1600,1638.2549999999999,3903.9686650000017,1728.482,960.9126760000006,1258.4389999999999,788.2557289999992,1239.118,869.7421160000025,1179.805,3765.623284999998
1650,1637.3049999999998,3924.892565000003,1728.482,960.9126760000006,1255.738,826.3313560000008,1234.101,852.5681090000028,1177.9850000000001,3789.4087650000015
1700,1635.7959999999998,3956.4776240000037,1724.6439999999998,806.1107840000001,1251.825,845.6256449999992,1231.8690000000001,923.7183090000005,1174.45,3912.9794999999986
1750,1635.19,3972.261339999998,1724.6439999999998,806.1107840000001,1248.714,870.3658039999985,1230.0639999999999,975.3638240000022,1172.736,3925.228384000001
1800,1629.9,3933.92854,1724.334,796.0351640000002,1245.143,913.0744409999986,1227.784,999.9172040000016,1169.969,4041.0021289999977
1850,1628.6889999999999,3945.315229000005,1724.334,796.0351640000002,1242.02,957.1603000000011,1225.136,977.6210239999995,1168.4119999999998,4005.238796000005
1900,1627.372,4004.6768760000014,1724.334,796.0351640000002,1239.711,929.1031690000005,1222.328,988.1087559999982,1166.286,3946.282664
1950,1626.894,3940.5902839999994,1724.334,796.0351640000002,1237.188,906.8723759999991,1218.984,1066.9600240000027,1163.85,4056.48678
2000,1625.014,3863.2535040000002,1724.334,796.0351640000002,1235.867,904.3371410000015,1216.538,1064.705355999999,1162.366,4050.420544000003
2050,1621.224,4497.399903999996,1724.334,796.0351640000002,1233.7040000000002,860.9146839999992,1214.808,1104.7981359999992,1161.341,4063.4631689999965
2100,1620.287,4558.584160999997,1722.1799999999998,823.9811600000005,1232.306,831.9905439999975,1213.118,1128.0741359999993,1160.395,4044.2775050000027
2150,1619.038,4384.533695999997,1722.1799999999998,823.9811600000005,1229.815,835.9007849999996,1210.534,1216.490064,1159.706,4061.8798839999968
2200,1615.663,4227.676620999999,1722.1799999999998,823.9811600000005,1226.964,852.8822839999979,1208.409,1232.7520489999997,1158.716,4064.3992640000024
2250,1613.732,4111.788196000003,1722.1799999999998,823.9811600000005,1225.74,812.6700200000013,1206.366,1349.824083999997,1157.863,4046.9483810000006
2300,1612.915,4089.497725000004,1722.1799999999998,823.9811600000005,1224.001,814.8505889999996,1205.409,1375.131369000001,1156.511,4084.363008999998
2350,1611.294,3900.6736840000026,1717.6680000000001,791.7161960000003,1222.465,776.1332849999998,1203.569,1363.4342289999995,1155.511,4077.966029
2400,1609.718,3895.515736000004,1717.6680000000001,791.7161960000003,1219.661,770.7803289999989,1202.444,1383.1609640000001,1154.882,4097.652115999999
2450,1607.99,3911.3490199999987,1717.6680000000001,791.7161960000003,1217.1119999999999,706.4821360000007,1200.0040000000001,1447.3368440000008,1154.071,4103.352848999998
2500,1606.5700000000002,3686.8270000000057,1717.6680000000001,791.7161960000003,1214.6370000000002,709.4624610000009,1198.2350000000001,1494.9432650000006,1153.157,4162.8597210000025
2550,1605.78,3631.186079999995,1717.6680000000001,791.7161960000003,1212.877,711.4263810000014,1195.941,1538.5965090000004,1152.5130000000001,4167.379281000004
2600,1605.2630000000001,3642.2979209999985,1717.6680000000001,791.7161960000003,1211.5459999999998,691.3839240000008,1194.713,1529.030160999999,1151.355,4169.1559849999985
2650,1601.903,3857.560421000002,1717.6680000000001,791.7161960000003,1210.1770000000001,714.0086609999989,1192.734,1537.5609039999988,1150.6039999999998,4184.892124000001
2700,1601.5819999999999,3849.988576000001,1717.6680000000001,791.7161960000003,1208.3539999999998,762.7178640000002,1191.6100000000001,1514.1524200000024,1149.512,4220.526496000004
2750,1600.766,3796.771063999997,1717.6680000000001,791.7161960000003,1206.488,801.9696159999992,1190.972,1523.6396159999997,1148.665,4215.779925000001
2800,1600.5030000000002,3793.3701609999976,1717.6680000000001,791.7161960000003,1204.6889999999999,787.7073489999989,1190.276,1531.6829439999995,1146.9940000000001,4290.108363999996
2850,1600.095,3828.8484850000013,1717.6680000000001,791.7161960000003,1203.406,803.7253440000007,1189.684,1528.6965040000014,1146.0430000000001,4321.667061000001
2900,1597.069,3691.3965689999977,1717.527,784.8304609999999,1201.775,822.8797650000006,1188.973,1524.9568409999977,1145.428,4321.356956
2950,1596.51,3695.027800000001,1717.527,784.8304609999999,1201.211,818.3824490000012,1186.809,1597.3641489999998,1144.185,4374.031645000001
3000,1595.25,3708.3267600000013,1717.527,784.8304609999999,1199.711,765.6126489999989,1185.159,1654.2020490000007,1143.1889999999999,4378.422468999998
3050,1593.577,3484.4766010000058,1717.527,784.8304609999999,1198.281,751.5589089999991,1183.854,1683.6232640000003,1142.383,4380.46476099999
3100,1593.182,3505.7973160000024,1717.527,784.8304609999999,1197.446,749.5312239999998,1183.044,1705.7846239999994,1141.169,4391.741868999998
3150,1590.363,3341.3106609999945,1717.527,784.8304609999999,1196.843,748.0558009999985,1182.2379999999998,1729.4508759999994,1140.522,4407.506955999999
3200,1589.8780000000002,3349.798315999998,1717.527,784.8304609999999,1195.373,710.5270210000006,1181.268,1754.9606759999983,1140.017,4428.824481
3250,1588.3719999999998,3200.0718760000004,1717.527,784.8304609999999,1194.3719999999998,736.7786960000012,1178.355,1801.0130850000037,1138.613,4512.136940999997
3300,1581.6770000000001,3085.469721000001,1717.527,784.8304609999999,1192.833,768.4498809999999,1176.319,1880.4196690000012,1137.834,4539.4151239999965
3350,1580.313,3123.6165610000016,1717.527,784.8304609999999,1191.174,763.2964639999993,1173.955,2049.999305000002,1135.954,4629.515884000002
3400,1579.538,3188.9634160000014,1717.527,784.8304609999999,1190.1950000000002,791.9416650000006,1171.808,2093.5180960000002,1134.96,4704.425579999997
3450,1578.899,3101.137068999996,1717.527,784.8304609999999,1189.072,781.0228159999982,1169.2150000000001,2145.485364999999,1134.316,4722.604723999998
3500,1577.674,3048.588503999998,1717.527,784.8304609999999,1187.895,773.4988449999996,1166.815,2222.625405,1133.094,4812.944483999996
3550,1576.406,3066.0153640000035,1717.527,784.8304609999999,1185.932,749.8533960000005,1165.998,2216.7052760000006,1132.377,4799.072420999999
3600,1576.279,3053.8754889999996,1717.527,784.8304609999999,1185.0610000000001,743.7662890000005,1164.846,2237.8531239999993,1130.286,4825.213684000002
3650,1575.9299999999998,3091.41162,1717.527,784.8304609999999,1183.978,754.5754959999983,1162.78,2287.154819999998,1129.5149999999999,4843.365625000003
3700,1573.5610000000001,3036.2528489999995,1717.527,784.8304609999999,1183.257,763.8802209999978,1161.21,2305.021919999998,1128.1709999999998,4860.432929000002
3750,1571.4959999999999,3048.368924,1717.527,784.8304609999999,1182.035,811.3497650000002,1159.703,2309.6590009999973,1126.004,4719.310323999998
3800,1571.1680000000001,3021.5389960000007,1717.527,784.8304609999999,1181.345,805.1007250000032,1156.657,2478.433920999999,1124.855,4749.780825
3850,1570.694,3031.2483839999977,1717.527,784.8304609999999,1180.201,802.3809290000002,1154.938,2468.916415999999,1123.8960000000002,4782.8418440000005
3900,1570.321,3054.803388999998,1717.527,784.8304609999999,1179.395,791.373464999999,1153.804,2445.0725039999993,1122.989,4807.567328999998
3950,1568.589,2849.594389000001,1717.527,784.8304609999999,1177.903,752.3427409999993,1153.3020000000001,2435.6437959999976,1121.331,4849.137449000001
4000,1567.184,2742.071744,1717.527,784.8304609999999,1177.1029999999998,765.146661,1152.7959999999998,2424.371003999996,1120.703,4834.907601000003
4050,1565.039,2814.059308999996,1717.527,784.8304609999999,1176.709,763.1985890000008,1151.943,2440.628640999996,1117.449,4332.744429000001
4100,1564.337,2885.499361000002,1717.527,784.8304609999999,1176.2350000000001,760.8420850000012,1150.623,2465.9548810000024,1116.259,4252.289368999997
4150,1559.405,2133.645925,1717.527,784.8304609999999,1175.7440000000001,776.0793039999995,1150.018,2465.5144359999986,1114.809,4203.045209000003
4200,1558.6799999999998,2145.5022000000004,1717.527,784.8304609999999,1174.482,830.6159960000002,1149.359,2474.875648999997,1114.462,4196.216655999998
4250,1558.275,2129.522805000001,1717.527,784.8304609999999,1173.782,823.8139560000009,1148.999,2478.5252489999957,1112.2930000000001,4296.040200999998
4300,1557.674,2127.061164000001,1717.527,784.8304609999999,1172.993,785.6389409999992,1148.551,2484.283309000001,1110.6309999999999,4349.304628999998
4350,1557.522,2118.074616000001,1717.527,784.8304609999999,1172.491,777.7259689999994,1147.102,2331.4329559999956,1110.218,4355.297056000003
4400,1557.081,2109.9498889999963,1714.6349999999998,722.5425650000001,1171.599,767.396289,1145.3200000000002,2173.0625799999975,1109.1399999999999,4405.148180000003
4450,1555.136,2029.2303640000002,1714.6349999999998,722.5425650000001,1170.983,749.440561,1143.964,2156.229023999998,1108.5030000000002,4399.139960999997
4500,1552.597,2062.4738410000004,1714.6349999999998,722.5425650000001,1170.239,736.2780489999983,1142.5,2136.2855999999983,1107.809,4350.003889000001
4550,1551.6,2105.154259999998,1714.6349999999998,722.5425650000001,1169.49,749.4032200000008,1141.209,2142.1653089999995,1107.1100000000001,4295.508280000001
4600,1551.377,2099.7909009999976,1714.6349999999998,722.5425650000001,1168.892,751.0948560000019,1139.785,2191.8130050000022,1106.315,4342.323284999995
4650,1550.522,2101.329036,1714.6349999999998,722.5425650000001,1168.6680000000001,746.6098959999978,1138.6680000000001,2250.1253560000023,1105.676,4304.676223999998
4700,1549.627,2122.1710810000036,1714.6349999999998,722.5425650000001,1167.947,737.269740999999,1136.768,2343.208796000001,1105.33,4316.031859999999
4750,1549.4630000000002,2113.3955010000004,1711.8709999999999,389.6077090000014,1167.574,725.146284000001,1134.907,2383.1658610000004,1104.593,4348.508920999996
4800,1548.922,2123.500395999999,1711.8709999999999,389.6077090000014,1166.9360000000001,710.4905039999994,1133.853,2336.180481000002,1104.269,4352.847529000004
4850,1547.087,2229.752460999998,1711.8709999999999,389.6077090000014,1166.05,732.61248,1132.264,2374.2258040000024,1104.024,4358.695644000005
4900,1546.816,2214.762224000002,1711.8709999999999,389.6077090000014,1165.962,732.3791760000008,1131.297,2366.3323810000015,1103.8139999999999,4357.713523999997
4950,1545.346,2173.611444000001,1711.8709999999999,389.6077090000014,1164.931,729.9724489999999,1130.414,2359.7186440000005,1103.417,4371.323640999999
5000,1544.782,2188.9638359999994,1711.8709999999999,389.6077090000014,1164.584,716.5081039999998,1128.153,2392.184581000002,1102.951,4394.520328999999
5050,1541.592,2221.641736000001,1711.8709999999999,389.6077090000014,1164.033,703.4093210000003,1126.824,2316.730823999999,1102.5610000000001,4394.243868999997
5100,1540.908,2181.575336,1711.8709999999999,389.6077090000014,1163.676,706.1265439999995,1123.646,2402.7632239999994,1102.308,4400.221835999999
5150,1539.34,2195.042859999998,1711.8709999999999,389.6077090000014,1162.958,711.3916359999978,1122.743,2431.700561000002,1101.9940000000001,4404.292763999997
5200,1539.096,2200.585423999999,1711.765,387.1989650000015,1162.557,727.8694809999984,1121.3690000000001,2359.6825890000027,1101.7689999999998,4414.989409000001
5250,1538.44,2235.0469200000052,1711.765,387.1989650000015,1162.0549999999998,733.6341250000003,1119.53,2365.373560000001,1101.449,4425.3569089999955
5300,1534.617,1906.5936609999985,1711.765,387.1989650000015,1161.329,774.5282490000016,1118.219,2409.010328999999,1100.599,4477.176489000002
5350,1533.7459999999999,1861.9966039999988,1711.765,387.1989650000015,1160.867,774.8049810000023,1117.157,2450.877141000001,1100.298,4485.994755999998
5400,1532.6100000000001,1839.953579999997,1711.765,387.1989650000015,1160.441,782.4025890000001,1116.3229999999999,2470.7603610000033,1100.104,4485.152004000003
5450,1532.276,1836.1478640000005,1711.765,387.1989650000015,1160.01,799.3713600000008,1115.7649999999999,2479.145205,1099.652,4507.351515999997
5500,1531.915,1822.9174250000026,1711.765,387.1989650000015,1158.926,780.4935039999998,1114.919,2499.070409,1099.0040000000001,4478.793804000003
5550,1530.909,1875.884629000003,1711.765,387.1989650000015,1158.3799999999999,781.1868799999993,1113.97,2545.0408799999996,1098.558,4505.652175999998
5600,1530.206,1878.5344640000021,1711.765,387.1989650000015,1157.919,762.1798890000018,1113.049,2594.469049000003,1098.328,4511.421596000001
5650,1529.8229999999999,1884.571421000001,1711.765,387.1989650000015,1156.866,761.5777239999989,1112.537,2605.770160999998,1098.107,4510.512661
5700,1528.4869999999999,1842.4832609999999,1711.765,387.1989650000015,1156.3719999999998,758.3136559999984,1111.146,2631.434284,1097.616,4539.454204
5750,1528.193,1855.6584810000018,1711.765,387.1989650000015,1155.605,729.7717050000016,1109.7549999999999,2673.5338050000028,1096.602,4570.008475999996
5800,1527.911,1832.572629000001,1708.636,440.3473840000012,1154.229,725.7295690000003,1109.285,2689.179945000002,1096.089,4558.422969
5850,1526.955,1824.683385000001,1708.636,440.3473840000012,1153.5439999999999,738.4663439999997,1108.701,2710.1660689999967,1095.607,4546.618521000001
5900,1525.636,1783.5188639999974,1708.636,440.3473840000012,1152.335,717.2644449999988,1107.144,2769.3720640000006,1094.411,4463.5405690000025
5950,1524.878,1771.9152759999974,1708.636,440.3473840000012,1151.617,696.8457410000007,1106.191,2810.846969000001,1093.343,4404.995621000001
6000,1523.693,1792.4155009999988,1708.636,440.3473840000012,1151.3020000000001,686.3072159999983,1105.8319999999999,2809.1748959999995,1092.768,4438.625576
6050,1522.6380000000001,1830.858496,1708.636,440.3473840000012,1150.324,678.4586840000022,1105.205,2808.3690249999977,1092.478,4440.522115999998
6100,1522.013,1885.1916409999983,1708.636,440.3473840000012,1149.3139999999999,708.9829239999996,1104.7450000000001,2823.544465000001,1091.843,4424.348480999999
6150,1521.312,1882.5493759999997,1708.636,440.3473840000012,1149.03,702.3031599999986,1104.4180000000001,2827.695036000003,1091.626,4430.808524
6200,1519.839,1880.2344090000001,1708.636,440.3473840000012,1148.592,695.5185760000014,1103.556,2878.312624000003,1091.346,4442.120583999999
6250,1515.922,1883.7636560000003,1708.636,440.3473840000012,1148.258,690.0925560000019,1103.001,2906.890809000001,1091.023,4453.299241
6300,1515.249,1853.3537290000027,1708.636,440.3473840000012,1147.539,655.783489000001,1102.4950000000001,2921.8228650000037,1090.79,4454.8941600000035
6350,1514.6870000000001,1866.3400409999995,1708.636,440.3473840000012,1146.527,646.2152609999998,1101.4630000000002,3004.9873609999977,1090.525,4460.617404999999
6400,1514.508,1871.2810559999991,1706.723,474.33948100000123,1145.965,647.2816450000003,1100.8529999999998,3039.212500999999,1090.316,4468.911144
6450,1513.955,1885.328325,1706.723,474.33948100000123,1144.996,648.5032639999973,1100.514,3056.3661040000015,1089.307,4431.858921
6500,1513.512,1884.5341360000016,1706.723,474.33948100000123,1144.486,657.2791239999999,1100.3120000000001,3055.410515999999,1088.785,4416.673905000006
6550,1513.3619999999999,1889.9415159999967,1706.723,474.33948100000123,1143.842,636.6272359999997,1099.852,3078.0538559999995,1087.8780000000002,4346.033016000003
6600,1512.915,1890.4430649999981,1706.723,474.33948100000123,1143.683,636.2176409999995,1099.5700000000002,3095.536460000002,1087.583,4336.597700999999
6650,1512.641,1882.2985690000012,1706.723,474.33948100000123,1142.467,655.8473610000007,1099.346,3096.740884000004,1087.139,4317.7884890000005
6700,1512.388,1885.2016959999996,1706.723,474.33948100000123,1142.093,659.1830409999995,1098.846,3138.914403999999,1086.911,4317.182688999995
6750,1512.257,1888.1568610000006,1706.723,474.33948100000123,1141.654,684.6964239999994,1098.548,3134.5967359999977,1086.7369999999999,4323.391680999999
6800,1511.721,1829.9586290000007,1706.723,474.33948100000123,1141.182,693.4537759999998,1098.316,3137.988683999999,1086.4180000000001,4328.597735999998
