Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver CCHIHH --seed 8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 8
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_T500_E200_D800.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=500, M_Jnum=500, M_OPTnum=5, ops=2500
  Nvar=6000, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=1000
  Block 1 (seq): start=1000, len=2500
  Block 2 (dev): start=3500, len=2500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 2693.04
Gen 50: best_fit = 2007.71
Gen 100: best_fit = 1906.89
Gen 150: best_fit = 1859.95
Gen 200: best_fit = 1826.53
Gen 250: best_fit = 1810.99
Gen 300: best_fit = 1763.23
Gen 350: best_fit = 1739.16
Gen 400: best_fit = 1716.49
Gen 450: best_fit = 1705.13
Gen 500: best_fit = 1694.26
Gen 550: best_fit = 1676.73
Gen 600: best_fit = 1654.7
Gen 650: best_fit = 1646.7
Gen 700: best_fit = 1629.58
Gen 750: best_fit = 1610.25
Gen 800: best_fit = 1598.8
Gen 850: best_fit = 1591.94
Gen 900: best_fit = 1578.5
Gen 950: best_fit = 1573.94
Gen 1000: best_fit = 1571.25
Gen 1050: best_fit = 1563.04
Gen 1100: best_fit = 1558.28
Gen 1150: best_fit = 1555.87
Gen 1200: best_fit = 1552.61
Gen 1250: best_fit = 1541.45
Gen 1300: best_fit = 1520.12
