Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver GA --seed 10 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_T50_E50_D150.txt --cnum 50 --enum 50 --dnum 150 --tnum 50 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_T50_E50_D150.txt
Generations: 10000
Population size: 40
Random seed: 10
Pini (heuristic prob): 0.4
Solver: GA
Cnum/Enum/Dnum/Tnum/Mopt: 50/50/150/50/5
Migration: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_T50_E50_D150.txt"
Gen 50: best_fit = 1065.44
Gen 100: best_fit = 1050.49
Gen 150: best_fit = 1043.52
Gen 200: best_fit = 1043.24
Gen 250: best_fit = 1043.21
Gen 300: best_fit = 1041.78
Gen 350: best_fit = 1041.76
Gen 400: best_fit = 1041.76
Gen 450: best_fit = 1039.3
Gen 500: best_fit = 1039.26
Gen 550: best_fit = 1035.56
Gen 600: best_fit = 1025.86
Gen 650: best_fit = 1025.48
Gen 700: best_fit = 1025.48
Gen 750: best_fit = 1025.48
Gen 800: best_fit = 1025.15
Gen 850: best_fit = 1024.99
Gen 900: best_fit = 1024.91
Gen 950: best_fit = 1024.88
Gen 1000: best_fit = 1023.75
Gen 1050: best_fit = 1023.66
Gen 1100: best_fit = 1023.66
Gen 1150: best_fit = 1023.66
Gen 1200: best_fit = 1022.54
Gen 1250: best_fit = 1022.54
Gen 1300: best_fit = 1022.35
Gen 1350: best_fit = 1022.35
Gen 1400: best_fit = 1022.25
Gen 1450: best_fit = 1019.09
Gen 1500: best_fit = 1018.92
Gen 1550: best_fit = 1018.73
Gen 1600: best_fit = 1017.22
Gen 1650: best_fit = 1016.95
Gen 1700: best_fit = 1016.5
Gen 1750: best_fit = 1016.01
Gen 1800: best_fit = 1015.77
Gen 1850: best_fit = 1009.14
Gen 1900: best_fit = 1009.14
Gen 1950: best_fit = 1009.1
Gen 2000: best_fit = 1009.1
Gen 2050: best_fit = 1009.1
Gen 2100: best_fit = 1008.65
Gen 2150: best_fit = 1008.64
Gen 2200: best_fit = 1008.63
Gen 2250: best_fit = 1008.43
Gen 2300: best_fit = 1007.99
Gen 2350: best_fit = 1007.85
Gen 2400: best_fit = 1007.53
Gen 2450: best_fit = 1006.99
Gen 2500: best_fit = 1006.52
