Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --cchihh_fixed_ops --seed 9 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
Command: 'C:\Users\Hu\Desktop\论文\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' '--solver' 'CCHIHH' '--stable' '--resample_gate' '15' '--cchihh_fixed_ops' '--seed' '9' '--generations' '10000' '--log_every' '50' '--data_dir' 'C:\Users\Hu\Desktop\论文\CED_schedule_Final\data' '--data_file' 'data_matrix_T500_E200_D800.txt' '--cnum' '200' '--enum' '200' '--dnum' '800' '--tnum' '500' '--mopt' '5'
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 9
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH fixed ops: enabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T500_E200_D800.txt"
[Normalization] f1_ref (makespan) = 47562.7
[Normalization] f2_ref (energy) = 5814.22
[Normalization] alpha = 0.5

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=500, M_Jnum=500, M_OPTnum=5, ops=2500
  Nvar=6000, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=1000
  Block 1 (seq): start=1000, len=2500
  Block 2 (dev): start=3500, len=2500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.0650117
Gen 50: best_fit = 0.055348
Gen 100: best_fit = 0.0525353
Gen 150: best_fit = 0.0499036
Gen 200: best_fit = 0.0486231
Gen 250: best_fit = 0.0472117
Gen 300: best_fit = 0.0460659
Gen 350: best_fit = 0.0450768
Gen 400: best_fit = 0.0442066
Gen 450: best_fit = 0.0434187
Gen 500: best_fit = 0.0425635
Gen 550: best_fit = 0.041959
Gen 600: best_fit = 0.0414779
Gen 650: best_fit = 0.0409435
Gen 700: best_fit = 0.040394
Gen 750: best_fit = 0.0400314
Gen 800: best_fit = 0.0395583
Gen 850: best_fit = 0.0393008
Gen 900: best_fit = 0.03897
Gen 950: best_fit = 0.038597
Gen 1000: best_fit = 0.0383793
Gen 1050: best_fit = 0.0382138
Gen 1100: best_fit = 0.0380489
Gen 1150: best_fit = 0.0378242
Gen 1200: best_fit = 0.0377283
Gen 1250: best_fit = 0.0374255
Gen 1300: best_fit = 0.0372601
Gen 1350: best_fit = 0.037128
Gen 1400: best_fit = 0.0370095
Gen 1450: best_fit = 0.0369289
Gen 1500: best_fit = 0.0367779
Gen 1550: best_fit = 0.0367051
Gen 1600: best_fit = 0.0366374
Gen 1650: best_fit = 0.0365622
Gen 1700: best_fit = 0.0362725
Gen 1750: best_fit = 0.0361882
Gen 1800: best_fit = 0.0361145
Gen 1850: best_fit = 0.0360865
Gen 1900: best_fit = 0.0360192
Gen 1950: best_fit = 0.0359952
Gen 2000: best_fit = 0.0359021
Gen 2050: best_fit = 0.0358444
Gen 2100: best_fit = 0.0358067
Gen 2150: best_fit = 0.035776
Gen 2200: best_fit = 0.0357382
Gen 2250: best_fit = 0.0357003
Gen 2300: best_fit = 0.0356375
Gen 2350: best_fit = 0.0356175
Gen 2400: best_fit = 0.0356175
Gen 2450: best_fit = 0.0355921
Gen 2500: best_fit = 0.035569
Gen 2550: best_fit = 0.0355539
Gen 2600: best_fit = 0.0354724
Gen 2650: best_fit = 0.0353749
Gen 2700: best_fit = 0.035331
Gen 2750: best_fit = 0.03533
Gen 2800: best_fit = 0.0353298
Gen 2850: best_fit = 0.035329
Gen 2900: best_fit = 0.0352837
Gen 2950: best_fit = 0.0352712
Gen 3000: best_fit = 0.0352415
Gen 3050: best_fit = 0.0352415
Gen 3100: best_fit = 0.0352415
Gen 3150: best_fit = 0.0352415
Gen 3200: best_fit = 0.0352415
Gen 3250: best_fit = 0.0351725
Gen 3300: best_fit = 0.0350708
Gen 3350: best_fit = 0.0345735
Gen 3400: best_fit = 0.0345088
Gen 3450: best_fit = 0.0344922
Gen 3500: best_fit = 0.0344565
Gen 3550: best_fit = 0.0344146
Gen 3600: best_fit = 0.0344146
Gen 3650: best_fit = 0.0343661
Gen 3700: best_fit = 0.0343594
Gen 3750: best_fit = 0.0343594
Gen 3800: best_fit = 0.0343311
Gen 3850: best_fit = 0.0343124
Gen 3900: best_fit = 0.0343009
Gen 3950: best_fit = 0.0342937
Gen 4000: best_fit = 0.0342932
Gen 4050: best_fit = 0.0342912
Gen 4100: best_fit = 0.0342908
Gen 4150: best_fit = 0.0342783
Gen 4200: best_fit = 0.0342783
Gen 4250: best_fit = 0.0342775
Gen 4300: best_fit = 0.0342775
Gen 4350: best_fit = 0.0342775
Gen 4400: best_fit = 0.0342775
Gen 4450: best_fit = 0.0342733
Gen 4500: best_fit = 0.0342733
Gen 4550: best_fit = 0.0342733
Gen 4600: best_fit = 0.0342733
Gen 4650: best_fit = 0.0342733
Gen 4700: best_fit = 0.0342733
Gen 4750: best_fit = 0.0342733
Gen 4800: best_fit = 0.0342733
Gen 4850: best_fit = 0.0342698
Gen 4900: best_fit = 0.0342697
Gen 4950: best_fit = 0.0342697
Gen 5000: best_fit = 0.0342697
Gen 5050: best_fit = 0.0342697
Gen 5100: best_fit = 0.0342697
Gen 5150: best_fit = 0.0342685
Gen 5200: best_fit = 0.0342685
Gen 5250: best_fit = 0.0342617
Gen 5300: best_fit = 0.0342534
Gen 5350: best_fit = 0.0342534
Gen 5400: best_fit = 0.0342482
Gen 5450: best_fit = 0.0341994
Gen 5500: best_fit = 0.0341969
Gen 5550: best_fit = 0.0341833
Gen 5600: best_fit = 0.0341593
Gen 5650: best_fit = 0.0341592
Gen 5700: best_fit = 0.034142
Gen 5750: best_fit = 0.0341334
Gen 5800: best_fit = 0.0341334
Gen 5850: best_fit = 0.0341334
Gen 5900: best_fit = 0.0341111
Gen 5950: best_fit = 0.0341053
Gen 6000: best_fit = 0.0340995
Gen 6050: best_fit = 0.034098
Gen 6100: best_fit = 0.0340633
Gen 6150: best_fit = 0.0340573
Gen 6200: best_fit = 0.0340573
Gen 6250: best_fit = 0.0340573
Gen 6300: best_fit = 0.0340404
Gen 6350: best_fit = 0.0340404
Gen 6400: best_fit = 0.0340404
Gen 6450: best_fit = 0.0340404
Gen 6500: best_fit = 0.0340404
Gen 6550: best_fit = 0.0340404
Gen 6600: best_fit = 0.0340404
Gen 6650: best_fit = 0.0340355
Gen 6700: best_fit = 0.0340271
Gen 6750: best_fit = 0.0340258
Gen 6800: best_fit = 0.0340111
Gen 6850: best_fit = 0.0340111
Gen 6900: best_fit = 0.0340111
Gen 6950: best_fit = 0.0340111
Gen 7000: best_fit = 0.0340111
Gen 7050: best_fit = 0.0340111
Gen 7100: best_fit = 0.0340111
Gen 7150: best_fit = 0.0340111
Gen 7200: best_fit = 0.0340089
Gen 7250: best_fit = 0.0340089
Gen 7300: best_fit = 0.0340089
Gen 7350: best_fit = 0.0339988
Gen 7400: best_fit = 0.0339988
Gen 7450: best_fit = 0.0339988
Gen 7500: best_fit = 0.0339988
Gen 7550: best_fit = 0.0339988
Gen 7600: best_fit = 0.0339988
Gen 7650: best_fit = 0.0339988
Gen 7700: best_fit = 0.0339985
Gen 7750: best_fit = 0.0339976
Gen 7800: best_fit = 0.0339976
Gen 7850: best_fit = 0.0339756
Gen 7900: best_fit = 0.0339756
