gen,CCHIHH_Full mean,CCHIHH_Full var,CGA mean,CGA var,IMOMA mean,IMOMA var,DSAC_DE mean,DSAC_DE var
50,0.3790931,7.578122900000046e-07,0.3876792,8.088341600000176e-07,0.3871626,5.025448400000021e-07,0.3443896,5.596684039999992e-06
100,0.3720408,1.0811355600000012e-06,0.38666,2.0434600000000383e-07,0.3871626,5.025448400000021e-07,0.3435858,5.913782359999987e-06
150,0.3662324,6.473916400000139e-07,0.3864128,2.603407599999961e-07,0.3863417,2.9800088100000244e-06,0.3432393,6.809546010000017e-06
200,0.36261329999999997,5.324316099999934e-07,0.38603109999999996,3.551216899999963e-07,0.3862457,3.0093272100000266e-06,0.34306169999999997,6.711119209999985e-06
250,0.3604811,8.054466900000105e-07,0.38583090000000003,3.0571248999998807e-07,0.3861619,2.863653290000027e-06,0.3429185,6.731511849999991e-06
300,0.3590311,7.993192900000049e-07,0.38554900000000003,4.244459999999987e-07,0.3860128,2.933992160000028e-06,0.3427622,6.759028960000006e-06
350,0.35797310000000004,5.076078899999986e-07,0.38537340000000003,5.067052400000064e-07,0.38582489999999997,3.136895490000016e-06,0.3426046,6.976717639999997e-06
400,0.3569559,6.323494900000035e-07,0.385014,8.550245999999963e-07,0.3857432,3.363784560000004e-06,0.34247839999999996,6.989039040000048e-06
450,0.3561105,7.834638499999995e-07,0.38444829999999997,1.336892409999993e-06,0.3855083,3.1999076099999995e-06,0.3422986,7.2504140400000485e-06
500,0.3552281,6.858166899999904e-07,0.3838905,1.2408016500000134e-06,0.3855083,3.1999076099999995e-06,0.3420921,7.282741290000003e-06
550,0.3543784,6.176646400000001e-07,0.3833023,1.4682282099999812e-06,0.385398,3.354394800000011e-06,0.3418269,7.1792148899999714e-06
600,0.35377200000000003,6.916287999999968e-07,0.3827203,1.1637748099999997e-06,0.3851386,2.3751202400000242e-06,0.3416539,7.027981690000026e-06
650,0.353145,6.216430000000102e-07,0.38237109999999996,1.1381080900000092e-06,0.38513450000000005,2.3703154500000228e-06,0.3414981,6.994272489999978e-06
700,0.35246900000000003,6.113990000000077e-07,0.3817951,1.4408874900000133e-06,0.3849221,2.604277690000012e-06,0.3413518,6.820236560000037e-06
750,0.3520114,4.804270399999938e-07,0.3812211,1.6645722900000218e-06,0.3847934,2.2491288400000066e-06,0.34118210000000004,7.041264289999985e-06
800,0.3516376,5.569380400000003e-07,0.3806372,1.7462765599999945e-06,0.3847138,2.222251560000006e-06,0.3410406,7.03521364000001e-06
850,0.3511149,9.262774900000228e-07,0.3802164,1.5579460400000105e-06,0.3845504,2.0745032400000086e-06,0.340935,6.9218212000000315e-06
900,0.35073889999999996,1.0266842900000066e-06,0.3797589,1.4805474899999858e-06,0.38428490000000004,1.5909530900000106e-06,0.3406788,6.865313160000014e-06
950,0.35031219999999996,9.960919599999938e-07,0.3794281,1.6231378900000078e-06,0.3841623,1.6363554100000063e-06,0.34052099999999996,6.656443800000039e-06
1000,0.3498833,1.2407640100000033e-06,0.3790359,1.846149290000009e-06,0.3840888,1.6187227600000064e-06,0.3403118,6.831903760000007e-06
1050,0.3496464,1.2639290399999866e-06,0.3785825,1.8920094499999837e-06,0.3840888,1.6187227600000064e-06,0.3401467,6.8273522099999984e-06
1100,0.3493215,1.1387444499999732e-06,0.3782331,1.975886489999992e-06,0.3838887,1.4657482100000055e-06,0.33999820000000003,6.605868960000024e-06
1150,0.34910929999999996,8.921698099999989e-07,0.3779228,2.230137359999991e-06,0.3837825,1.5247104500000046e-06,0.3398722,6.592958760000011e-06
1200,0.3488294,8.587440400000075e-07,0.3775714,2.1923416400000233e-06,0.3837274,1.3570318400000072e-06,0.3397121,6.629911690000019e-06
1250,0.3485598,6.846549600000035e-07,0.37709760000000003,1.8714504400000108e-06,0.38352719999999996,1.6312963600000117e-06,0.339568,6.891131000000026e-06
1300,0.34834740000000003,5.869806400000052e-07,0.3768586,2.0943762399999975e-06,0.3834781,1.6131468900000128e-06,0.3394386,6.8051560400000215e-06
1350,0.3481675,6.319600499999995e-07,0.3765074,2.280872840000029e-06,0.3834209,1.6346540900000137e-06,0.3392932,6.9390045600000224e-06
