Command: 'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' '--solver' 'CGA' '--seed' '4' '--alpha' '0.8' '--generations' '10000' '--log_every' '50' '--data_dir' 'C:\Users\Hu\Desktop\CED_schedule_Final\data' '--data_file' 'data_matrix_100.txt' '--cnum' '100' '--enum' '100' '--dnum' '300' '--tnum' '100' '--mopt' '5'
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 4
Pini (heuristic prob): 0.4
Objective alpha: 0.8
Solver: CGA
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/100/5
Migration: disabled
CGA input: (raw data mode via --data_dir/--data_file)
CGA VM count (raw mode): 35
CGA communication scale (raw mode): 0.01
CGA edge ratio (raw mode): 0.6
CGA deadline factor (raw mode): 1.5
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data\\data_matrix_100.txt"
[Normalization] f1_ref (makespan) = 90.9285
[Normalization] f2_ref (energy) = 14.6194
[Normalization] alpha = 0.8

=== Running CGA Solver ===
CGA mode: objective-compatible with CED_Schedule (best_fit smaller is better)
CGA params: pop=300, gen=10000, pc=0.75, pm(early/late)=0.03/0.01, cat=150, cat_apply_gen<=5000
Gen 50: best_fit = 0.493557
Gen 100: best_fit = 0.493388
Gen 150: best_fit = 0.493317
Gen 200: best_fit = 0.493308
Gen 250: best_fit = 0.493308
Gen 300: best_fit = 0.49319
Gen 350: best_fit = 0.49319
Gen 400: best_fit = 0.49319
Gen 450: best_fit = 0.493178
Gen 500: best_fit = 0.493178
Gen 550: best_fit = 0.493178
Gen 600: best_fit = 0.493127
Gen 650: best_fit = 0.492925
Gen 700: best_fit = 0.492824
Gen 750: best_fit = 0.492735
Gen 800: best_fit = 0.492685
Gen 850: best_fit = 0.492575
Gen 900: best_fit = 0.492503
Gen 950: best_fit = 0.492478
Gen 1000: best_fit = 0.492276
Gen 1050: best_fit = 0.492175
Gen 1100: best_fit = 0.492015
Gen 1150: best_fit = 0.492002
Gen 1200: best_fit = 0.49193
Gen 1250: best_fit = 0.491833
Gen 1300: best_fit = 0.49172
Gen 1350: best_fit = 0.491606
Gen 1400: best_fit = 0.491555
Gen 1450: best_fit = 0.49145
Gen 1500: best_fit = 0.49145
Gen 1550: best_fit = 0.491349
Gen 1600: best_fit = 0.491239
Gen 1650: best_fit = 0.491092
Gen 1700: best_fit = 0.490982
Gen 1750: best_fit = 0.490919
Gen 1800: best_fit = 0.490746
Gen 1850: best_fit = 0.490704
Gen 1900: best_fit = 0.490658
Gen 1950: best_fit = 0.490615
Gen 2000: best_fit = 0.490561
Gen 2050: best_fit = 0.490552
Gen 2100: best_fit = 0.490451
Gen 2150: best_fit = 0.4904
Gen 2200: best_fit = 0.490261
Gen 2250: best_fit = 0.490207
Gen 2300: best_fit = 0.490152
Gen 2350: best_fit = 0.490093
Gen 2400: best_fit = 0.489941
Gen 2450: best_fit = 0.48984
Gen 2500: best_fit = 0.489781
Gen 2550: best_fit = 0.489739
Gen 2600: best_fit = 0.489697
Gen 2650: best_fit = 0.489642
Gen 2700: best_fit = 0.489642
Gen 2750: best_fit = 0.489642
Gen 2800: best_fit = 0.489553
Gen 2850: best_fit = 0.489553
Gen 2900: best_fit = 0.489494
Gen 2950: best_fit = 0.489494
Gen 3000: best_fit = 0.489444
Gen 3050: best_fit = 0.489444
Gen 3100: best_fit = 0.489398
Gen 3150: best_fit = 0.489398
Gen 3200: best_fit = 0.489355
Gen 3250: best_fit = 0.489313
Gen 3300: best_fit = 0.48925
Gen 3350: best_fit = 0.48925
Gen 3400: best_fit = 0.489208
Gen 3450: best_fit = 0.489149
Gen 3500: best_fit = 0.489094
Gen 3550: best_fit = 0.489094
Gen 3600: best_fit = 0.489044
Gen 3650: best_fit = 0.489044
Gen 3700: best_fit = 0.489044
Gen 3750: best_fit = 0.488985
Gen 3800: best_fit = 0.488883
Gen 3850: best_fit = 0.488875
Gen 3900: best_fit = 0.488812
Gen 3950: best_fit = 0.488812
Gen 4000: best_fit = 0.488812
Gen 4050: best_fit = 0.488812
Gen 4100: best_fit = 0.488761
Gen 4150: best_fit = 0.488711
Gen 4200: best_fit = 0.488711
Gen 4250: best_fit = 0.488668
Gen 4300: best_fit = 0.488668
Gen 4350: best_fit = 0.488622
Gen 4400: best_fit = 0.488622
Gen 4450: best_fit = 0.488513
Gen 4500: best_fit = 0.488454
Gen 4550: best_fit = 0.488454
Gen 4600: best_fit = 0.488411
Gen 4650: best_fit = 0.488403
Gen 4700: best_fit = 0.488403
Gen 4750: best_fit = 0.488399
Gen 4800: best_fit = 0.488352
Gen 4850: best_fit = 0.488352
