Command: 'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' '--solver' 'CGA' '--seed' '3' '--alpha' '0.8' '--generations' '10000' '--log_every' '50' '--data_dir' 'C:\Users\Hu\Desktop\CED_schedule_Final\data' '--data_file' 'data_matrix_T200_E100_D300.txt' '--cnum' '100' '--enum' '100' '--dnum' '300' '--tnum' '200' '--mopt' '5'
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 3
Pini (heuristic prob): 0.4
Objective alpha: 0.8
Solver: CGA
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
CGA input: (raw data mode via --data_dir/--data_file)
CGA VM count (raw mode): 70
CGA communication scale (raw mode): 0.01
CGA edge ratio (raw mode): 0.6
CGA deadline factor (raw mode): 1.5
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"
[Normalization] f1_ref (makespan) = 22665.1
[Normalization] f2_ref (energy) = 3191.58
[Normalization] alpha = 0.8

=== Running CGA Solver ===
CGA mode: objective-compatible with CED_Schedule (best_fit smaller is better)
CGA params: pop=300, gen=10000, pc=0.75, pm(early/late)=0.03/0.01, cat=150, cat_apply_gen<=5000
Gen 50: best_fit = 0.0598563
Gen 100: best_fit = 0.0566496
Gen 150: best_fit = 0.0554729
Gen 200: best_fit = 0.0552192
Gen 250: best_fit = 0.0533249
Gen 300: best_fit = 0.0527439
Gen 350: best_fit = 0.0527041
Gen 400: best_fit = 0.0524025
Gen 450: best_fit = 0.0519214
Gen 500: best_fit = 0.0517678
Gen 550: best_fit = 0.051588
Gen 600: best_fit = 0.0512785
Gen 650: best_fit = 0.0510947
Gen 700: best_fit = 0.0508529
Gen 750: best_fit = 0.050128
Gen 800: best_fit = 0.0498372
Gen 850: best_fit = 0.0497663
Gen 900: best_fit = 0.0497324
Gen 950: best_fit = 0.0494342
Gen 1000: best_fit = 0.0492614
Gen 1050: best_fit = 0.0491019
Gen 1100: best_fit = 0.0489645
Gen 1150: best_fit = 0.0488256
Gen 1200: best_fit = 0.0487883
Gen 1250: best_fit = 0.048681
Gen 1300: best_fit = 0.0486177
Gen 1350: best_fit = 0.0485405
Gen 1400: best_fit = 0.048444
Gen 1450: best_fit = 0.0482193
Gen 1500: best_fit = 0.0481934
Gen 1550: best_fit = 0.0481315
Gen 1600: best_fit = 0.0478476
Gen 1650: best_fit = 0.0477785
Gen 1700: best_fit = 0.0477346
Gen 1750: best_fit = 0.0476256
Gen 1800: best_fit = 0.0474976
Gen 1850: best_fit = 0.0473106
Gen 1900: best_fit = 0.0472998
Gen 1950: best_fit = 0.0471509
Gen 2000: best_fit = 0.0470244
Gen 2050: best_fit = 0.0469983
Gen 2100: best_fit = 0.0469515
Gen 2150: best_fit = 0.0467828
Gen 2200: best_fit = 0.0465534
Gen 2250: best_fit = 0.0464618
Gen 2300: best_fit = 0.0463433
Gen 2350: best_fit = 0.0462973
Gen 2400: best_fit = 0.0462701
Gen 2450: best_fit = 0.046224
Gen 2500: best_fit = 0.0461343
Gen 2550: best_fit = 0.046105
Gen 2600: best_fit = 0.0459449
Gen 2650: best_fit = 0.0459247
Gen 2700: best_fit = 0.045839
Gen 2750: best_fit = 0.0457702
Gen 2800: best_fit = 0.0457424
Gen 2850: best_fit = 0.0457028
Gen 2900: best_fit = 0.0456375
Gen 2950: best_fit = 0.0456152
Gen 3000: best_fit = 0.0455748
Gen 3050: best_fit = 0.0455225
Gen 3100: best_fit = 0.0454833
Gen 3150: best_fit = 0.045429
Gen 3200: best_fit = 0.0454024
Gen 3250: best_fit = 0.0453964
Gen 3300: best_fit = 0.0452716
Gen 3350: best_fit = 0.0452141
Gen 3400: best_fit = 0.045214
Gen 3450: best_fit = 0.0451325
Gen 3500: best_fit = 0.0450648
Gen 3550: best_fit = 0.045016
Gen 3600: best_fit = 0.0449782
Gen 3650: best_fit = 0.0449445
Gen 3700: best_fit = 0.0449281
Gen 3750: best_fit = 0.0449028
Gen 3800: best_fit = 0.0448578
Gen 3850: best_fit = 0.0447957
Gen 3900: best_fit = 0.0446652
Gen 3950: best_fit = 0.0446397
Gen 4000: best_fit = 0.0445848
Gen 4050: best_fit = 0.0445504
Gen 4100: best_fit = 0.0445126
Gen 4150: best_fit = 0.0444828
Gen 4200: best_fit = 0.0444434
Gen 4250: best_fit = 0.0443515
Gen 4300: best_fit = 0.044246
Gen 4350: best_fit = 0.0442436
Gen 4400: best_fit = 0.0442329
Gen 4450: best_fit = 0.0442016
Gen 4500: best_fit = 0.0441659
Gen 4550: best_fit = 0.0441468
Gen 4600: best_fit = 0.0441088
Gen 4650: best_fit = 0.0440944
Gen 4700: best_fit = 0.0440736
Gen 4750: best_fit = 0.0440405
Gen 4800: best_fit = 0.0440078
Gen 4850: best_fit = 0.0439299
Gen 4900: best_fit = 0.0439162
Gen 4950: best_fit = 0.0438527
Gen 5000: best_fit = 0.0438162
Gen 5050: best_fit = 0.0437904
Gen 5100: best_fit = 0.0437725
Gen 5150: best_fit = 0.0437309
Gen 5200: best_fit = 0.0437037
Gen 5250: best_fit = 0.0435463
Gen 5300: best_fit = 0.043527
Gen 5350: best_fit = 0.0435006
Gen 5400: best_fit = 0.0434492
Gen 5450: best_fit = 0.0432397
Gen 5500: best_fit = 0.0431893
Gen 5550: best_fit = 0.043186
Gen 5600: best_fit = 0.0431625
Gen 5650: best_fit = 0.0431391
Gen 5700: best_fit = 0.0431041
Gen 5750: best_fit = 0.0430864
Gen 5800: best_fit = 0.0430731
Gen 5850: best_fit = 0.0428822
Gen 5900: best_fit = 0.0428544
Gen 5950: best_fit = 0.0427271
Gen 6000: best_fit = 0.0427151
Gen 6050: best_fit = 0.0426935
Gen 6100: best_fit = 0.0426756
Gen 6150: best_fit = 0.0426646
Gen 6200: best_fit = 0.042638
Gen 6250: best_fit = 0.0426133
Gen 6300: best_fit = 0.0425897
Gen 6350: best_fit = 0.0425888
Gen 6400: best_fit = 0.0425713
Gen 6450: best_fit = 0.0425539
Gen 6500: best_fit = 0.042526
Gen 6550: best_fit = 0.0425127
Gen 6600: best_fit = 0.0425004
Gen 6650: best_fit = 0.0424742
Gen 6700: best_fit = 0.0424495
Gen 6750: best_fit = 0.0424452
Gen 6800: best_fit = 0.0424277
Gen 6850: best_fit = 0.0423991
Gen 6900: best_fit = 0.0423819
Gen 6950: best_fit = 0.0423461
Gen 7000: best_fit = 0.0423389
Gen 7050: best_fit = 0.0423274
Gen 7100: best_fit = 0.0422918
Gen 7150: best_fit = 0.0422686
Gen 7200: best_fit = 0.042122
Gen 7250: best_fit = 0.0420874
Gen 7300: best_fit = 0.0420785
Gen 7350: best_fit = 0.0420289
Gen 7400: best_fit = 0.0420285
Gen 7450: best_fit = 0.0420174
Gen 7500: best_fit = 0.0420112
Gen 7550: best_fit = 0.0419751
Gen 7600: best_fit = 0.041954
Gen 7650: best_fit = 0.041954
Gen 7700: best_fit = 0.0419538
Gen 7750: best_fit = 0.0419528
Gen 7800: best_fit = 0.0419282
Gen 7850: best_fit = 0.0419244
Gen 7900: best_fit = 0.0419218
Gen 7950: best_fit = 0.0419111
Gen 8000: best_fit = 0.0418994
Gen 8050: best_fit = 0.0418829
Gen 8100: best_fit = 0.0418795
Gen 8150: best_fit = 0.0418577
Gen 8200: best_fit = 0.0418497
Gen 8250: best_fit = 0.0418329
Gen 8300: best_fit = 0.04183
Gen 8350: best_fit = 0.0418216
Gen 8400: best_fit = 0.0417875
Gen 8450: best_fit = 0.0417612
Gen 8500: best_fit = 0.0417567
Gen 8550: best_fit = 0.0417497
Gen 8600: best_fit = 0.0417438
Gen 8650: best_fit = 0.0417314
Gen 8700: best_fit = 0.0417241
Gen 8750: best_fit = 0.0417194
Gen 8800: best_fit = 0.0417115
Gen 8850: best_fit = 0.0416929
Gen 8900: best_fit = 0.0416862
Gen 8950: best_fit = 0.0416802
Gen 9000: best_fit = 0.041673
Gen 9050: best_fit = 0.0416618
Gen 9100: best_fit = 0.0416483
Gen 9150: best_fit = 0.0416273
Gen 9200: best_fit = 0.0416109
Gen 9250: best_fit = 0.0415987
Gen 9300: best_fit = 0.0415865
Gen 9350: best_fit = 0.0415756
Gen 9400: best_fit = 0.0415573
Gen 9450: best_fit = 0.0415573
Gen 9500: best_fit = 0.0415552
Gen 9550: best_fit = 0.0415476
Gen 9600: best_fit = 0.0415158
Gen 9650: best_fit = 0.0415008
Gen 9700: best_fit = 0.0414813
Gen 9750: best_fit = 0.0414813
Gen 9800: best_fit = 0.0414813
Gen 9850: best_fit = 0.0414659
Gen 9900: best_fit = 0.0414483
Gen 9950: best_fit = 0.0414366
Gen 10000: best_fit = 0.0414179

=== Final Results (CGA) ===
Solver: CGA
Generations = 10000
Best generation = 9963
Catastrophe triggers = 0
Best fitness = 0.0414179
The best solution = 0.0414179
Time = 196.858 s

exit code 0
Command: 'C:\Users\Hu\Desktop\CED_schedule_Final\build\Release\CED_Schedule.exe' --solver CGA --seed 3 --alpha 0.8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final\data' --data_file data_matrix_T200_E100_D300.txt --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5

exit code 0
