gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
50,0.085,0.8525,0.0375,0.025,0.045,0.9275,0.025,0.0025,0.2775,0.67,0.03,0.0225,0.0433333,0.376667,0.223333,0.0125,0.309167,0.00833333,0.01,0.0166667
100,0.3125,0.575,0.0825,0.03,0.2675,0.65,0.065,0.0175,0.6475,0.1125,0.24,0,0.193333,0.4075,0.0375,0.0275,0.216667,0.0216667,0.08,0.0158333
150,0.2975,0.5975,0.0975,0.0075,0.6925,0.2,0.1075,0,0.2725,0.4775,0.25,0,0.33,0.29,0.159167,0.0325,0.0666667,0.0358333,0.0833333,0.0025
200,0.42,0.47,0.11,0,0.3525,0.475,0.1725,0,0.3575,0.4075,0.23,0.005,0.2575,0.275833,0.135833,0.0366667,0.158333,0.0575,0.0766667,0.00166667
250,0.6375,0.32,0.0425,0,0.4,0.4225,0.1775,0,0.4025,0.5375,0.06,0,0.345833,0.240833,0.179167,0.0141667,0.140833,0.0591667,0.02,0
300,0.595,0.3675,0.0375,0,0.5175,0.315,0.1675,0,0.5675,0.37,0.0625,0,0.370833,0.311667,0.123333,0.0125,0.105,0.0558333,0.0208333,0
350,0.53,0.4025,0.0675,0,0.3975,0.44,0.1625,0,0.6,0.2825,0.1175,0,0.309167,0.334167,0.0941667,0.0225,0.146667,0.0541667,0.0391667,0
400,0.62,0.265,0.115,0,0.4975,0.3075,0.1925,0.0025,0.4325,0.4575,0.11,0,0.3725,0.2325,0.1525,0.0383333,0.1025,0.0641667,0.0366667,0.000833333
450,0.6275,0.22,0.1525,0,0.645,0.11,0.245,0,0.6875,0.2,0.1125,0,0.424167,0.3025,0.0666667,0.0508333,0.0366667,0.0816667,0.0375,0
500,0.495,0.355,0.15,0,0.545,0.0825,0.3725,0,0.5275,0.215,0.255,0.0025,0.346667,0.294167,0.0716667,0.05,0.0275,0.124167,0.085,0.000833333
