Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --cchihh_random_ops --seed 6 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T200_E100_D300.txt --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 6
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: random
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"
[Normalization] f1_ref (makespan) = 22665.1
[Normalization] f2_ref (energy) = 1877.05
[Normalization] alpha = 0.5

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=200, M_Jnum=200, M_OPTnum=5, ops=1000
  Nvar=2400, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=400
  Block 1 (seq): start=400, len=1000
  Block 2 (dev): start=1400, len=1000
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.101961
Gen 50: best_fit = 0.0696577
Gen 100: best_fit = 0.0626737
Gen 150: best_fit = 0.0603809
Gen 200: best_fit = 0.0575158
Gen 250: best_fit = 0.0550286
Gen 300: best_fit = 0.0535937
Gen 350: best_fit = 0.0520189
Gen 400: best_fit = 0.0513043
Gen 450: best_fit = 0.0504957
Gen 500: best_fit = 0.049845
Gen 550: best_fit = 0.0494744
Gen 600: best_fit = 0.0484359
Gen 650: best_fit = 0.0475004
Gen 700: best_fit = 0.0468189
Gen 750: best_fit = 0.0459427
Gen 800: best_fit = 0.0454351
Gen 850: best_fit = 0.045094
Gen 900: best_fit = 0.0446669
Gen 950: best_fit = 0.0443114
Gen 1000: best_fit = 0.043967
Gen 1050: best_fit = 0.0435211
Gen 1100: best_fit = 0.0432646
Gen 1150: best_fit = 0.0430924
Gen 1200: best_fit = 0.0428429
Gen 1250: best_fit = 0.0423465
Gen 1300: best_fit = 0.0421793
Gen 1350: best_fit = 0.0420437
Gen 1400: best_fit = 0.041854
Gen 1450: best_fit = 0.0415533
Gen 1500: best_fit = 0.0414481
Gen 1550: best_fit = 0.0411081
Gen 1600: best_fit = 0.0409897
Gen 1650: best_fit = 0.0408434
Gen 1700: best_fit = 0.0406747
Gen 1750: best_fit = 0.0405028
Gen 1800: best_fit = 0.040374
Gen 1850: best_fit = 0.0402627
Gen 1900: best_fit = 0.0401663
Gen 1950: best_fit = 0.0400586
Gen 2000: best_fit = 0.0400131
Gen 2050: best_fit = 0.0399174
Gen 2100: best_fit = 0.0398381
Gen 2150: best_fit = 0.0397293
Gen 2200: best_fit = 0.0396361
Gen 2250: best_fit = 0.0395402
Gen 2300: best_fit = 0.0393322
Gen 2350: best_fit = 0.0392608
Gen 2400: best_fit = 0.03923
Gen 2450: best_fit = 0.0391526
Gen 2500: best_fit = 0.039125
Gen 2550: best_fit = 0.0390973
Gen 2600: best_fit = 0.0389918
Gen 2650: best_fit = 0.0389272
Gen 2700: best_fit = 0.0388917
Gen 2750: best_fit = 0.0388504
Gen 2800: best_fit = 0.0387498
Gen 2850: best_fit = 0.0386949
Gen 2900: best_fit = 0.0386397
Gen 2950: best_fit = 0.0385565
Gen 3000: best_fit = 0.0385435
Gen 3050: best_fit = 0.0384674
Gen 3100: best_fit = 0.0384284
