gen,bandit_adaptive mean,bandit_adaptive var,random_ops mean,random_ops var,fixed_ops mean,fixed_ops var
50,0.054951530000000005,1.4698069180999992e-06,0.05277015,7.300185885000001e-07,0.05561346,1.6097796024000024e-06
100,0.05077222,1.2715007896000007e-06,0.049116850000000004,1.0772371925000028e-06,0.0509547,1.3535639139999998e-06
150,0.0483989,1.9073182440000005e-06,0.04685455,1.4517190264999982e-06,0.047863630000000004,1.1540602620999998e-06
200,0.04633273,2.261669518099999e-06,0.04528028,1.5374738536e-06,0.04555979,7.122379169000012e-07
250,0.04471117,2.5283377561000013e-06,0.043886959999999996,1.3516942404000003e-06,0.04389758,5.458524696000006e-07
300,0.04326386,2.443367184400003e-06,0.042653239999999995,1.0828012483999998e-06,0.04273307,4.620280340999991e-07
350,0.04205097,2.225077708100003e-06,0.04155379,1.0718004909000004e-06,0.04179346,4.965306703999987e-07
400,0.04103797,2.3414476880999972e-06,0.04059657,1.0086972961000017e-06,0.04104771,4.842256728999986e-07
450,0.04016045,2.1315906804999977e-06,0.03975995,9.298053885e-07,0.0403815,4.3825119200000035e-07
500,0.03921657,1.542356182099999e-06,0.03906641,7.576391089000029e-07,0.039774779999999996,3.2663517960000013e-07
550,0.03856933,1.195912202100001e-06,0.03842263,6.280569281000013e-07,0.039198699999999996,3.3771616599999973e-07
600,0.03796998,9.875438316000008e-07,0.03783342,5.432417335999998e-07,0.038775149999999994,3.215557525000005e-07
650,0.037428420000000004,8.103502955999986e-07,0.03736239,5.160779489000007e-07,0.03827022,2.5979799360000014e-07
700,0.03693554,7.216993223999983e-07,0.03689771,5.073327589000005e-07,0.03787288,2.8102106559999956e-07
750,0.03653255,6.615466864999995e-07,0.03646241,5.564614188999983e-07,0.03745644,2.3374569040000058e-07
800,0.03615397,6.362981500999995e-07,0.036058889999999996,6.097408568999992e-07,0.037150050000000004,2.2919013049999923e-07
850,0.03575997,5.098753020999996e-07,0.035706329999999994,5.515888600999998e-07,0.03683323,1.8182215809999948e-07
900,0.03540414,4.392320924000003e-07,0.0353679,4.952411780000007e-07,0.0365241,1.6342713399999993e-07
950,0.03507674,4.1651214039999934e-07,0.03502025,5.01871676499999e-07,0.03623598,1.5237698760000002e-07
1000,0.03478786,3.747360184000004e-07,0.0346866,4.959834980000011e-07,0.03599038,1.454361296000004e-07
1050,0.03450981,3.1886206690000047e-07,0.03441699,4.790949889000008e-07,0.03573026,1.5584066639999874e-07
1100,0.03425203,2.850116500999993e-07,0.03410726,4.7254569640000034e-07,0.035487950000000004,1.7374630250000036e-07
1150,0.03399585,2.762482765000003e-07,0.03380322,4.271946116000005e-07,0.03524355,1.7364407050000027e-07
1200,0.03377299,2.598189608999997e-07,0.033522590000000005,4.2015494089999976e-07,0.03502417,1.7199497409999897e-07
1250,0.033553,2.7736335799999994e-07,0.03330268,3.949034516000012e-07,0.034804390000000004,1.6737041490000095e-07
1300,0.03327581,2.3312343690000105e-07,0.03308651,3.910867369000004e-07,0.03461099,1.5781186889999938e-07
1350,0.03306672,2.3696172959999952e-07,0.0328801,3.7687787399999813e-07,0.03441938,1.6558832159999996e-07
1400,0.03285421,2.377137108999993e-07,0.03264634,3.8472257440000066e-07,0.03422583,1.7639655410000003e-07
1450,0.0326461,1.9632709000000028e-07,0.03245816,3.851842924000005e-07,0.03403549,1.6358431489999862e-07
1500,0.03247861,1.8744605089999942e-07,0.03228002,4.2325012160000066e-07,0.03383539,1.5020650489999995e-07
1550,0.03230677,1.8705507209999886e-07,0.032101809999999995,4.2015133489999986e-07,0.03364852,1.524188975999996e-07
1600,0.03212843,1.642291521000001e-07,0.03192474,4.4908868240000135e-07,0.03348838,1.570346336000004e-07
1650,0.03196311,1.6777215289999966e-07,0.03174843,4.322868261000012e-07,0.033330559999999995,1.5656715240000022e-07
1700,0.0318148,1.745586639999995e-07,0.03158571,4.23054682900001e-07,0.0331773,1.4476018600000063e-07
1750,0.03164106,1.762573664000005e-07,0.031430009999999994,4.146039508999993e-07,0.033035159999999994,1.4445256040000032e-07
1800,0.03148089,1.7366225489999956e-07,0.03128323,4.635349760999997e-07,0.0328903,1.402501440000003e-07
1850,0.03133661,1.7052754490000053e-07,0.03114421,4.844089988999994e-07,0.032767069999999995,1.3513091809999967e-07
1900,0.031193969999999998,1.7084645009999987e-07,0.03102572,4.885258415999987e-07,0.032627260000000005,1.3110132439999992e-07
1950,0.031075399999999996,1.6156936199999944e-07,0.030884859999999997,5.089267464000002e-07,0.03249024,1.2571256639999992e-07
2000,0.03097783,1.455678621000002e-07,0.030752679999999998,5.158689296000002e-07,0.03236292,1.179505756000003e-07
2050,0.030868529999999998,1.3485535009999944e-07,0.03063422,4.970232076000013e-07,0.03221676,1.2106473839999986e-07
2100,0.03076016,1.4453575439999987e-07,0.03052859,5.166738789e-07,0.03209283,1.207403020999994e-07
2150,0.03066043,1.515455880999998e-07,0.030434410000000002,5.188430029000002e-07,0.031991649999999996,1.084341104999998e-07
2200,0.03052786,1.635575403999997e-07,0.030333320000000004,5.177071536000013e-07,0.03186131,1.0329207489999972e-07
2250,0.030408599999999997,1.5597964200000005e-07,0.030227579999999997,5.380386536000008e-07,0.03174379,9.744787490000004e-08
2300,0.03031036,1.5302438239999992e-07,0.03014012,5.259091735999998e-07,0.031621670000000004,9.32692620999999e-08
2350,0.030215749999999996,1.6325743849999978e-07,0.030030820000000003,5.334523515999995e-07,0.031505860000000004,8.683605440000001e-08
2400,0.030118689999999997,1.6406967890000036e-07,0.0299419,5.333558440000004e-07,0.03140593,8.596740409999927e-08
2450,0.03002374,1.7918035040000018e-07,0.02986082,5.401519775999993e-07,0.03131279,9.555280489999995e-08
2500,0.029923490000000004,1.8461821490000006e-07,0.0297923,5.384152480000004e-07,0.031221900000000004,9.381398600000017e-08
2550,0.029834640000000003,1.9580321440000028e-07,0.02972729,5.303524609000001e-07,0.031136950000000004,9.556020649999964e-08
2600,0.029764230000000003,2.062535300999999e-07,0.02965116,5.456545504e-07,0.031031350000000003,9.049195649999935e-08
2650,0.02968364,2.0727431839999992e-07,0.02956315,5.536865765e-07,0.03094113,9.329923409999955e-08
2700,0.02958848,2.0963777760000002e-07,0.029479699999999998,5.577396039999996e-07,0.030849339999999996,9.331463240000017e-08
2750,0.02950098,2.1974239960000066e-07,0.02940223,5.733610661000004e-07,0.03076735,9.812849449999961e-08
2800,0.029422379999999998,2.2683457559999973e-07,0.0293224,5.7434703e-07,0.03068809,1.0599789290000011e-07
2850,0.02932476,2.5183042639999925e-07,0.029249459999999998,5.766274503999993e-07,0.030594529999999998,1.0831377210000004e-07
2900,0.029249340000000002,2.655593184e-07,0.029170960000000003,5.800196123999992e-07,0.0305133,1.125017419999996e-07
2950,0.029162630000000002,2.6860218409999964e-07,0.029102090000000004,5.724843509000005e-07,0.03042299,1.0846871689999995e-07
3000,0.029069119999999997,2.7689013760000035e-07,0.02902772,5.698591775999997e-07,0.03033497,1.1322379809999997e-07
3050,0.02899008,2.7238804959999985e-07,0.028965499999999998,5.6497301e-07,0.030242570000000003,1.1632038609999978e-07
3100,0.02891745,2.907702904999997e-07,0.028895399999999998,5.579245680000003e-07,0.030148780000000003,1.1627668759999996e-07
3150,0.028847489999999996,2.972488709000003e-07,0.028841369999999998,5.566422241000005e-07,0.030066930000000002,1.1905755609999975e-07
3200,0.028782429999999998,3.0149851409999987e-07,0.02877617,5.713708121000011e-07,0.029990669999999997,1.2785102210000023e-07
3250,0.028714339999999998,3.0240280240000036e-07,0.02871765,5.665237424999996e-07,0.02991282,1.3668638160000012e-07
3300,0.028671629999999997,3.1803974610000006e-07,0.02865689,5.594532269000001e-07,0.029834,1.4234011999999997e-07
3350,0.028644350000000002,3.3188125249999997e-07,0.028596539999999997,5.647865243999995e-07,0.02977395,1.4644223050000037e-07
3400,0.02858599,3.306390728999997e-07,0.02854088,5.599560836000003e-07,0.029708049999999996,1.4754453849999988e-07
3450,0.02853102,3.317302176e-07,0.028488950000000002,5.602876424999993e-07,0.02963935,1.489569264999999e-07
3500,0.02849565,3.2996918650000016e-07,0.028440260000000002,5.642449783999999e-07,0.029572320000000003,1.4611639560000006e-07
3550,0.02843834,3.3883161039999965e-07,0.02839473,5.820472320999992e-07,0.02951588,1.4939582959999993e-07
3600,0.02841163,3.349486481e-07,0.028344429999999997,5.812967220999996e-07,0.02945454,1.5281435240000018e-07
3650,0.028384029999999998,3.402885581000005e-07,0.02829448,5.891264175999999e-07,0.029392610000000003,1.4973676889999968e-07
3700,0.028330070000000002,3.5189595009999986e-07,0.02824929,5.899737429000004e-07,0.02934333,1.5678986210000004e-07
3750,0.02828144,3.549899804e-07,0.02818847,5.918003400999999e-07,0.029286109999999997,1.587494509000002e-07
3800,0.02823853,3.6664979410000014e-07,0.028139360000000002,5.895238324000001e-07,0.029227950000000003,1.538417825000003e-07
3850,0.028189380000000003,3.8506842159999953e-07,0.02808697,5.983424961e-07,0.029171419999999997,1.5006196360000006e-07
3900,0.02815432,3.937026556e-07,0.028037459999999997,5.946517344000005e-07,0.029110950000000003,1.477611064999998e-07
3950,0.02810502,4.23977017600001e-07,0.027990179999999996,6.015319956000001e-07,0.02905559,1.5280702289999988e-07
4000,0.0280657,4.3639291600000116e-07,0.027945150000000002,6.028906224999994e-07,0.02900049,1.6010085690000016e-07
4050,0.028032099999999997,4.415078999999996e-07,0.027900799999999996,6.009454100000005e-07,0.02895491,1.628631189000003e-07
4100,0.0279825,4.5837379599999995e-07,0.027862940000000003,6.029978724e-07,0.02890474,1.6819186839999953e-07
4150,0.027944010000000002,4.739619989000004e-07,0.02782408,6.034500236000002e-07,0.028847670000000002,1.7029173810000034e-07
4200,0.02791495,4.7449144649999986e-07,0.027785880000000002,6.069956456000003e-07,0.02880303,1.7250512610000042e-07
4250,0.02788727,4.523568361000006e-07,0.02774838,6.103115336e-07,0.02875412,1.7677377960000033e-07
4300,0.0278415,4.572852900000005e-07,0.02771075,6.154941444999999e-07,0.02870703,1.7677705810000017e-07
4350,0.02780377,4.7411664810000026e-07,0.027668779999999997,6.307041936000006e-07,0.02866162,1.7534136559999998e-07
4400,0.02777648,4.773608575999995e-07,0.027633229999999998,6.350226641000005e-07,0.02861449,1.7738740490000015e-07
4450,0.02775631,4.799520469e-07,0.02758774,6.310479043999994e-07,0.02857162,1.785931576000002e-07
4500,0.027741710000000003,4.881028788999999e-07,0.02754817,6.430726081000005e-07,0.028527089999999998,1.8270596090000052e-07
4550,0.02772213,4.991826041000004e-07,0.02751108,6.43382705600001e-07,0.02848883,1.7852258409999975e-07
4600,0.02770034,5.149181643999998e-07,0.02747869,6.415336409000005e-07,0.02845064,1.8199912239999983e-07
4650,0.02767772,5.305913235999995e-07,0.02745113,6.382825640999999e-07,0.028402729999999998,1.8294786610000004e-07
4700,0.02764875,5.584364244999998e-07,0.027416879999999998,6.441176335999998e-07,0.028364270000000004,1.8140930009999982e-07
4750,0.027625860000000002,5.767191664000003e-07,0.02738022,6.544286455999995e-07,0.028321390000000002,1.7817423890000012e-07
4800,0.02759569,6.070775709000003e-07,0.027346130000000003,6.532762941000004e-07,0.02827843,1.772731481000002e-07
4850,0.02757983,6.229243600999993e-07,0.02731251,6.627125109000001e-07,0.02823597,1.750476260999999e-07
4900,0.027557530000000004,6.328364560999995e-07,0.02727787,6.675539980999995e-07,0.028190749999999997,1.776323505e-07
4950,0.02752761,6.396923288999995e-07,0.027249460000000003,6.605504303999997e-07,0.02815859,1.797946968999999e-07
5000,0.027491179999999997,6.379636655999995e-07,0.027214719999999998,6.581247115999996e-07,0.02812237,1.8053665809999973e-07
5050,0.02746623,6.393436101000006e-07,0.027188109999999998,6.529326349000003e-07,0.02808797,1.7691572209999993e-07
5100,0.027452880000000002,6.494154896000003e-07,0.02716195,6.571439184999998e-07,0.028052979999999998,1.7200202959999977e-07
5150,0.027426440000000003,6.688470844000013e-07,0.027133449999999996,6.505727585e-07,0.02801618,1.7507296559999984e-07
5200,0.027415279999999997,6.585844136000002e-07,0.02710769,6.523084449000002e-07,0.02797542,1.813915375999999e-07
5250,0.02740757,6.560727780999996e-07,0.02708435,6.436098524999998e-07,0.02793675,1.8212837049999986e-07
5300,0.02739059,6.675450969000004e-07,0.02706136,6.475242364000001e-07,0.02790114,1.8582398439999975e-07
5350,0.02737229,6.630837769000002e-07,0.027035510000000002,6.403744528999994e-07,0.02786439,1.852921028999998e-07
5400,0.0273502,6.737710459999999e-07,0.0270102,6.415956159999992e-07,0.027827029999999996,1.7943415410000007e-07
5450,0.02732777,6.852214200999992e-07,0.026984589999999996,6.518634469e-07,0.02779239,1.832358009000003e-07
5500,0.02730978,6.982332196000005e-07,0.02695921,6.564071469000003e-07,0.02775495,1.8607370850000014e-07
5550,0.027296090000000002,6.933174189000002e-07,0.026938479999999997,6.608560916e-07,0.0277173,1.8749440399999945e-07
5600,0.027273730000000003,7.020332820999996e-07,0.02691735,6.631581745000003e-07,0.02769361,1.897025969000002e-07
5650,0.027256930000000002,7.055620901000005e-07,0.026894099999999997,6.601100979999995e-07,0.027665260000000004,1.943114244000003e-07
5700,0.02723711,7.191018069000008e-07,0.02686862,6.633050615999998e-07,0.027640940000000003,1.9478198439999971e-07
5750,0.0272137,7.349871200000007e-07,0.026847660000000002,6.631840003999995e-07,0.0276146,1.984000980000001e-07
5800,0.02718178,7.387538596000001e-07,0.026820729999999997,6.764159740999998e-07,0.027589930000000002,1.956797541000002e-07
5850,0.02716608,7.382384496000001e-07,0.02679267,6.808150440999998e-07,0.02756387,1.9494136810000016e-07
5900,0.02714901,7.388335288999992e-07,0.026747959999999998,6.960753243999997e-07,0.02753757,1.9666355810000019e-07
5950,0.02713101,7.525407308999991e-07,0.02671863,7.031757241e-07,0.027510200000000002,1.9610572000000025e-07
6000,0.02711865,7.584295125000001e-07,0.02669123,7.031381300999995e-07,0.02748199,1.950467929000002e-07
6050,0.027111049999999998,7.618233304999998e-07,0.02666872,7.038283836000004e-07,0.027449059999999997,2.009924703999999e-07
6100,0.02708995,7.541784125000001e-07,0.0266374,7.092300700000006e-07,0.02742376,2.0192141240000002e-07
6150,0.02707616,7.50517508400001e-07,0.02661423,7.099029001000004e-07,0.02738949,2.086879749e-07
6200,0.02706215,7.588965965000007e-07,0.02659146,7.193186823999999e-07,0.0273646,2.0568121799999976e-07
6250,0.027054089999999996,7.583291129000002e-07,0.026573419999999997,7.185793016000002e-07,0.02733751,2.1011571290000013e-07
6300,0.02703766,7.764099403999994e-07,0.026553139999999996,7.203163884000004e-07,0.02731634,2.0837837639999977e-07
6350,0.027020489999999998,7.911066708999997e-07,0.02653201,7.147270609000009e-07,0.027292450000000003,2.1235836649999964e-07
6400,0.026999659999999998,8.007350084e-07,0.02651273,7.171471080999994e-07,0.02726849,2.1115937489999995e-07
6450,0.026966570000000002,7.577491381000003e-07,0.02648971,7.206706148999999e-07,0.02724488,2.141103655999999e-07
6500,0.026947660000000002,7.646771224e-07,0.026466060000000003,7.25403406399999e-07,0.02720976,2.1133220039999952e-07
6550,0.026932679999999997,7.622817295999993e-07,0.026446419999999998,7.283989335999997e-07,0.027188220000000003,2.086400176000005e-07
6600,0.02691613,7.492054480999995e-07,0.026423449999999998,7.304793325e-07,0.02716147,2.109677500999994e-07
6650,0.026898830000000002,7.477874760999999e-07,0.026404080000000003,7.321690836e-07,0.02713954,2.1092713039999994e-07
