Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CGA --seed 9 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_100.txt --cnum 100 --enum 100 --dnum 300 --tnum 100 --mopt 5
Command: 'C:\Users\Hu\Desktop\论文\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' '--solver' 'CGA' '--seed' '9' '--generations' '10000' '--log_every' '50' '--data_dir' 'C:\Users\Hu\Desktop\论文\CED_schedule_Final\data' '--data_file' 'data_matrix_100.txt' '--cnum' '100' '--enum' '100' '--dnum' '300' '--tnum' '100' '--mopt' '5'
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 9
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CGA
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/100/5
Migration: disabled
CGA input: (raw data mode via --data_dir/--data_file)
CGA VM count (raw mode): 35
CGA communication scale (raw mode): 0.01
CGA edge ratio (raw mode): 0.6
CGA deadline factor (raw mode): 1.5
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_100.txt"
[Normalization] f1_ref (makespan) = 90.8788
[Normalization] f2_ref (energy) = 7.54135
[Normalization] alpha = 0.5

=== Running CGA Solver ===
CGA mode: objective-compatible with CED_Schedule (best_fit smaller is better)
CGA params: pop=300, gen=10000, pc=0.75, pm(early/late)=0.03/0.01, cat=150, cat_apply_gen<=5000
Gen 50: best_fit = 0.388745
Gen 100: best_fit = 0.38705
Gen 150: best_fit = 0.386601
Gen 200: best_fit = 0.385886
Gen 250: best_fit = 0.385641
Gen 300: best_fit = 0.385641
Gen 350: best_fit = 0.385396
Gen 400: best_fit = 0.384824
Gen 450: best_fit = 0.384334
Gen 500: best_fit = 0.383517
Gen 550: best_fit = 0.382292
Gen 600: best_fit = 0.381863
Gen 650: best_fit = 0.381638
Gen 700: best_fit = 0.380903
Gen 750: best_fit = 0.380637
Gen 800: best_fit = 0.380372
Gen 850: best_fit = 0.380372
Gen 900: best_fit = 0.379412
Gen 950: best_fit = 0.379167
Gen 1000: best_fit = 0.378881
Gen 1050: best_fit = 0.378615
Gen 1100: best_fit = 0.378615
Gen 1150: best_fit = 0.37835
Gen 1200: best_fit = 0.378084
Gen 1250: best_fit = 0.377839
Gen 1300: best_fit = 0.377798
Gen 1350: best_fit = 0.376981
Gen 1400: best_fit = 0.376246
Gen 1450: best_fit = 0.375736
Gen 1500: best_fit = 0.375307
Gen 1550: best_fit = 0.375062
Gen 1600: best_fit = 0.374714
Gen 1650: best_fit = 0.373897
Gen 1700: best_fit = 0.373183
Gen 1750: best_fit = 0.372958
Gen 1800: best_fit = 0.372897
Gen 1850: best_fit = 0.372202
Gen 1900: best_fit = 0.371447
Gen 1950: best_fit = 0.370956
Gen 2000: best_fit = 0.370446
Gen 2050: best_fit = 0.370446
Gen 2100: best_fit = 0.369956
Gen 2150: best_fit = 0.369915
Gen 2200: best_fit = 0.369629
Gen 2250: best_fit = 0.369404
Gen 2300: best_fit = 0.368975
Gen 2350: best_fit = 0.368975
Gen 2400: best_fit = 0.368975
Gen 2450: best_fit = 0.368526
Gen 2500: best_fit = 0.36826
Gen 2550: best_fit = 0.367975
Gen 2600: best_fit = 0.367832
Gen 2650: best_fit = 0.367035
Gen 2700: best_fit = 0.36681
Gen 2750: best_fit = 0.36677
Gen 2800: best_fit = 0.366504
Gen 2850: best_fit = 0.365973
Gen 2900: best_fit = 0.365483
Gen 2950: best_fit = 0.365197
Gen 3000: best_fit = 0.365197
Gen 3050: best_fit = 0.364972
Gen 3100: best_fit = 0.364972
Gen 3150: best_fit = 0.364686
Gen 3200: best_fit = 0.364686
Gen 3250: best_fit = 0.3644
Gen 3300: best_fit = 0.36391
Gen 3350: best_fit = 0.363869
Gen 3400: best_fit = 0.363502
Gen 3450: best_fit = 0.363277
Gen 3500: best_fit = 0.363257
Gen 3550: best_fit = 0.36293
Gen 3600: best_fit = 0.362705
Gen 3650: best_fit = 0.36246
Gen 3700: best_fit = 0.362276
Gen 3750: best_fit = 0.362235
Gen 3800: best_fit = 0.362011
Gen 3850: best_fit = 0.36197
Gen 3900: best_fit = 0.36195
Gen 3950: best_fit = 0.361704
Gen 4000: best_fit = 0.3615
Gen 4050: best_fit = 0.3615
Gen 4100: best_fit = 0.361296
Gen 4150: best_fit = 0.36101
Gen 4200: best_fit = 0.360397
Gen 4250: best_fit = 0.360357
Gen 4300: best_fit = 0.360071
Gen 4350: best_fit = 0.360071
Gen 4400: best_fit = 0.36003
Gen 4450: best_fit = 0.36003
Gen 4500: best_fit = 0.359764
Gen 4550: best_fit = 0.359764
Gen 4600: best_fit = 0.359764
Gen 4650: best_fit = 0.35954
Gen 4700: best_fit = 0.35954
Gen 4750: best_fit = 0.35954
Gen 4800: best_fit = 0.359519
Gen 4850: best_fit = 0.35907
Gen 4900: best_fit = 0.359049
Gen 4950: best_fit = 0.35858
Gen 5000: best_fit = 0.35858
Gen 5050: best_fit = 0.358049
Gen 5100: best_fit = 0.358049
Gen 5150: best_fit = 0.357742
Gen 5200: best_fit = 0.357742
Gen 5250: best_fit = 0.357273
Gen 5300: best_fit = 0.357273
Gen 5350: best_fit = 0.357273
Gen 5400: best_fit = 0.356987
Gen 5450: best_fit = 0.356782
Gen 5500: best_fit = 0.356782
Gen 5550: best_fit = 0.356782
Gen 5600: best_fit = 0.356537
Gen 5650: best_fit = 0.356537
Gen 5700: best_fit = 0.356537
Gen 5750: best_fit = 0.356333
Gen 5800: best_fit = 0.356333
Gen 5850: best_fit = 0.356333
Gen 5900: best_fit = 0.356129
Gen 5950: best_fit = 0.356129
Gen 6000: best_fit = 0.356129
Gen 6050: best_fit = 0.356129
Gen 6100: best_fit = 0.356129
Gen 6150: best_fit = 0.356129
Gen 6200: best_fit = 0.355925
Gen 6250: best_fit = 0.355455
Gen 6300: best_fit = 0.35523
Gen 6350: best_fit = 0.354965
Gen 6400: best_fit = 0.354965
Gen 6450: best_fit = 0.35472
Gen 6500: best_fit = 0.35472
Gen 6550: best_fit = 0.35472
Gen 6600: best_fit = 0.35472
Gen 6650: best_fit = 0.35472
Gen 6700: best_fit = 0.35472
Gen 6750: best_fit = 0.35472
Gen 6800: best_fit = 0.354699
Gen 6850: best_fit = 0.354699
Gen 6900: best_fit = 0.354413
Gen 6950: best_fit = 0.354413
Gen 7000: best_fit = 0.354413
Gen 7050: best_fit = 0.354189
Gen 7100: best_fit = 0.354189
Gen 7150: best_fit = 0.354189
Gen 7200: best_fit = 0.353984
Gen 7250: best_fit = 0.353984
Gen 7300: best_fit = 0.353984
Gen 7350: best_fit = 0.353984
Gen 7400: best_fit = 0.353943
Gen 7450: best_fit = 0.353943
Gen 7500: best_fit = 0.353943
Gen 7550: best_fit = 0.353719
Gen 7600: best_fit = 0.353719
Gen 7650: best_fit = 0.353515
Gen 7700: best_fit = 0.353515
Gen 7750: best_fit = 0.353515
Gen 7800: best_fit = 0.353515
Gen 7850: best_fit = 0.353494
Gen 7900: best_fit = 0.353494
Gen 7950: best_fit = 0.353494
Gen 8000: best_fit = 0.353494
Gen 8050: best_fit = 0.353494
Gen 8100: best_fit = 0.35329
Gen 8150: best_fit = 0.35329
Gen 8200: best_fit = 0.35329
Gen 8250: best_fit = 0.35329
Gen 8300: best_fit = 0.35329
Gen 8350: best_fit = 0.35329
Gen 8400: best_fit = 0.353249
Gen 8450: best_fit = 0.353249
Gen 8500: best_fit = 0.353249
Gen 8550: best_fit = 0.353024
Gen 8600: best_fit = 0.353024
Gen 8650: best_fit = 0.353024
Gen 8700: best_fit = 0.353024
Gen 8750: best_fit = 0.353024
Gen 8800: best_fit = 0.353024
Gen 8850: best_fit = 0.353024
Gen 8900: best_fit = 0.353024
Gen 8950: best_fit = 0.353024
Gen 9000: best_fit = 0.35282
Gen 9050: best_fit = 0.35282
Gen 9100: best_fit = 0.352616
Gen 9150: best_fit = 0.352575
Gen 9200: best_fit = 0.352575
Gen 9250: best_fit = 0.352575
Gen 9300: best_fit = 0.352575
Gen 9350: best_fit = 0.352575
Gen 9400: best_fit = 0.352575
Gen 9450: best_fit = 0.352575
Gen 9500: best_fit = 0.352575
Gen 9550: best_fit = 0.352412
Gen 9600: best_fit = 0.352412
Gen 9650: best_fit = 0.352412
Gen 9700: best_fit = 0.352412
Gen 9750: best_fit = 0.352412
Gen 9800: best_fit = 0.352412
Gen 9850: best_fit = 0.35235
Gen 9900: best_fit = 0.35235
Gen 9950: best_fit = 0.352207
Gen 10000: best_fit = 0.352207

=== Final Results (CGA) ===
Solver: CGA
Generations = 10000
Best generation = 9904
Catastrophe triggers = 2
Best fitness = 0.352207
The best solution = 0.352207
Time = 75.64 s

exit code 0

exit code 0
