Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver GDE --seed 7 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 7
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: GDE
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T500_E200_D800.txt"
[Normalization] f1_ref (makespan) = 47369
[Normalization] f2_ref (energy) = 5817.69
[Normalization] alpha = 0.5
Gen 50: best_fit = 0.0548611
Gen 100: best_fit = 0.0529869
Gen 150: best_fit = 0.0504921
Gen 200: best_fit = 0.0477991
Gen 250: best_fit = 0.0462644
Gen 300: best_fit = 0.0454539
Gen 350: best_fit = 0.0439059
Gen 400: best_fit = 0.0430346
Gen 450: best_fit = 0.0420013
Gen 500: best_fit = 0.0411745
Gen 550: best_fit = 0.0404004
Gen 600: best_fit = 0.0398995
Gen 650: best_fit = 0.0391541
Gen 700: best_fit = 0.0383449
Gen 750: best_fit = 0.0378343
Gen 800: best_fit = 0.0372519
Gen 850: best_fit = 0.0369494
Gen 900: best_fit = 0.0365324
Gen 950: best_fit = 0.0360734
Gen 1000: best_fit = 0.0355044
Gen 1050: best_fit = 0.0352247
Gen 1100: best_fit = 0.0348496
Gen 1150: best_fit = 0.0344888
Gen 1200: best_fit = 0.0342176
Gen 1250: best_fit = 0.0340071
Gen 1300: best_fit = 0.0336915
Gen 1350: best_fit = 0.0334068
Gen 1400: best_fit = 0.0331749
Gen 1450: best_fit = 0.0329699
Gen 1500: best_fit = 0.0327227
Gen 1550: best_fit = 0.0324003
Gen 1600: best_fit = 0.0322569
Gen 1650: best_fit = 0.0320579
Gen 1700: best_fit = 0.0319049
Gen 1750: best_fit = 0.0317408
Gen 1800: best_fit = 0.0315786
Gen 1850: best_fit = 0.0314055
Gen 1900: best_fit = 0.0312298
Gen 1950: best_fit = 0.0311313
Gen 2000: best_fit = 0.0310275
Gen 2050: best_fit = 0.0308953
Gen 2100: best_fit = 0.0307346
Gen 2150: best_fit = 0.0306202
Gen 2200: best_fit = 0.030546
Gen 2250: best_fit = 0.0302792
Gen 2300: best_fit = 0.0300998
Gen 2350: best_fit = 0.0300283
Gen 2400: best_fit = 0.0299415
Gen 2450: best_fit = 0.0298656
Gen 2500: best_fit = 0.0297533
Gen 2550: best_fit = 0.0295696
Gen 2600: best_fit = 0.0295252
Gen 2650: best_fit = 0.0294477
Gen 2700: best_fit = 0.0293815
Gen 2750: best_fit = 0.029324
Gen 2800: best_fit = 0.02927
Gen 2850: best_fit = 0.0292143
Gen 2900: best_fit = 0.0291489
Gen 2950: best_fit = 0.0290967
Gen 3000: best_fit = 0.029012
Gen 3050: best_fit = 0.0289359
Gen 3100: best_fit = 0.0288449
Gen 3150: best_fit = 0.0287671
Gen 3200: best_fit = 0.0286956
Gen 3250: best_fit = 0.0286169
Gen 3300: best_fit = 0.0285769
Gen 3350: best_fit = 0.0285008
Gen 3400: best_fit = 0.0284315
Gen 3450: best_fit = 0.0283828
Gen 3500: best_fit = 0.0283384
Gen 3550: best_fit = 0.0282645
Gen 3600: best_fit = 0.0281906
Gen 3650: best_fit = 0.0281727
Gen 3700: best_fit = 0.0281491
Gen 3750: best_fit = 0.0281385
Gen 3800: best_fit = 0.0280997
Gen 3850: best_fit = 0.0280801
Gen 3900: best_fit = 0.0280544
Gen 3950: best_fit = 0.0280222
Gen 4000: best_fit = 0.0278826
Gen 4050: best_fit = 0.0278582
Gen 4100: best_fit = 0.0278363
Gen 4150: best_fit = 0.0278225
Gen 4200: best_fit = 0.0277833
Gen 4250: best_fit = 0.0277656
Gen 4300: best_fit = 0.0277453
