gen,CCHIHH_Full mean,CCHIHH_Full var,GDE mean,GDE var,CGA mean,CGA var,IMOMA mean,IMOMA var
50,0.054951530000000005,1.4698069180999992e-06,0.05500541,1.0294306808999996e-06,0.05729575,8.761965904999987e-07,0.05467535999999999,2.9893504083999997e-06
100,0.05077222,1.2715007896000007e-06,0.05211386999999999,8.889600101e-07,0.05664021,6.273988929000006e-07,0.05316429,2.3550212509000023e-06
150,0.0483989,1.9073182440000005e-06,0.04926609,9.963473629000006e-07,0.05593382,3.7302645760000157e-07,0.05210648,1.3825507256e-06
200,0.04633273,2.261669518099999e-06,0.047174759999999996,6.096507624000001e-07,0.05554583,5.051994961000021e-07,0.051885669999999995,1.0726855441000007e-06
250,0.04471117,2.5283377561000013e-06,0.04563522,4.7378880360000003e-07,0.05543116,4.232412243999994e-07,0.051672989999999995,1.1260225929000016e-06
300,0.04326386,2.443367184400003e-06,0.044543650000000004,4.422533064999998e-07,0.0551368,6.792199539999993e-07,0.051453729999999996,1.3228082160999999e-06
350,0.04205097,2.225077708100003e-06,0.04339216,4.3227046039999926e-07,0.05498839,6.669672068999994e-07,0.05121941,1.2398274289000012e-06
400,0.04103797,2.3414476880999972e-06,0.042469770000000004,4.4130645609999916e-07,0.054705369999999996,7.586570000999984e-07,0.05072607999999999,1.2087453956000009e-06
450,0.04016045,2.1315906804999977e-06,0.04152955,4.027889425000014e-07,0.05446258,7.491944855999981e-07,0.05040926,1.1073581344000004e-06
500,0.03921657,1.542356182099999e-06,0.04061928,4.5147260960000076e-07,0.05426873,8.176156820999991e-07,0.05016559,6.736587369000001e-07
550,0.03856933,1.195912202100001e-06,0.03987367,4.235509121000003e-07,0.053967169999999995,7.125820301000005e-07,0.050049180000000006,5.154829636000002e-07
600,0.03796998,9.875438316000008e-07,0.0392061,4.839636839999998e-07,0.05375127,7.587619101e-07,0.050042659999999996,5.134080624000002e-07
650,0.037428420000000004,8.103502955999986e-07,0.038547349999999994,4.309524985000003e-07,0.05352057,7.064160621e-07,0.04980233,5.634748041000004e-07
700,0.03693554,7.216993223999983e-07,0.03799761,3.6012719089999935e-07,0.05326885,6.522970244999998e-07,0.049730289999999996,5.708691069000001e-07
750,0.03653255,6.615466864999995e-07,0.03747524,3.538792323999993e-07,0.05303346,6.458402984000011e-07,0.04972525,5.615526765000004e-07
800,0.03615397,6.362981500999995e-07,0.03700736,2.971665683999999e-07,0.05275771,6.931082969000026e-07,0.049701220000000004,5.703253636000002e-07
850,0.03575997,5.098753020999996e-07,0.03652418,3.809693916000003e-07,0.05255181,7.353543309000003e-07,0.049626760000000006,5.101621023999997e-07
900,0.03540414,4.392320924000003e-07,0.03611283,3.6702511809999997e-07,0.05236724,7.483302624000005e-07,0.049533549999999996,5.814477244999982e-07
950,0.03507674,4.1651214039999934e-07,0.03572865,3.0306701249999946e-07,0.05220595,7.696473664999991e-07,0.04945298,6.013546655999989e-07
1000,0.03478786,3.747360184000004e-07,0.03529757,3.4239569610000023e-07,0.052024230000000005,7.335199020999989e-07,0.04933458,7.755503395999982e-07
1050,0.03450981,3.1886206690000047e-07,0.034930859999999994,3.722342943999995e-07,0.051818710000000004,8.057642868999995e-07,0.049223630000000004,9.65686464099998e-07
1100,0.03425203,2.850116500999993e-07,0.034591720000000006,3.5470880159999973e-07,0.05158355,6.168050784999996e-07,0.04916194,8.368573863999987e-07
1150,0.03399585,2.762482765000003e-07,0.03424869,3.598436848999992e-07,0.051432809999999995,6.081715648999991e-07,0.04900862,8.066641815999984e-07
1200,0.03377299,2.598189608999997e-07,0.03396241,3.390640129000001e-07,0.05119854,5.934517444000006e-07,0.04888384,1.0862520943999986e-06
1250,0.033553,2.7736335799999994e-07,0.03371952,3.3144050160000074e-07,0.05104982,6.247538036000011e-07,0.048817,8.983478920000002e-07
1300,0.03327581,2.3312343690000105e-07,0.03343629,3.222292809000001e-07,0.050870309999999995,6.756649949000017e-07,0.04875362,8.899102996000003e-07
1350,0.03306672,2.3696172959999952e-07,0.03317658,3.573636835999994e-07,0.05064945,6.397715185000008e-07,0.04874839,8.790962809000006e-07
1400,0.03285421,2.377137108999993e-07,0.03293062,3.6116573160000095e-07,0.050512259999999996,6.489610844000007e-07,0.04874839,8.790962809000006e-07
1450,0.0326461,1.9632709000000028e-07,0.03270914,3.530365263999999e-07,0.05033503,6.863169381e-07,0.04874839,8.790962809000006e-07
1500,0.03247861,1.8744605089999942e-07,0.03249342,3.386936035999993e-07,0.0502116,7.258540780000012e-07,0.04874839,8.790962809000006e-07
1550,0.03230677,1.8705507209999886e-07,0.03228541,3.2297789690000076e-07,0.05006889999999999,6.760031399999994e-07,0.04869508,8.871658156000008e-07
1600,0.03212843,1.642291521000001e-07,0.032093949999999996,3.095766624999999e-07,0.04992373,7.068400361000002e-07,0.04869508,8.871658156000008e-07
1650,0.03196311,1.6777215289999966e-07,0.0319352,2.872465880000003e-07,0.04981316,7.209446543999989e-07,0.04869508,8.871658156000008e-07
1700,0.0318148,1.745586639999995e-07,0.03172936,2.969226123999999e-07,0.049710910000000004,6.619262269000008e-07,0.04869508,8.871658156000008e-07
1750,0.03164106,1.762573664000005e-07,0.03154986,2.911551983999992e-07,0.04962568,7.356498935999984e-07,0.04869508,8.871658156000008e-07
1800,0.03148089,1.7366225489999956e-07,0.0313934,2.768399320000001e-07,0.0494604,8.063223739999996e-07,0.048658400000000004,9.570413500000002e-07
1850,0.03133661,1.7052754490000053e-07,0.03121659,2.742448189000005e-07,0.049367129999999995,7.138620520999994e-07,0.048658400000000004,9.570413500000002e-07
1900,0.031193969999999998,1.7084645009999987e-07,0.031052049999999998,2.803054724999996e-07,0.04926103,6.983037881000005e-07,0.04852695,1.1341234065000009e-06
1950,0.031075399999999996,1.6156936199999944e-07,0.030872470000000003,2.529411760999996e-07,0.04913403,7.435342240999978e-07,0.04851345,1.100829158500001e-06
2000,0.03097783,1.455678621000002e-07,0.03073274,2.5176155439999977e-07,0.0490212,6.90280023999999e-07,0.04849793,1.0801906121000019e-06
2050,0.030868529999999998,1.3485535009999944e-07,0.03060657,2.4215003010000027e-07,0.04889599,6.781401688999988e-07,0.04849743,1.0791198921000021e-06
2100,0.03076016,1.4453575439999987e-07,0.0304665,2.3898488399999944e-07,0.04881009,6.742476649000003e-07,0.048431020000000005,1.2469860876000025e-06
2150,0.03066043,1.515455880999998e-07,0.030325190000000002,2.454903828999996e-07,0.04865909,6.039526489000003e-07,0.04842366,1.2543356004000003e-06
2200,0.03052786,1.635575403999997e-07,0.03018048,2.4224838159999996e-07,0.04850595,6.375240305000016e-07,0.04842217,1.2526586240999992e-06
2250,0.030408599999999997,1.5597964200000005e-07,0.03005568,2.214112616000003e-07,0.04837412,6.781502556000018e-07,0.04841943,1.2447232240999995e-06
2300,0.03031036,1.5302438239999992e-07,0.02992199,2.1115686889999984e-07,0.04824893,6.596661481000006e-07,0.04827742,1.5103552115999998e-06
2350,0.030215749999999996,1.6325743849999978e-07,0.029814439999999998,2.2376308839999984e-07,0.04810534,6.067243284000004e-07,0.04827652,1.5081701375999994e-06
2400,0.030118689999999997,1.6406967890000036e-07,0.029707729999999998,2.4731345210000075e-07,0.04801017,6.317322101000003e-07,0.04827652,1.5081701375999994e-06
2450,0.03002374,1.7918035040000018e-07,0.02960586,2.492724144000004e-07,0.04791598,6.854782096000007e-07,0.048276360000000004,1.5081737983999993e-06
2500,0.029923490000000004,1.8461821490000006e-07,0.029515180000000002,2.550492636000003e-07,0.047813299999999996,7.515647380000019e-07,0.04827605,1.5086868204999994e-06
2550,0.029834640000000003,1.9580321440000028e-07,0.02940958,2.4817710360000057e-07,0.04773311,7.158080589000005e-07,0.048222360000000006,1.623632278399999e-06
2600,0.029764230000000003,2.062535300999999e-07,0.02933206,2.3660671240000002e-07,0.047592270000000006,8.685730961000005e-07,0.04813954,1.4308852923999988e-06
2650,0.02968364,2.0727431839999992e-07,0.02925689,2.2735398089999984e-07,0.04749188,8.409516675999999e-07,0.04801913,1.2357200600999986e-06
2700,0.02958848,2.0963777760000002e-07,0.02917095,2.3229518850000032e-07,0.04738892,8.660191576000006e-07,0.04801913,1.2357200600999986e-06
2750,0.02950098,2.1974239960000066e-07,0.029092849999999996,2.316462165000003e-07,0.04730091,8.432285569000006e-07,0.047961170000000004,1.4315031440999985e-06
2800,0.029422379999999998,2.2683457559999973e-07,0.029038390000000004,2.3782286689999979e-07,0.04716206,8.45576530399998e-07,0.047961170000000004,1.4315031440999985e-06
2850,0.02932476,2.5183042639999925e-07,0.028960600000000003,2.394877739999999e-07,0.047030300000000004,8.632886499999988e-07,0.047961170000000004,1.4315031440999985e-06
2900,0.029249340000000002,2.655593184e-07,0.028908659999999996,2.4279083439999916e-07,0.046913899999999994,8.324061260000016e-07,0.0479547,1.4454781499999986e-06
2950,0.029162630000000002,2.6860218409999964e-07,0.02884778,2.4515167559999985e-07,0.04679818,8.202784416000011e-07,0.0479547,1.4454781499999986e-06
3000,0.029069119999999997,2.7689013760000035e-07,0.02878777,2.5142422410000027e-07,0.046692,8.597027980000003e-07,0.04795399,1.4450431968999985e-06
3050,0.02899008,2.7238804959999985e-07,0.02872862,2.449226916000003e-07,0.046559079999999996,8.589046956e-07,0.04795399,1.4450431968999985e-06
3100,0.02891745,2.907702904999997e-07,0.028653679999999997,2.350051656000003e-07,0.04648734,7.825695204000003e-07,0.04795399,1.4450431968999985e-06
3150,0.028847489999999996,2.972488709000003e-07,0.02860046,2.3230161239999983e-07,0.04638639,7.553823028999994e-07,0.04795399,1.4450431968999985e-06
3200,0.028782429999999998,3.0149851409999987e-07,0.028534510000000003,2.4000405689999964e-07,0.04630877,7.666287600999993e-07,0.04795399,1.4450431968999985e-06
3250,0.028714339999999998,3.0240280240000036e-07,0.02847247,2.440970240999995e-07,0.0461697,7.064299499999994e-07,0.04795399,1.4450431968999985e-06
3300,0.028671629999999997,3.1803974610000006e-07,0.028408080000000002,2.5148060959999993e-07,0.04609816,6.940482064e-07,0.04795399,1.4450431968999985e-06
3350,0.028644350000000002,3.3188125249999997e-07,0.0283578,2.4561072200000017e-07,0.045975379999999996,6.902214996000003e-07,0.04795399,1.4450431968999985e-06
3400,0.02858599,3.306390728999997e-07,0.02831141,2.4822220489999944e-07,0.04591442,7.006482976000006e-07,0.04795399,1.4450431968999985e-06
3450,0.02853102,3.317302176e-07,0.028250619999999997,2.4257439959999955e-07,0.045810090000000005,7.677099749000029e-07,0.04795399,1.4450431968999985e-06
3500,0.02849565,3.2996918650000016e-07,0.02820396,2.3935829240000024e-07,0.04571519,7.731170449000001e-07,0.04795399,1.4450431968999985e-06
3550,0.02843834,3.3883161039999965e-07,0.028156510000000003,2.448412888999999e-07,0.04556773,7.476041901000005e-07,0.04795399,1.4450431968999985e-06
3600,0.02841163,3.349486481e-07,0.028117579999999996,2.410321595999997e-07,0.0454599,6.975950300000004e-07,0.04795399,1.4450431968999985e-06
3650,0.028384029999999998,3.402885581000005e-07,0.028081489999999997,2.5020835689999975e-07,0.045401750000000005,6.81159546500001e-07,0.047930070000000005,1.5431262000999993e-06
3700,0.028330070000000002,3.5189595009999986e-07,0.028046369999999998,2.441694961e-07,0.04529657,6.62549430100002e-07,0.04792324,1.5730225443999995e-06
3750,0.02828144,3.549899804e-07,0.02800144,2.367289923999998e-07,0.04521666,6.456310223999982e-07,0.0479209,1.5834583359999994e-06
3800,0.02823853,3.6664979410000014e-07,0.02796349,2.3675079889999978e-07,0.04517102,6.266854696000006e-07,0.0479209,1.5834583359999994e-06
3850,0.028189380000000003,3.8506842159999953e-07,0.02792113,2.3388405210000024e-07,0.045079720000000004,5.626066235999991e-07,0.0479209,1.5834583359999994e-06
3900,0.02815432,3.937026556e-07,0.02787266,2.066187484000001e-07,0.04500731,5.609186208999997e-07,0.0479209,1.5834583359999994e-06
3950,0.02810502,4.23977017600001e-07,0.027834320000000003,2.0411261359999954e-07,0.04491102,5.385074335999997e-07,0.0479209,1.5834583359999994e-06
4000,0.0280657,4.3639291600000116e-07,0.02779396,2.0363771440000015e-07,0.044854899999999996,5.320089419999989e-07,0.047782530000000004,1.6494630920999992e-06
4050,0.028032099999999997,4.415078999999996e-07,0.02775355,2.0152834849999997e-07,0.04474956,5.190931364000015e-07,0.047782530000000004,1.6494630920999992e-06
4100,0.0279825,4.5837379599999995e-07,0.027716829999999998,1.971396880999997e-07,0.044685550000000004,5.471949765000017e-07,0.04773661,1.6248564008999997e-06
4150,0.027944010000000002,4.739619989000004e-07,0.027669890000000003,2.0623952489999966e-07,0.04461044,5.195561483999993e-07,0.04773661,1.6248564008999997e-06
4200,0.02791495,4.7449144649999986e-07,0.02763525,2.086376485000002e-07,0.04454149,5.593317348999989e-07,0.04769307,1.6933018721000015e-06
4250,0.02788727,4.523568361000006e-07,0.027605380000000002,2.1463942160000017e-07,0.04447043,5.671717160999981e-07,0.04769215,1.6930871065000018e-06
4300,0.0278415,4.572852900000005e-07,0.02756468,1.971627076000002e-07,0.04439297,5.411290061000007e-07,0.04769215,1.6930871065000018e-06
4350,0.02780377,4.7411664810000026e-07,0.027541550000000005,1.9578576649999974e-07,0.0443006,5.503767859999993e-07,0.04763926,1.8516677224000016e-06
4400,0.02777648,4.773608575999995e-07,0.02752247,1.9678822610000037e-07,0.04420732,5.770435855999971e-07,0.04763926,1.8516677224000016e-06
4450,0.02775631,4.799520469e-07,0.027493080000000003,1.9715420359999985e-07,0.04414328,5.618205035999996e-07,0.04763926,1.8516677224000016e-06
4500,0.027741710000000003,4.881028788999999e-07,0.027473530000000003,1.9928300609999978e-07,0.044048290000000004,5.593516389000004e-07,0.047513490000000005,2.3004716788999994e-06
4550,0.02772213,4.991826041000004e-07,0.027449079999999997,2.0112431160000014e-07,0.043974400000000004,5.978049560000022e-07,0.047513490000000005,2.3004716788999994e-06
4600,0.02770034,5.149181643999998e-07,0.027398640000000002,1.8993660640000018e-07,0.04392737,5.908887101000004e-07,0.047513490000000005,2.3004716788999994e-06
4650,0.02767772,5.305913235999995e-07,0.02737097,1.889530541e-07,0.04382582,5.757799316000017e-07,0.047513490000000005,2.3004716788999994e-06
4700,0.02764875,5.584364244999998e-07,0.02733781,1.972998549e-07,0.04376711,5.680845108999983e-07,0.047513490000000005,2.3004716788999994e-06
4750,0.027625860000000002,5.767191664000003e-07,0.02731077,1.9253902409999982e-07,0.04368855,5.498258084999998e-07,0.047513490000000005,2.3004716788999994e-06
4800,0.02759569,6.070775709000003e-07,0.02729301,1.9236273290000013e-07,0.0436301,5.548523460000017e-07,0.047512910000000005,2.297154078899999e-06
4850,0.02757983,6.229243600999993e-07,0.02727077,1.9556447809999976e-07,0.04354103,6.066299400999988e-07,0.047512910000000005,2.297154078899999e-06
4900,0.027557530000000004,6.328364560999995e-07,0.027248260000000003,1.9582239839999999e-07,0.043499880000000005,5.796459096000003e-07,0.04746186,2.2395732524e-06
4950,0.02752761,6.396923288999995e-07,0.02722254,1.890753444000003e-07,0.04343675,6.083913265000009e-07,0.04746186,2.2395732524e-06
5000,0.027491179999999997,6.379636655999995e-07,0.027203880000000003,1.822288395999998e-07,0.04335258,6.034403635999998e-07,0.04746186,2.2395732524e-06
5050,0.02746623,6.393436101000006e-07,0.02718355,1.8093502050000015e-07,0.04326857,6.068611960999992e-07,0.04746186,2.2395732524e-06
5100,0.027452880000000002,6.494154896000003e-07,0.027156839999999998,1.7919866839999998e-07,0.04319535,5.847146044999998e-07,0.04746186,2.2395732524e-06
5150,0.027426440000000003,6.688470844000013e-07,0.027139760000000002,1.748230524000002e-07,0.04312026,5.732890683999982e-07,0.04746186,2.2395732524e-06
5200,0.027415279999999997,6.585844136000002e-07,0.02711288,1.6328908959999987e-07,0.04303783,5.784211981000008e-07,0.04746186,2.2395732524e-06
5250,0.02740757,6.560727780999996e-07,0.027089679999999998,1.578589476000002e-07,0.04298987,6.005425001e-07,0.04744453,2.2306914540999997e-06
5300,0.02739059,6.675450969000004e-07,0.027074560000000004,1.597596763999998e-07,0.04290808,6.12392801600002e-07,0.04744453,2.2306914540999997e-06
