Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --cchihh_no_migration --seed 6 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 6
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: disabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T500_E200_D800.txt"
[Normalization] f1_ref (makespan) = 47380.7
[Normalization] f2_ref (energy) = 5813.54
[Normalization] alpha = 0.5

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=500, M_Jnum=500, M_OPTnum=5, ops=2500
  Nvar=6000, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=1000
  Block 1 (seq): start=1000, len=2500
  Block 2 (dev): start=3500, len=2500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.0657778
Gen 50: best_fit = 0.0560388
Gen 100: best_fit = 0.0552592
Gen 150: best_fit = 0.0537829
Gen 200: best_fit = 0.0529904
Gen 250: best_fit = 0.052642
Gen 300: best_fit = 0.051949
Gen 350: best_fit = 0.051949
Gen 400: best_fit = 0.0515399
Gen 450: best_fit = 0.0509731
Gen 500: best_fit = 0.0506124
Gen 550: best_fit = 0.0504739
Gen 600: best_fit = 0.0504739
Gen 650: best_fit = 0.0504739
Gen 700: best_fit = 0.0501626
Gen 750: best_fit = 0.0501626
Gen 800: best_fit = 0.0494611
Gen 850: best_fit = 0.0490776
Gen 900: best_fit = 0.0486484
Gen 950: best_fit = 0.0486358
Gen 1000: best_fit = 0.0483924
Gen 1050: best_fit = 0.0483365
Gen 1100: best_fit = 0.0481176
Gen 1150: best_fit = 0.0481176
Gen 1200: best_fit = 0.0481176
Gen 1250: best_fit = 0.0481176
Gen 1300: best_fit = 0.0478761
Gen 1350: best_fit = 0.0477876
Gen 1400: best_fit = 0.0477876
Gen 1450: best_fit = 0.0477876
Gen 1500: best_fit = 0.0474647
Gen 1550: best_fit = 0.0472135
Gen 1600: best_fit = 0.0469678
Gen 1650: best_fit = 0.0468177
Gen 1700: best_fit = 0.0468177
Gen 1750: best_fit = 0.0468177
Gen 1800: best_fit = 0.0468177
Gen 1850: best_fit = 0.0467349
Gen 1900: best_fit = 0.0465459
Gen 1950: best_fit = 0.0465459
Gen 2000: best_fit = 0.0464316
Gen 2050: best_fit = 0.0464196
Gen 2100: best_fit = 0.0464196
Gen 2150: best_fit = 0.0464196
Gen 2200: best_fit = 0.0463654
Gen 2250: best_fit = 0.0463654
Gen 2300: best_fit = 0.0458776
Gen 2350: best_fit = 0.0456777
Gen 2400: best_fit = 0.0456777
Gen 2450: best_fit = 0.0456777
Gen 2500: best_fit = 0.0456777
Gen 2550: best_fit = 0.0456777
Gen 2600: best_fit = 0.0456777
Gen 2650: best_fit = 0.0456777
Gen 2700: best_fit = 0.0456777
Gen 2750: best_fit = 0.0455848
Gen 2800: best_fit = 0.0455848
Gen 2850: best_fit = 0.0455848
Gen 2900: best_fit = 0.0455848
Gen 2950: best_fit = 0.0455848
Gen 3000: best_fit = 0.0455848
Gen 3050: best_fit = 0.0455848
Gen 3100: best_fit = 0.0454292
Gen 3150: best_fit = 0.0451111
Gen 3200: best_fit = 0.0451111
Gen 3250: best_fit = 0.0451111
Gen 3300: best_fit = 0.0451111
Gen 3350: best_fit = 0.0451111
Gen 3400: best_fit = 0.0451111
Gen 3450: best_fit = 0.0451111
Gen 3500: best_fit = 0.0451111
Gen 3550: best_fit = 0.0451111
Gen 3600: best_fit = 0.0451111
Gen 3650: best_fit = 0.0451111
Gen 3700: best_fit = 0.0451111
Gen 3750: best_fit = 0.0451111
Gen 3800: best_fit = 0.0451111
Gen 3850: best_fit = 0.0447614
Gen 3900: best_fit = 0.0447614
Gen 3950: best_fit = 0.0447614
Gen 4000: best_fit = 0.0447614
Gen 4050: best_fit = 0.0447614
Gen 4100: best_fit = 0.0447614
Gen 4150: best_fit = 0.0447614
Gen 4200: best_fit = 0.0447614
Gen 4250: best_fit = 0.0447614
Gen 4300: best_fit = 0.0447614
Gen 4350: best_fit = 0.0446609
Gen 4400: best_fit = 0.0445433
Gen 4450: best_fit = 0.044285
Gen 4500: best_fit = 0.0442371
Gen 4550: best_fit = 0.0442371
Gen 4600: best_fit = 0.0442371
Gen 4650: best_fit = 0.043891
Gen 4700: best_fit = 0.0437836
Gen 4750: best_fit = 0.0437836
Gen 4800: best_fit = 0.0437836
Gen 4850: best_fit = 0.0437836
Gen 4900: best_fit = 0.0437836
Gen 4950: best_fit = 0.0436211
Gen 5000: best_fit = 0.0435349
Gen 5050: best_fit = 0.0435349
Gen 5100: best_fit = 0.0435349
Gen 5150: best_fit = 0.0435349
Gen 5200: best_fit = 0.0435349
Gen 5250: best_fit = 0.0435349
Gen 5300: best_fit = 0.0435349
Gen 5350: best_fit = 0.0435349
Gen 5400: best_fit = 0.0435349
Gen 5450: best_fit = 0.0434814
Gen 5500: best_fit = 0.0434814
Gen 5550: best_fit = 0.0434814
Gen 5600: best_fit = 0.0432635
Gen 5650: best_fit = 0.0432635
Gen 5700: best_fit = 0.0432635
Gen 5750: best_fit = 0.0430948
Gen 5800: best_fit = 0.04306
Gen 5850: best_fit = 0.042822
Gen 5900: best_fit = 0.0426972
Gen 5950: best_fit = 0.0426972
Gen 6000: best_fit = 0.0426972
Gen 6050: best_fit = 0.0426972
Gen 6100: best_fit = 0.0426972
Gen 6150: best_fit = 0.0426972
Gen 6200: best_fit = 0.0426972
Gen 6250: best_fit = 0.0426972
Gen 6300: best_fit = 0.0426972
Gen 6350: best_fit = 0.0426972
Gen 6400: best_fit = 0.0426972
Gen 6450: best_fit = 0.0426972
Gen 6500: best_fit = 0.0426972
Gen 6550: best_fit = 0.0426972
Gen 6600: best_fit = 0.0426972
Gen 6650: best_fit = 0.0426972
Gen 6700: best_fit = 0.0426972
Gen 6750: best_fit = 0.0426972
Gen 6800: best_fit = 0.042671
Gen 6850: best_fit = 0.042656
