gen,stable_true_gate15 mean,stable_true_gate15 var,stable_false mean,stable_false var
50,0.3790931,7.578122900000046e-07,0.3808456,1.21949903999999e-06
100,0.3720408,1.0811355600000012e-06,0.3746407,1.5997626099999973e-06
150,0.3662324,6.473916400000139e-07,0.3697759,4.167362289999993e-06
200,0.36261329999999997,5.324316099999934e-07,0.3663548,5.391241959999979e-06
250,0.3604811,8.054466900000105e-07,0.3640164,9.28317544e-06
300,0.3590311,7.993192900000049e-07,0.3624867,1.1503664009999991e-05
350,0.35797310000000004,5.076078899999986e-07,0.3615004,1.1705695839999958e-05
400,0.3569559,6.323494900000035e-07,0.36088749999999997,1.0687343650000003e-05
450,0.3561105,7.834638499999995e-07,0.36055669999999995,9.978057010000028e-06
500,0.3552281,6.858166899999904e-07,0.3602954,8.852078040000026e-06
550,0.3543784,6.176646400000001e-07,0.359936,8.653527800000033e-06
600,0.35377200000000003,6.916287999999968e-07,0.35958060000000003,8.13764624000004e-06
650,0.353145,6.216430000000102e-07,0.3591353,7.353720209999956e-06
700,0.35246900000000003,6.113990000000077e-07,0.3588515,7.295056450000017e-06
750,0.3520114,4.804270399999938e-07,0.3585572,6.672908359999981e-06
800,0.3516376,5.569380400000003e-07,0.3581977,6.3388864100000144e-06
850,0.3511149,9.262774900000228e-07,0.3577791,7.2681832900000266e-06
900,0.35073889999999996,1.0266842900000066e-06,0.3573848,6.907923960000031e-06
950,0.35031219999999996,9.960919599999938e-07,0.3570294,6.66680463999998e-06
1000,0.3498833,1.2407640100000033e-06,0.3567802,6.9854105599999986e-06
1050,0.3496464,1.2639290399999866e-06,0.356529,7.829589399999983e-06
1100,0.3493215,1.1387444499999732e-06,0.3562921,8.983866090000021e-06
1150,0.34910929999999996,8.921698099999989e-07,0.35605929999999997,9.905461210000032e-06
1200,0.3488294,8.587440400000075e-07,0.35591629999999996,9.715011609999972e-06
1250,0.3485598,6.846549600000035e-07,0.35573869999999996,9.808111210000012e-06
1300,0.34834740000000003,5.869806400000052e-07,0.35539129999999997,1.0619644809999987e-05
1350,0.3481675,6.319600499999995e-07,0.3548686,9.820482639999947e-06
1400,0.3479285,5.412292499999972e-07,0.35445190000000004,9.389276289999977e-06
1450,0.34771,5.736908000000093e-07,0.3542967,9.848554809999998e-06
1500,0.3474897,5.655096099999984e-07,0.3539742,9.642079759999986e-06
1550,0.3473199,6.016878900000136e-07,0.3537863,9.583249009999987e-06
1600,0.34721989999999997,5.233778900000042e-07,0.35362499999999997,1.0044705999999995e-05
1650,0.3470545,5.660684499999939e-07,0.3533288,1.0762746760000017e-05
1700,0.346983,5.738261999999973e-07,0.35318170000000004,1.0837366609999992e-05
1750,0.3468339,5.270116900000075e-07,0.3528936,1.0035911640000009e-05
1800,0.34665840000000003,4.574410399999973e-07,0.3525955,1.021824265000004e-05
1850,0.34650919999999996,5.453343599999932e-07,0.3521442,9.631182560000042e-06
1900,0.3463379,4.741632900000061e-07,0.3516826,8.550284240000053e-06
1950,0.3462152,4.3478655999999736e-07,0.3513761,8.136043890000053e-06
2000,0.346107,5.022586000000044e-07,0.35098409999999997,7.313092090000041e-06
2050,0.3459355,5.198022500000034e-07,0.3508187,6.961072810000041e-06
