gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
50,0.02,0.96,0.02,0,0.0725,0.9025,0.02,0.005,0.275,0.675,0.0275,0.0225,0.0308333,0.411667,0.225,0.00666667,0.300833,0.00666667,0.00916667,0.00916667
100,0,1,0,0,0.4775,0.5,0.0075,0.015,0.695,0.2775,0.0225,0.005,0.159167,0.565,0.0925,0,0.166667,0.0025,0.0075,0.00666667
150,0,1,0,0,0.72,0.2675,0.01,0.0025,0.3825,0.5675,0.0375,0.0125,0.24,0.460833,0.189167,0,0.0891667,0.00333333,0.0125,0.005
200,0,1,0,0,0.5675,0.41,0.02,0.0025,0.205,0.6925,0.0975,0.005,0.189167,0.401667,0.230833,0,0.136667,0.00666667,0.0325,0.0025
250,0,1,0,0,0.6225,0.375,0.0025,0,0.2975,0.6625,0.04,0,0.2075,0.4325,0.220833,0,0.125,0.000833333,0.0133333,0
300,0.0525,0.9275,0,0.02,0.655,0.3025,0.04,0.0025,0.52,0.425,0.035,0.02,0.235833,0.4825,0.141667,0,0.100833,0.0133333,0.0116667,0.0141667
350,0.865,0.135,0,0,0.6875,0.29,0.0225,0,0.5775,0.3075,0.0925,0.0225,0.5175,0.2375,0.1025,0,0.0966667,0.0075,0.0308333,0.0075
400,0.845,0.145,0.01,0,0.3525,0.6075,0.0375,0.0025,0.395,0.4675,0.135,0.0025,0.399167,0.18,0.155833,0.00333333,0.2025,0.0125,0.045,0.00166667
450,0.515,0.4825,0.0025,0,0.4725,0.45,0.0725,0.005,0.4375,0.4225,0.135,0.005,0.329167,0.306667,0.140833,0.000833333,0.15,0.0241667,0.045,0.00333333
500,0.4375,0.555,0.005,0.0025,0.38,0.605,0.015,0,0.64,0.305,0.04,0.015,0.2725,0.398333,0.101667,0.00166667,0.201667,0.005,0.0133333,0.00583333
550,0.51,0.485,0.005,0,0.17,0.8275,0.0025,0,0.365,0.4425,0.1525,0.04,0.226667,0.283333,0.1475,0.00166667,0.275833,0.000833333,0.0508333,0.0133333
600,0.5175,0.4775,0.005,0,0.2175,0.7325,0.05,0,0.35,0.575,0.075,0,0.245,0.275833,0.191667,0.00166667,0.244167,0.0166667,0.025,0
650,0.47,0.5225,0.0025,0.005,0.3875,0.55,0.0625,0,0.6925,0.27,0.03,0.0075,0.285833,0.405,0.09,0.000833333,0.183333,0.0208333,0.01,0.00416667
700,0.325,0.6675,0.005,0.0025,0.2725,0.7025,0.025,0,0.4425,0.3925,0.135,0.03,0.199167,0.37,0.130833,0.00166667,0.234167,0.00833333,0.045,0.0108333
750,0.405,0.5875,0.005,0.0025,0.4,0.5525,0.0425,0.005,0.4025,0.3675,0.2075,0.0225,0.268333,0.33,0.1225,0.00166667,0.184167,0.0141667,0.0691667,0.01
800,0.46,0.5325,0.0075,0,0.215,0.69,0.09,0.005,0.2675,0.5525,0.1525,0.0275,0.225,0.266667,0.184167,0.0025,0.23,0.03,0.0508333,0.0108333
850,0.5975,0.3875,0.0125,0.0025,0.06,0.7525,0.1875,0,0.355,0.545,0.1,0,0.219167,0.2475,0.181667,0.00416667,0.250833,0.0625,0.0333333,0.000833333
900,0.5,0.5,0,0,0.045,0.795,0.155,0.005,0.4325,0.5425,0.025,0,0.181667,0.310833,0.180833,0,0.265,0.0516667,0.00833333,0.00166667
950,0.51,0.48,0.01,0,0.02,0.83,0.15,0,0.3925,0.57,0.035,0.0025,0.176667,0.290833,0.19,0.00333333,0.276667,0.05,0.0116667,0.000833333
1000,0.4675,0.53,0.0025,0,0.0075,0.8825,0.105,0.005,0.495,0.45,0.0525,0.0025,0.158333,0.341667,0.15,0.000833333,0.294167,0.035,0.0175,0.0025
1050,0.3825,0.6125,0.005,0,0,0.88,0.1175,0.0025,0.425,0.4975,0.0775,0,0.1275,0.345833,0.165833,0.00166667,0.293333,0.0391667,0.0258333,0.000833333
1100,0.415,0.5675,0.0075,0.01,0.0025,0.895,0.095,0.0075,0.585,0.305,0.08,0.03,0.139167,0.384167,0.101667,0.0025,0.298333,0.0316667,0.0266667,0.0158333
1150,0.52,0.4725,0.0025,0.005,0.0075,0.8975,0.09,0.005,0.345,0.405,0.2,0.05,0.175833,0.2725,0.135,0.000833333,0.299167,0.03,0.0666667,0.02
1200,0.5875,0.405,0.0025,0.005,0.0125,0.8675,0.105,0.015,0.4375,0.32,0.2025,0.04,0.2,0.280833,0.106667,0.000833333,0.289167,0.035,0.0675,0.02
1250,0.585,0.4075,0.0025,0.005,0.01,0.82,0.1625,0.0075,0.4225,0.305,0.2575,0.015,0.198333,0.276667,0.101667,0.000833333,0.273333,0.0541667,0.0858333,0.00916667
1300,0.5,0.4875,0.005,0.0075,0.0075,0.77,0.215,0.0075,0.565,0.1875,0.1175,0.13,0.169167,0.350833,0.0625,0.00166667,0.256667,0.0716667,0.0391667,0.0483333
1350,0.5025,0.4875,0.0025,0.0075,0.0125,0.7125,0.2725,0.0025,0.395,0.225,0.21,0.17,0.171667,0.294167,0.075,0.000833333,0.2375,0.0908333,0.07,0.06
1400,0.2975,0.695,0.005,0.0025,0.0075,0.6375,0.345,0.01,0.4325,0.2725,0.2375,0.0575,0.101667,0.375833,0.0908333,0.00166667,0.2125,0.115,0.0791667,0.0233333
1450,0.355,0.64,0.0025,0.0025,0,0.62,0.38,0,0.635,0.135,0.14,0.09,0.118333,0.425,0.045,0.000833333,0.206667,0.126667,0.0466667,0.0308333
1500,0.32,0.6675,0.01,0.0025,0.005,0.5525,0.4425,0,0.3875,0.28,0.1825,0.15,0.108333,0.351667,0.0933333,0.00333333,0.184167,0.1475,0.0608333,0.0508333
1550,0.33,0.665,0.005,0,0.0075,0.555,0.435,0.0025,0.4775,0.245,0.085,0.1925,0.1125,0.380833,0.0816667,0.00166667,0.185,0.145,0.0283333,0.065
1600,0.3825,0.6025,0.0075,0.0075,0.0075,0.595,0.3875,0.01,0.25,0.235,0.285,0.23,0.13,0.284167,0.0783333,0.0025,0.198333,0.129167,0.095,0.0825
1650,0.42,0.57,0.0025,0.0075,0.0025,0.6125,0.38,0.005,0.305,0.2425,0.2975,0.155,0.140833,0.291667,0.0808333,0.000833333,0.204167,0.126667,0.0991667,0.0558333
1700,0.5775,0.405,0.0125,0.005,0.01,0.6675,0.3225,0,0.295,0.25,0.33,0.125,0.195833,0.233333,0.0833333,0.00416667,0.2225,0.1075,0.11,0.0433333
1750,0.5475,0.445,0.0075,0,0.005,0.665,0.3175,0.0125,0.245,0.1725,0.335,0.2475,0.184167,0.23,0.0575,0.0025,0.221667,0.105833,0.111667,0.0866667
1800,0.3975,0.585,0.0125,0.005,0.01,0.6525,0.3325,0.005,0.2825,0.2475,0.205,0.265,0.135833,0.289167,0.0825,0.00416667,0.2175,0.110833,0.0683333,0.0916667
1850,0.45,0.54,0.005,0.005,0.005,0.675,0.315,0.005,0.125,0.2875,0.2275,0.36,0.151667,0.221667,0.0958333,0.00166667,0.225,0.105,0.0758333,0.123333
1900,0.5525,0.4375,0.0075,0.0025,0.0075,0.57,0.4175,0.005,0.2175,0.23,0.2325,0.32,0.186667,0.218333,0.0766667,0.0025,0.19,0.139167,0.0775,0.109167
1950,0.5475,0.445,0.0025,0.005,0.0075,0.52,0.47,0.0025,0.1125,0.1875,0.345,0.355,0.185,0.185833,0.0625,0.000833333,0.173333,0.156667,0.115,0.120833
2000,0.5025,0.495,0.0025,0,0.0075,0.585,0.405,0.0025,0.12,0.31,0.27,0.3,0.17,0.205,0.103333,0.000833333,0.195,0.135,0.09,0.100833
2050,0.495,0.4975,0.0025,0.005,0.0075,0.6775,0.3125,0.0025,0.18,0.24,0.2875,0.2925,0.1675,0.225833,0.08,0.000833333,0.225833,0.104167,0.0958333,0.1
2100,0.4525,0.54,0.0025,0.005,0,0.7,0.295,0.005,0.1375,0.2125,0.325,0.325,0.150833,0.225833,0.0708333,0.000833333,0.233333,0.0983333,0.108333,0.111667
2150,0.46,0.535,0.005,0,0.01,0.7575,0.2275,0.005,0.1075,0.3175,0.265,0.31,0.156667,0.214167,0.105833,0.00166667,0.2525,0.0758333,0.0883333,0.105
2200,0.37,0.6075,0.02,0.0025,0.0075,0.7925,0.1975,0.0025,0.18,0.29,0.2425,0.2875,0.125833,0.2625,0.0966667,0.00666667,0.264167,0.0658333,0.0808333,0.0975
2250,0.3625,0.6275,0.0025,0.0075,0,0.7925,0.2,0.0075,0.1325,0.3,0.2925,0.275,0.120833,0.253333,0.1,0.000833333,0.264167,0.0666667,0.0975,0.0966667
2300,0.405,0.5775,0.0075,0.01,0.0025,0.7775,0.2175,0.0025,0.1275,0.29,0.245,0.3375,0.135833,0.235,0.0966667,0.0025,0.259167,0.0725,0.0816667,0.116667
2350,0.51,0.4775,0.0075,0.005,0.0075,0.735,0.255,0.0025,0.1325,0.2875,0.2725,0.3075,0.1725,0.203333,0.0958333,0.0025,0.245,0.085,0.0908333,0.105
2400,0.5,0.4875,0.0075,0.005,0.0075,0.665,0.3275,0,0.005,0.225,0.3675,0.4025,0.169167,0.164167,0.075,0.0025,0.221667,0.109167,0.1225,0.135833
2450,0.525,0.4725,0.0025,0,0.0075,0.5975,0.3925,0.0025,0.0175,0.215,0.39,0.3775,0.1775,0.163333,0.0716667,0.000833333,0.199167,0.130833,0.13,0.126667
2500,0.68,0.315,0,0.005,0.0075,0.5125,0.475,0.005,0.1275,0.2375,0.2425,0.3925,0.229167,0.1475,0.0791667,0,0.170833,0.158333,0.0808333,0.134167
2550,0.48,0.515,0,0.005,0.01,0.46,0.5275,0.0025,0.13,0.23,0.2875,0.3525,0.163333,0.215,0.0766667,0,0.153333,0.175833,0.0958333,0.12
2600,0.4675,0.5275,0.005,0,0.0025,0.4425,0.54,0.015,0.13,0.215,0.305,0.35,0.156667,0.219167,0.0716667,0.00166667,0.1475,0.18,0.101667,0.121667
2650,0.485,0.505,0.0075,0.0025,0.005,0.4375,0.5575,0,0.1025,0.3175,0.31,0.27,0.163333,0.2025,0.105833,0.0025,0.145833,0.185833,0.103333,0.0908333
2700,0.575,0.4225,0.0025,0,0.0025,0.4625,0.5325,0.0025,0.1,0.35,0.3,0.25,0.1925,0.174167,0.116667,0.000833333,0.154167,0.1775,0.1,0.0841667
2750,0.5475,0.4475,0.0025,0.0025,0.005,0.335,0.6575,0.0025,0.11,0.3525,0.29,0.2475,0.184167,0.185833,0.1175,0.000833333,0.111667,0.219167,0.0966667,0.0841667
2800,0.49,0.4925,0.01,0.0075,0.0075,0.3825,0.61,0,0.1325,0.3775,0.2475,0.2425,0.165833,0.208333,0.125833,0.00333333,0.1275,0.203333,0.0825,0.0833333
2850,0.415,0.58,0.005,0,0,0.38,0.6125,0.0075,0.135,0.3475,0.225,0.2925,0.138333,0.238333,0.115833,0.00166667,0.126667,0.204167,0.075,0.1
2900,0.36,0.6275,0.01,0.0025,0.0025,0.38,0.61,0.0075,0.13,0.315,0.1825,0.3725,0.120833,0.2525,0.105,0.00333333,0.126667,0.203333,0.0608333,0.1275
2950,0.3225,0.6575,0.0175,0.0025,0.005,0.3725,0.6225,0,0.0725,0.27,0.2425,0.415,0.109167,0.243333,0.09,0.00583333,0.124167,0.2075,0.0808333,0.139167
3000,0.325,0.6625,0.005,0.0075,0.01,0.355,0.6275,0.0075,0.0075,0.21,0.3275,0.455,0.111667,0.223333,0.07,0.00166667,0.118333,0.209167,0.109167,0.156667
3050,0.3275,0.6625,0.0025,0.0075,0,0.37,0.625,0.005,0.01,0.205,0.325,0.46,0.109167,0.224167,0.0683333,0.000833333,0.123333,0.208333,0.108333,0.1575
3100,0.315,0.6675,0.0125,0.005,0.005,0.3625,0.6225,0.01,0.005,0.2,0.335,0.46,0.106667,0.224167,0.0666667,0.00416667,0.120833,0.2075,0.111667,0.158333
