gen,full_mean,full_var,full_ci95,nocc_mean,nocc_var,nocc_ci95
50,0.3790931,7.578122900000046e-07,0.000539556456106682,0.3868378,4.2205835999999533e-07,0.0004026635563067487
100,0.3720408,1.0811355600000012e-06,0.0006444602677664468,0.38567989999999996,1.867072899999965e-07,0.0002678161170026902
150,0.3662324,6.473916400000139e-07,0.0004987002831585373,0.3849936,1.0283792399999738e-06,0.0006285397114251333
200,0.3626133,5.324316099999934e-07,0.0004522598006650574,0.38445039999999997,1.7795414399999679e-06,0.0008268183836795041
250,0.3604811,8.054466900000105e-07,0.0005562556969869199,0.3837866,3.5053956399999803e-06,0.001160445082312124
300,0.3590311,7.993192900000049e-07,0.0005541358122756567,0.3829901,4.7899144900000046e-06,0.001356500479350598
350,0.3579731,5.076078899999987e-07,0.000441591040468893,0.3824511,7.451712889999951e-06,0.0016919367670874645
400,0.3569559,6.323494900000035e-07,0.0004928725799620032,0.38159719999999997,8.700788760000041e-06,0.001828249165196477
450,0.3561105,7.834638499999995e-07,0.0005486123154067905,0.3811399,9.644313689999961e-06,0.0019248271473434663
500,0.3552281,6.858166899999904e-07,0.000513286800561242,0.3808375,1.0998854649999988e-05,0.002055558318886622
550,0.3543784,6.176646400000001e-07,0.00048711605198597185,0.3805516,1.256926223999995e-05,0.0021974093342202725
600,0.353772,6.916287999999967e-07,0.0005154571949328078,0.3802083,1.4140306809999956e-05,0.0023306952319275
650,0.353145,6.216430000000102e-07,0.0004886822841888214,0.3798878,1.6246750759999968e-05,0.0024982697556432108
700,0.352469,6.113990000000077e-07,0.000484639082039411,0.3796407,1.796135720999989e-05,0.0026267917667362898
750,0.3520114,4.804270399999938e-07,0.00042960546049415805,0.3794997,1.8689442609999955e-05,0.00267950298993257
800,0.3516376,5.569380400000003e-07,0.0004625508809270609,0.3793629,1.9505591890000005e-05,0.002737383455137844
850,0.3511149,9.262774900000228e-07,0.0005965222213450299,0.3791097,2.1000879609999996e-05,0.0028403693265097755
900,0.3507389,1.0266842900000066e-06,0.0006280215257826778,0.3788748,2.227679615999993e-05,0.0029253810030191916
950,0.3503122,9.960919599999938e-07,0.0006185941216610433,0.3785214,2.4592892840000017e-05,0.003073695774375598
