generation,block,config,intra_diversity,global_diversity,inter_diversity
50,offload,full,0.0159079612605315,0.02468823238787837,0.009065126249084801
50,seq,full,0.002278323830168367,0.003143664047215362,0.0008692950622196664
50,dev,full,0.05883372674865979,0.06897141237719485,0.01143704368086244
100,offload,full,0.0003875824224253301,0.0008621814837354407,0.0004749670803752442
100,seq,full,0.001521068754255314,0.002979281265534203,0.00146265548207933
100,dev,full,0.0005395604941794382,0.0006745734155831444,0.0001351587248262766
150,offload,full,0.0004801793913868463,0.0009928292792776502,0.0005131424441102612
150,seq,full,0.002638339408378836,0.003356189909546461,0.0007216520371235491
150,dev,full,0.00011069490628033,0.0001535339075364341,4.284848674632552e-05
200,offload,full,0.0002305106925050626,0.0004391753521241781,0.0002087608817161129
200,seq,full,0.001798091631980698,0.002382858421999755,0.000586874784775704
200,dev,full,0.0001319532724767255,0.0001562098530260945,2.426298320931983e-05
250,offload,full,0.0002062132383416449,0.000346630933446168,0.0001404756209287411
250,seq,full,0.002066891329063768,0.002652286251868456,0.0005878216272225917
250,dev,full,6.229982016128125e-05,8.506570296820151e-05,2.276871966053586e-05
300,offload,full,0.0001113660916589717,0.0002161912516253162,0.0001048485105796515
300,seq,full,0.00182041471792267,0.002460654988804404,0.0006425769054267432
300,dev,full,5.384816387077801e-05,7.064778407517342e-05,1.680142959274649e-05
350,offload,full,0.0003461438951898404,0.0006877137108192657,0.0003418063626346638
350,seq,full,0.001896497686105923,0.002410488601224141,0.0005159455355088928
350,dev,full,2.637275074816946e-05,4.240096321662638e-05,1.602905791123074e-05
400,offload,full,0.0002299785272569117,0.0005695012965178945,0.0003396789625072614
400,seq,full,0.0027639331809021,0.003551622449730085,0.000792059894863252
400,dev,full,2.049549185282503e-05,3.278941658694234e-05,1.229442868658098e-05
450,offload,full,0.000201795704449006,0.0005050253093220868,0.0003033520042206658
450,seq,full,0.002650083736794503,0.003231718237061566,0.0005847286522449662
450,dev,full,1.52374669539137e-05,2.612595399214133e-05,1.088881886992825e-05
500,offload,full,0.0001705274890655298,0.0005565487868413757,0.000386152960516782
500,seq,full,0.001967114015147036,0.002590514231495495,0.0006258593002737338
500,dev,full,1.404841252341913e-05,2.402496520172684e-05,9.97683299227152e-06
550,offload,full,0.0001462167294189415,0.0003532012864863749,0.000207045093287575
550,seq,full,0.002222905452416748,0.003442789006208365,0.001225321725098621
550,dev,full,2.089567462028215e-05,2.964200641906795e-05,8.746697329650987e-06
600,offload,full,0.0001912761711471758,0.0005016931477066097,0.0003105357429356465
600,seq,full,0.00267525198416051,0.003580574935077267,0.0009101841763645034
600,dev,full,5.384581088174796e-06,6.899084588223768e-06,1.514519810102171e-06
650,offload,full,0.0001814322467393481,0.0003668477846477423,0.0001854828306964342
650,seq,full,0.001320529579048678,0.00216666136115904,0.0008483699500307927
650,dev,full,5.356332114022473e-06,7.807901578129663e-06,2.451595727126501e-06
700,offload,full,0.000157824998929203,0.0003459710223866373,0.0001882054202213668
700,seq,full,0.001520035488951767,0.001892179601100809,0.000373277829631318
700,dev,full,7.378157842911232e-06,1.724771447765407e-05,9.869702273929336e-06
750,offload,full,9.402074861220814e-05,0.000279534412146429,0.0001855485494846807
750,seq,full,0.002903890044820034,0.003849398044085495,0.000951020687552763
750,dev,full,1.630866185573663e-06,3.026857221603621e-06,1.395995589387068e-06
800,offload,full,0.0001057276460323889,0.0002529171425042917,0.0001472206231150328
800,seq,full,0.001155774962775219,0.001723964443971994,0.0005695047851937973
800,dev,full,1.309620698868361e-06,2.689762876429866e-06,1.380145792491643e-06
850,offload,full,7.211313600270578e-05,0.0001808317126236224,0.000108734257539589
850,seq,full,0.001529186193755753,0.00325877762565619,0.00173488872223154
850,dev,full,1.614355184320319e-06,3.383899973662077e-06,1.769550502698143e-06
900,offload,full,0.0001134591974615851,0.0002060194834769163,9.258129224949895e-05
900,seq,full,0.002221809459440234,0.003122780156589137,0.0009049858303127567
900,dev,full,1.767071360197193e-06,4.001279613142866e-06,2.234216148968613e-06
950,offload,full,0.0001333901043229022,0.0002923872977141085,0.0001590396158102999
950,seq,full,0.001225376453528834,0.001732609028788079,0.0005084776487871509
950,dev,full,1.897719051596347e-06,4.0725701924606e-06,2.174859395391661e-06
1000,offload,full,7.133457675317272e-05,0.0001973540529198616,0.0001260374560494771
1000,seq,full,0.002149085260829329,0.002523955645290395,0.00037648654569681
1000,dev,full,8.772595093707737e-07,1.663244498939833e-06,7.859863685959471e-07
1050,offload,full,8.43168593533142e-05,0.0002379224884323449,0.0001536315334538443
1050,seq,full,0.002179546740737983,0.002813355675155371,0.000636579942488651
