generation,block,config,intra_diversity,global_diversity,inter_diversity
50,offload,noHI,0.04025018505623563,0.04025018505623563,0
50,seq,noHI,0.05822437080487589,0.05822437080487589,0
50,dev,noHI,0.06856010026099679,0.06856010026099679,0
100,offload,noHI,5.839692098932644e-05,5.839692098932644e-05,0
100,seq,noHI,0.05277761748443419,0.05277761748443419,0
100,dev,noHI,0.07175889230632619,0.07175889230632619,0
150,offload,noHI,0.0003325344284438865,0.0003325344284438865,0
150,seq,noHI,0.002062268150399627,0.002062268150399627,0
150,dev,noHI,0.07158281463771138,0.07158281463771138,0
200,offload,noHI,0.0005416080892143818,0.0005416080892143818,0
200,seq,noHI,0.003050059541489267,0.003050059541489267,0
200,dev,noHI,0.07102555582939937,0.07102555582939937,0
250,offload,noHI,0.0005900745885105563,0.0005900745885105563,0
250,seq,noHI,0.003283084069951759,0.003283084069951759,0
250,dev,noHI,0.07101369184195511,0.07101369184195511,0
300,offload,noHI,0.0001546373415400688,0.0001546373415400688,0
300,seq,noHI,0.004950666541458318,0.004950666541458318,0
300,dev,noHI,0.0709407997954834,0.0709407997954834,0
350,offload,noHI,0.0004029389116262865,0.0004029389116262865,0
350,seq,noHI,0.004158452617675297,0.004158452617675297,0
350,dev,noHI,0.07128111386674131,0.07128111386674131,0
400,offload,noHI,0.0006440147785911004,0.0006440147785911004,0
400,seq,noHI,0.007636748575355123,0.007636748575355123,0
400,dev,noHI,0.07127568838438257,0.07127568838438257,0
450,offload,noHI,0.0008355242770630702,0.0008355242770630702,0
450,seq,noHI,0.008357988696028752,0.008357988696028752,0
450,dev,noHI,0.07152208228860313,0.07152208228860313,0
500,offload,noHI,0.001088305734809175,0.001088305734809175,0
500,seq,noHI,0.003306389702523211,0.003306389702523211,0
500,dev,noHI,0.07168005341585233,0.07168005341585233,0
550,offload,noHI,0.0003473056295025494,0.0003473056295025494,0
550,seq,noHI,0.0006308553227854995,0.0006308553227854995,0
550,dev,noHI,0.07168031848175212,0.07168031848175212,0
600,offload,noHI,0.0003473056295025494,0.0003473056295025494,0
600,seq,noHI,0.0006308553227854995,0.0006308553227854995,0
600,dev,noHI,0.07199739928659528,0.07199739928659528,0
650,offload,noHI,0.0006312148325172805,0.0006312148325172805,0
650,seq,noHI,0.0007984227661144667,0.0007984227661144667,0
650,dev,noHI,0.07208315972046121,0.07208315972046121,0
700,offload,noHI,0.0006312148325172805,0.0006312148325172805,0
700,seq,noHI,0.0007984227661144667,0.0007984227661144667,0
700,dev,noHI,0.07208519679156962,0.07208519679156962,0
750,offload,noHI,0.0006312148325172805,0.0006312148325172805,0
750,seq,noHI,0.0007984227661144667,0.0007984227661144667,0
750,dev,noHI,0.07224310734407548,0.07224310734407548,0
800,offload,noHI,0.0006312148325172805,0.0006312148325172805,0
800,seq,noHI,0.0007984227661144667,0.0007984227661144667,0
800,dev,noHI,0.07195325736199411,0.07195325736199411,0
850,offload,noHI,0.0006312148325172805,0.0006312148325172805,0
850,seq,noHI,0.0007984227661144667,0.0007984227661144667,0
850,dev,noHI,0.07194936857651472,0.07194936857651472,0
900,offload,noHI,0.0006312148325172805,0.0006312148325172805,0
900,seq,noHI,0.0007984227661144667,0.0007984227661144667,0
900,dev,noHI,0.07165076550251909,0.07165076550251909,0
950,offload,noHI,0.0006312148325172805,0.0006312148325172805,0
950,seq,noHI,0.0007984227661144667,0.0007984227661144667,0
950,dev,noHI,0.07166649854895335,0.07166649854895335,0
1000,offload,noHI,0.0006312148325172805,0.0006312148325172805,0
1000,seq,noHI,0.0007984227661144667,0.0007984227661144667,0
1000,dev,noHI,0.07179517795636572,0.07179517795636572,0
1050,offload,noHI,0.0006312148325172805,0.0006312148325172805,0
1050,seq,noHI,0.0007984227661144667,0.0007984227661144667,0
1050,dev,noHI,0.07174191602111563,0.07174191602111563,0
1100,offload,noHI,0.0006312148325172805,0.0006312148325172805,0
1100,seq,noHI,0.0007984227661144667,0.0007984227661144667,0
1100,dev,noHI,0.07175557552222868,0.07175557552222868,0
1150,offload,noHI,0.0006312148325172805,0.0006312148325172805,0
1150,seq,noHI,0.0007984227661144667,0.0007984227661144667,0
1150,dev,noHI,0.07175755034419615,0.07175755034419615,0
1200,offload,noHI,0.0006312148325172805,0.0006312148325172805,0
1200,seq,noHI,0.0007984227661144667,0.0007984227661144667,0
1200,dev,noHI,0.07176700071788904,0.07176700071788904,0
1250,offload,noHI,0.0006312148325172805,0.0006312148325172805,0
1250,seq,noHI,0.0007984227661144667,0.0007984227661144667,0
1250,dev,noHI,0.07187373094650923,0.07187373094650923,0
1300,offload,noHI,0.0006312148325172805,0.0006312148325172805,0
1300,seq,noHI,0.0007984227661144667,0.0007984227661144667,0
1300,dev,noHI,0.07157998853267461,0.07157998853267461,0
1350,offload,noHI,0.0006312148325172805,0.0006312148325172805,0
1350,seq,noHI,0.0007984227661144667,0.0007984227661144667,0
1350,dev,noHI,0.07137775318839713,0.07137775318839713,0
1400,offload,noHI,0.0006312148325172805,0.0006312148325172805,0
1400,seq,noHI,0.0008260703640008432,0.0008260703640008432,0
1400,dev,noHI,0.07138352599113662,0.07138352599113662,0
1450,offload,noHI,0.0007061223638078888,0.0007061223638078888,0
1450,seq,noHI,0.001220043837333912,0.001220043837333912,0
1450,dev,noHI,0.0713842235104153,0.0713842235104153,0
1500,offload,noHI,0.001074949765931389,0.001074949765931389,0
1500,seq,noHI,0.001562070096579608,0.001562070096579608,0
1500,dev,noHI,0.07138298421511104,0.07138298421511104,0
1550,offload,noHI,0.001074949765931389,0.001074949765931389,0
1550,seq,noHI,0.001562070096579608,0.001562070096579608,0
1550,dev,noHI,0.07139256407616093,0.07139256407616093,0
1600,offload,noHI,0.001074949765931389,0.001074949765931389,0
1600,seq,noHI,0.001562070096579608,0.001562070096579608,0
1600,dev,noHI,0.07139125971151636,0.07139125971151636,0
1650,offload,noHI,0.001074949765931389,0.001074949765931389,0
1650,seq,noHI,0.001562070096579608,0.001562070096579608,0
1650,dev,noHI,0.07139115567295821,0.07139115567295821,0
