generation,block,config,intra_diversity,global_diversity,inter_diversity
50,offload,noMig,0.01198992907311501,0.06029031574816579,0.04945045499381919
50,seq,noMig,0.0170191726156015,0.06197425735237422,0.04648844061791287
50,dev,noMig,0.02490955125438826,0.09362188972989448,0.07213795523270633
100,offload,noMig,0.005962130249446567,0.05899240054513884,0.05365115038618783
100,seq,noMig,0.003065364349254189,0.05689628816373629,0.05415347931214728
100,dev,noMig,0.02228867714648442,0.09334057436246809,0.07420539780023094
150,offload,noMig,0.00435096556788726,0.05952029407574844,0.0556390871162783
150,seq,noMig,0.001581315668212633,0.05618228192126821,0.05476931559553123
150,dev,noMig,0.0195983581530646,0.09228123462671697,0.0755059029222713
200,offload,noMig,0.001270586390950029,0.05885591852236994,0.05772771125349962
200,seq,noMig,0.001512698838730982,0.0564154149685611,0.05506460928283968
200,dev,noMig,0.0180831393964022,0.09190724400340454,0.07646238627914818
250,offload,noMig,0.0008731403915661391,0.0584849781154216,0.05770966802950349
250,seq,noMig,0.001817161524681609,0.05648048562046397,0.05485706217246562
250,dev,noMig,0.01768463151496952,0.09191285250059129,0.07682043579769382
300,offload,noMig,0.0005629025942458837,0.05860782635346549,0.05810842550027679
300,seq,noMig,0.001789774636909778,0.05649509693878291,0.05489627547078058
300,dev,noMig,0.01823798475716024,0.09145609739653068,0.07585859832037704
350,offload,noMig,0.0004292978218224802,0.05891899465976722,0.05853847705903222
350,seq,noMig,0.001923513318577264,0.0565121347765865,0.05479345719755867
350,dev,noMig,0.01868548640020937,0.09126978124753157,0.07526879812166692
400,offload,noMig,0.0001271903852266987,0.05906681910632262,0.05895418262454991
400,seq,noMig,0.002631679540442563,0.05666449259799093,0.05431057014659664
400,dev,noMig,0.0217447981951073,0.09162154861567683,0.07290198633183857
450,offload,noMig,7.592055434135826e-05,0.05904959487373262,0.05898236584466859
450,seq,noMig,0.002860548578250726,0.05668776330492326,0.05412810958908246
450,dev,noMig,0.02479469394951919,0.09147614768898002,0.06999364137838208
500,offload,noMig,7.213286728145408e-05,0.05906466315733967,0.05900079070939393
500,seq,noMig,0.003258155602376689,0.05677676960512155,0.05385961666779081
500,dev,noMig,0.02604771724848687,0.09139322540092017,0.06876410530581756
550,offload,noMig,8.696456056983408e-05,0.05908519426049808,0.0590081897396689
550,seq,noMig,0.003323760230175643,0.0567856667444102,0.05380944983296605
550,dev,noMig,0.02658141888678208,0.09133765422263447,0.0682172334931949
600,offload,noMig,9.237425321341053e-05,0.05912087037808435,0.05903908107996114
600,seq,noMig,0.004276706161943414,0.05711220058075524,0.05327819144798419
600,dev,noMig,0.02658454145680348,0.09133956916185584,0.06821638595484059
650,offload,noMig,6.105160260041296e-05,0.05918570637240313,0.05913166126987882
650,seq,noMig,0.005476125304014876,0.05734148504529542,0.0524230487919162
650,dev,noMig,0.02658686501400104,0.09133510765185564,0.06820956539896041
700,offload,noMig,6.175542083373209e-05,0.05920264023695884,0.05914797398221539
700,seq,noMig,0.006568535308144927,0.0575772919462485,0.05166798181183428
700,dev,noMig,0.02693870532580371,0.09121468896743955,0.06776022848269782
750,offload,noMig,6.207735851075697e-05,0.0592304872331163,0.05917553921603691
750,seq,noMig,0.007384838855030219,0.0578583663617601,0.05120797289064139
750,dev,noMig,0.02723804619568011,0.09114293730732277,0.06740976311449397
800,offload,noMig,4.792729149237309e-05,0.05919374296688688,0.05915131778825546
800,seq,noMig,0.007570146200169997,0.05797412668439123,0.05115604700582119
800,dev,noMig,0.0272882047749233,0.09128995748626449,0.0675184705114085
850,offload,noMig,4.746376732834399e-05,0.05917903498474476,0.05913701884121823
850,seq,noMig,0.007984635747457744,0.05809955240840277,0.05090420507980466
850,dev,noMig,0.02834879761315724,0.09132923641971649,0.06658315485153325
900,offload,noMig,4.738412869851303e-05,0.0591142458975923,0.05907229448125463
900,seq,noMig,0.007317168974888925,0.0580461848581766,0.05146024560573107
900,dev,noMig,0.0289635988725908,0.09128218476144642,0.06596537177783614
950,offload,noMig,5.627598234808004e-05,0.05917690680766824,0.05912708878801873
950,seq,noMig,0.008458906492743196,0.05830402388544882,0.05067747591532201
950,dev,noMig,0.02885475179858049,0.09119741767941407,0.06597652241502037
1000,offload,noMig,0.000253462738170839,0.05931470563906466,0.0590903089161833
1000,seq,noMig,0.008303754625546998,0.05839560226890845,0.05091269295770474
1000,dev,noMig,0.02885659533133972,0.09119876777240847,0.06597624319229227
1050,offload,noMig,6.010221559458063e-05,0.05932303250651427,0.05926984346533214
1050,seq,noMig,0.008486442718889447,0.05841050500353859,0.05076045179348467
1050,dev,noMig,0.02862767070121552,0.09093775086369615,0.06591232066867214
1100,offload,noMig,5.774834400526958e-05,0.05934754750603246,0.05929644448286169
1100,seq,noMig,0.009308936075601308,0.05859266208330564,0.05019079599656355
1100,dev,noMig,0.0286504798920958,0.09093688770603288,0.06589031651742561
1150,offload,noMig,5.774834400526958e-05,0.05934754750603246,0.05929644448286169
1150,seq,noMig,0.009427529931701333,0.05860256351591971,0.05009184368288543
1150,dev,noMig,0.02899702820501211,0.09085268465950674,0.06548063830382166
1200,offload,noMig,5.774834400526958e-05,0.05934754750603246,0.05929644448286169
1200,seq,noMig,0.01058618695195545,0.05879210070292882,0.04921732936417027
1200,dev,noMig,0.0292685829621604,0.09080280093610393,0.06517623306889501
1250,offload,noMig,5.774834400526958e-05,0.05934754750603246,0.05929644448286169
1250,seq,noMig,0.01072083978835704,0.05881324673380862,0.04911453705030729
1250,dev,noMig,0.02980912795029549,0.09073053425828675,0.06459790963106335
1300,offload,noMig,5.774834400526958e-05,0.05934754750603246,0.05929644448286169
1300,seq,noMig,0.0111127469824931,0.05886623663814849,0.04880630652019867
1300,dev,noMig,0.02966973428573049,0.09052630444042643,0.06451137003552948
1350,offload,noMig,5.774834400526958e-05,0.05934754750603246,0.05929644448286169
1350,seq,noMig,0.01183026418985962,0.05894182330396212,0.04821881899507577
1350,dev,noMig,0.02957043659931478,0.09050982397932068,0.0645862128976224
1400,offload,noMig,4.219516267649002e-05,0.0593228845525382,0.05928554411627474
1400,seq,noMig,0.0128928884896081,0.05908233006275009,0.04737495408639827
1400,dev,noMig,0.03025355382037218,0.09034992392668792,0.06378124893426487
1450,offload,noMig,6.00298984916445e-05,0.05934045394986161,0.05928733088286472
1450,seq,noMig,0.01342526819312401,0.05921959655873067,0.0470194433505236
1450,dev,noMig,0.03078137162341564,0.0902835663004045,0.06321840593205007
1500,offload,noMig,2.361847054236172e-05,0.05935231497185272,0.05933141596448491
1500,seq,noMig,0.0125867126118856,0.05897133720078421,0.04754623473007575
1500,dev,noMig,0.03200746238610534,0.09011329833067935,0.06188915902580528
1550,offload,noMig,2.361847054236172e-05,0.05935231497185272,0.05933141596448491
1550,seq,noMig,0.01311977539563451,0.05902870720894743,0.04710855625840029
1550,dev,noMig,0.03384473348485705,0.08999506051030376,0.06003094383446343
1600,offload,noMig,2.361847054236172e-05,0.05935231497185272,0.05933141596448491
1600,seq,noMig,0.01230964126505489,0.05892437604886309,0.04775580944907327
1600,dev,noMig,0.0361375457128641,0.08980641382397453,0.05764831442490941
1650,offload,noMig,2.361847054236172e-05,0.05935231497185272,0.05933141596448491
1650,seq,noMig,0.01319378246347765,0.05902215021888252,0.04703282379189649
1650,dev,noMig,0.0372020785046216,0.08957112260180281,0.05637577925651483
1700,offload,noMig,2.361847054236172e-05,0.05935231497185272,0.05933141596448491
1700,seq,noMig,0.01285600347268194,0.05902925081209664,0.04735490016265743
1700,dev,noMig,0.03820013890520395,0.08950854690765489,0.05534774384847167
1750,offload,noMig,2.361847054236172e-05,0.05935231497185272,0.05933141596448491
1750,seq,noMig,0.0130165013572131,0.05904384475972153,0.04722033971216869
1750,dev,noMig,0.03882140391280089,0.08940591069492229,0.0546370424842678
1800,offload,noMig,2.733183340101663e-05,0.05933085496904945,0.05930666888269302
1800,seq,noMig,0.01343802753173052,0.05908784441032092,0.04687234277511948
1800,dev,noMig,0.03928380483916493,0.08928154837071453,0.05405513789913585
1850,offload,noMig,2.440336792191446e-05,0.05931985494801755,0.05929825989418945
1850,seq,noMig,0.01430984495562481,0.05912601646355028,0.04609643574222267
1850,dev,noMig,0.03954501891995331,0.08928530529390688,0.05380581319770478
1900,offload,noMig,2.900070561865599e-05,0.05929225951671682,0.05926659444727704
1900,seq,noMig,0.01457167814806168,0.05917499659829143,0.04590146122285613
1900,dev,noMig,0.03999507966693092,0.08928938529777147,0.05337301966157258
1950,offload,noMig,2.210467636806264e-05,0.05933588731932377,0.05931632718005745
1950,seq,noMig,0.01478434804829794,0.05919057785459927,0.04571804519911596
1950,dev,noMig,0.0403786994356399,0.08907528376036071,0.05276821428990799
2000,offload,noMig,2.318477972272684e-05,0.05936849416684502,0.05934797963753487
2000,seq,noMig,0.01527455491139591,0.05924212819379435,0.04531077554960582
2000,dev,noMig,0.04115973445306945,0.08909511191125408,0.05202745871366397
2050,offload,noMig,2.203272035553538e-05,0.05949079917541927,0.0594713091328402
2050,seq,noMig,0.01548891769206097,0.05926525654608494,0.04513303242449059
2050,dev,noMig,0.04117748769784329,0.0890462709466196,0.0519572061015872
2100,offload,noMig,2.165822204148373e-05,0.05950688664519836,0.05948772855144465
2100,seq,noMig,0.01571768499252554,0.0593844023369076,0.04504054330515823
2100,dev,noMig,0.0415497412847677,0.08898118749230216,0.05152244908579125
