gen,best_fitness,avg_fitness,diversity,epsilon,stagnation,gate_blocked_count,gate_fallback_count
50,0.3790441853812175,0.3807677737821627,0.01055325245618249,0,0,317,317
100,0.3714261527134667,0.3728130907878522,0.004486592459420629,0,1,609,609
150,0.3669125194170245,0.3675020829818387,0.002847815567882505,0,2,905,905
200,0.3634609174844511,0.3639233436408022,0.002086665941685975,0,0,1197,1197
250,0.3608875337950768,0.3611974631402057,0.002863678268312039,0,0,1480,1480
300,0.3590289789083064,0.3591554355274336,0.001230375629683262,0,5,1803,1803
350,0.3573746608222801,0.3576360839272326,0.001013168450538382,0,5,2044,2044
400,0.3563534768185602,0.3565646917099962,0.0007893988415687715,0,4,2280,2280
450,0.3550872086539474,0.3552563848038972,0.0009460464242159479,0,0,2559,2559
500,0.3545153456118643,0.3546969461671922,0.001224345974563565,0,1,2757,2757
550,0.3535758563284419,0.3537143969582797,0.0009238204367675498,0,0,3021,3021
600,0.3533511958476235,0.3534151900451902,0.00071213677438883,0,8,3124,3124
650,0.3523504355239779,0.3525551829167237,0.001600491738217222,0,4,3374,3374
700,0.351635606721374,0.3516718587535059,0.001332030112103299,0,12,3610,3610
750,0.351227133119886,0.3512986160001465,0.0002622559078609186,0,6,3668,3668
800,0.351227133119886,0.3512271331198862,0.0002259152514365176,0,56,3702,3702
850,0.350818659518398,0.3508899722013242,0.0006440051750879712,0,17,3782,3782
900,0.3505939990375796,0.3506569720511423,0.0003160264521374862,0,12,3822,3822
950,0.3493073071928924,0.3495566462871341,0.0004314582976171026,0,3,4025,4025
1000,0.3490826467120741,0.3490862208560868,0.0003924705125785218,0,18,4190,4190
1050,0.3490213756718509,0.3490229074478566,0.0004079839301848094,0,22,4305,4305
1100,0.3480206153482053,0.3483581166614347,0.0007344520104465259,0,1,4448,4448
1150,0.3480206153482053,0.348020615348205,0.0001906083929545921,0,51,4535,4535
1200,0.3475100233463453,0.347696729821692,0.0002261668010227674,0,2,4597,4597
1250,0.3472853628655269,0.3472853628655271,0.0001343095138260587,0,34,4752,4752
1300,0.3466930761433694,0.346883697157397,0.0002959404231398513,0,4,4780,4780
1350,0.3466522287832206,0.3466522287832206,0.0001480903985694188,0,43,4906,4906
1400,0.3466522287832206,0.3466522287832206,0.0001491530694031878,0,93,4906,4906
1450,0.3465092630226998,0.3465153901267222,0.0002021759964252407,0,6,4987,4987
1500,0.3465092630226998,0.3465092630226998,0.0001402294317827581,0,56,5018,5018
1550,0.3465092630226998,0.3465092630226998,0.0001383085713481571,0,106,5018,5018
1600,0.3462233315016582,0.3462280970270089,0.0001608432264115918,0,37,5074,5074
1650,0.3462029078215838,0.3462029078215836,0.0001463359546698712,0,34,5120,5120
1700,0.3457944342200958,0.3460464964716807,0.0002099101687106568,0,2,5124,5124
1750,0.3457740105400214,0.3457922216547546,0.0001494701693363128,0,0,5194,5194
1800,0.345753586859947,0.3457573312012941,0.0004207613119317623,0,21,5302,5302
1850,0.345753586859947,0.3457535868599471,0.0001547733072818265,0,71,5302,5302
1900,0.345753586859947,0.3457535868599471,0.0001545627827113948,0,121,5302,5302
1950,0.345753586859947,0.3457535868599471,0.0001525497708688108,0,171,5302,5302
2000,0.345549350059203,0.3456038132060681,0.0001589148506016144,0,11,5341,5341
2050,0.345549350059203,0.345549350059203,0.0001408806868851959,0,61,5361,5361
2100,0.345549350059203,0.345549350059203,0.0001422194003651893,0,111,5361,5361
2150,0.3451204527776406,0.3451839363832054,0.0003721668374678327,0,6,5462,5462
2200,0.3451000290975662,0.3451049648202508,0.000315644637117704,0,9,5527,5527
2250,0.3446711318160038,0.3447926527124465,0.000318247555338021,0,9,5608,5608
2300,0.3446711318160038,0.3446711318160036,0.0002598012070274798,0,59,5645,5645
2350,0.3437112188525071,0.3439806412321552,0.0004884546073032124,0,1,5771,5771
2400,0.3436907951724327,0.3436907951724329,0.0002290492149481886,0,40,5874,5874
2450,0.3436907951724327,0.3436907951724329,0.0002338758070291859,0,90,5874,5874
2500,0.3436907951724327,0.3436907951724329,0.0002321582778342641,0,140,5874,5874
2550,0.3436907951724327,0.3436907951724329,0.0002327911255945674,0,190,5874,5874
2600,0.3434865583716887,0.3435580412519492,0.0002961403409896584,0,6,5887,5887
2650,0.3434865583716887,0.3434865583716888,0.0003018977442330001,0,56,5925,5925
2700,0.3432823215709447,0.3432823215709446,0.0002366147198243026,0,43,5984,5984
2750,0.3432618978908703,0.3432618978908705,0.0002452559148097966,0,45,6040,6040
2800,0.3430576610901263,0.3430576610901264,0.0002217920606013173,0,31,6100,6100
2850,0.3430576610901263,0.3430576610901264,0.0002201220647905227,0,81,6100,6100
2900,0.3430576610901263,0.3430576610901264,0.0002214139802900096,0,131,6100,6100
2950,0.3430168137299775,0.3430212388606604,0.0004167954135305475,0,21,6150,6150
3000,0.3426083401284896,0.3426365928859256,0.0004662125523878813,0,19,6243,6243
3050,0.3426083401284896,0.3426083401284893,0.0002097092023533512,0,69,6244,6244
3100,0.3426083401284896,0.3426083401284893,0.0002126756873164189,0,119,6244,6244
3150,0.3423836796476711,0.3424005291837326,0.0003657860065973532,0,31,6293,6293
3200,0.3423836796476711,0.3423836796476713,0.0002131105953095576,0,81,6293,6293
3250,0.3423836796476711,0.3423836796476713,0.0002093016771373968,0,131,6293,6293
3300,0.3423428322875224,0.3423428322875227,0.0002004593818228317,0,42,6345,6345
3350,0.3423428322875224,0.3423428322875227,0.0002010159627538947,0,92,6345,6345
3400,0.3423224086074479,0.3423224086074478,0.0001974722329756634,0,33,6418,6418
3450,0.3423019849273736,0.3423082822287299,0.0002511477121845131,0,8,6454,6454
3500,0.3423019849273736,0.3423019849273738,0.0001886642277587334,0,58,6475,6475
3550,0.3423019849273736,0.3423019849273738,0.0001784830728997565,0,108,6475,6475
3600,0.3423019849273736,0.3423019849273738,0.0001898064878446362,0,158,6475,6475
3650,0.3423019849273736,0.3423019849273738,0.0001914085421445065,0,208,6475,6475
3700,0.3423019849273736,0.3423019849273738,0.0001880805239722865,0,258,6475,6475
3750,0.3423019849273736,0.3423019849273738,0.0001919937962246828,0,308,6475,6475
3800,0.3423019849273736,0.3423019849273738,0.0001946835982518319,0,358,6475,6475
3850,0.3422611375672248,0.3422642011192357,0.0002617929398389265,0,23,6524,6524
3900,0.3422611375672248,0.3422611375672245,0.0001822688437077639,0,73,6524,6524
3950,0.3422611375672248,0.3422611375672245,0.0001789954509285741,0,123,6524,6524
4000,0.3422611375672248,0.3422611375672245,0.0001712149614719407,0,173,6524,6524
4050,0.3422611375672248,0.3422611375672245,0.0001861676354708866,0,223,6524,6524
4100,0.3422611375672248,0.3422611375672245,0.0001817596230182636,0,273,6524,6524
4150,0.3422611375672248,0.3422611375672245,0.0001846653603659299,0,323,6524,6524
4200,0.3422611375672248,0.3422611375672245,0.0001811481751900698,0,373,6524,6524
4250,0.3422611375672248,0.3422611375672245,0.0001815860072435113,0,423,6524,6524
4300,0.3422611375672248,0.3422611375672245,0.0001816000170840609,0,473,6524,6524
4350,0.3422611375672248,0.3422611375672245,0.0001832617072980238,0,523,6524,6524
4400,0.3422611375672248,0.3422611375672245,0.0001824970415508295,0,573,6524,6524
4450,0.3422611375672248,0.3422611375672245,0.0001771027148035807,0,623,6524,6524
4500,0.3420569007664808,0.3420569007664809,0.0001609708951665799,0,35,6587,6587
4550,0.3420569007664808,0.3420569007664809,0.0001621659785554251,0,85,6587,6587
4600,0.3420569007664808,0.3420569007664809,0.0001610831121313954,0,135,6587,6587
4650,0.3420569007664808,0.3420569007664809,0.0001614768405195832,0,185,6587,6587
4700,0.3420569007664808,0.3420569007664809,0.0001650242540375021,0,235,6587,6587
4750,0.3420569007664808,0.3420569007664809,0.0001618865751071057,0,285,6587,6587
4800,0.3420569007664808,0.3420569007664809,0.0001624351726164333,0,335,6587,6587
4850,0.3418526639657368,0.3419496764460903,0.0001820933297460963,0,2,6590,6590
4900,0.3418526639657368,0.3418526639657368,0.000172632102793808,0,52,6642,6642
4950,0.3418526639657368,0.3418526639657368,0.0001700394745102282,0,102,6642,6642
5000,0.3418526639657368,0.3418526639657368,0.000168513154237508,0,152,6642,6642
5050,0.3418526639657368,0.3418526639657368,0.0001710727661089689,0,202,6642,6642
