Command: 'build_codex\Release\CED_Schedule.exe' '--solver' 'CCHIHH' '--stable' '--resample_gate' '15' '--cchihh_fixed_ops' '--data_dir' 'data' '--data_file' 'data_matrix_T200_E100_D300.txt' '--generations' '10000' '--log_every' '50' '--nsubpop' '8' '--seed' '2' '--cnum' '100' '--enum' '100' '--dnum' '300' '--tnum' '200' '--mopt' '5' '--cchihh_op_stats' 'results\operator_ablation\T200\fixedbest\op_freq_fixedbest_T200_run1.csv' '--cchihh_op_stats_every' '50' '--cchihh_global_stats' 'results\operator_ablation\T200\fixedbest\global_stats_fixedbest_T200_run1.csv' '--cchihh_global_stats_every' '50'
=== CED_Schedule Configuration ===
Data directory: "data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 2
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH op mode: bandit
CCHIHH fixed ops: enabled
CCHIHH op stats: results\operator_ablation\T200\fixedbest\op_freq_fixedbest_T200_run1.csv
CCHIHH global stats: results\operator_ablation\T200\fixedbest\global_stats_fixedbest_T200_run1.csv
=================================
[Initial] Loading data from: "data\\data_matrix_T200_E100_D300.txt"
[Normalization] f1_ref (makespan) = 22665.1
[Normalization] f2_ref (energy) = 1882
[Normalization] alpha = 0.5

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=200, M_Jnum=200, M_OPTnum=5, ops=1000
  Nvar=2400, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=400
  Block 1 (seq): start=400, len=1000
  Block 2 (dev): start=1400, len=1000
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.155999
Gen 50: best_fit = 0.0761028
Gen 100: best_fit = 0.0710049
Gen 150: best_fit = 0.0673004
Gen 200: best_fit = 0.0640559
Gen 250: best_fit = 0.0620776
Gen 300: best_fit = 0.0603406
Gen 350: best_fit = 0.0590799
Gen 400: best_fit = 0.0584006
Gen 450: best_fit = 0.0574072
Gen 500: best_fit = 0.0566541
Gen 550: best_fit = 0.0560994
Gen 600: best_fit = 0.0558186
Gen 650: best_fit = 0.0553898
Gen 700: best_fit = 0.0547858
Gen 750: best_fit = 0.0544021
Gen 800: best_fit = 0.0540195
Gen 850: best_fit = 0.0538442
Gen 900: best_fit = 0.0537756
Gen 950: best_fit = 0.053581
Gen 1000: best_fit = 0.0532405
Gen 1050: best_fit = 0.0531603
Gen 1100: best_fit = 0.053039
Gen 1150: best_fit = 0.052907
Gen 1200: best_fit = 0.0528964
Gen 1250: best_fit = 0.0528683
Gen 1300: best_fit = 0.0528396
Gen 1350: best_fit = 0.0528138
Gen 1400: best_fit = 0.0528076
Gen 1450: best_fit = 0.0528023
Gen 1500: best_fit = 0.0527366
Gen 1550: best_fit = 0.052728
Gen 1600: best_fit = 0.0526671
Gen 1650: best_fit = 0.0526361
Gen 1700: best_fit = 0.052627
Gen 1750: best_fit = 0.0525598
Gen 1800: best_fit = 0.0525597
Gen 1850: best_fit = 0.0525403
Gen 1900: best_fit = 0.0525229
Gen 1950: best_fit = 0.0525229
Gen 2000: best_fit = 0.0522422
Gen 2050: best_fit = 0.0521304
Gen 2100: best_fit = 0.0520745
Gen 2150: best_fit = 0.052074
Gen 2200: best_fit = 0.0519839
Gen 2250: best_fit = 0.0519606
Gen 2300: best_fit = 0.0519214
Gen 2350: best_fit = 0.0519214
Gen 2400: best_fit = 0.0518466
Gen 2450: best_fit = 0.0518091
Gen 2500: best_fit = 0.0516012
Gen 2550: best_fit = 0.0514882
Gen 2600: best_fit = 0.0514585
Gen 2650: best_fit = 0.0514421
Gen 2700: best_fit = 0.0513806
Gen 2750: best_fit = 0.0513806
Gen 2800: best_fit = 0.0513756
Gen 2850: best_fit = 0.0513691
Gen 2900: best_fit = 0.0509731
Gen 2950: best_fit = 0.0508397
Gen 3000: best_fit = 0.0508289
Gen 3050: best_fit = 0.0508289
Gen 3100: best_fit = 0.0508114
Gen 3150: best_fit = 0.0508114
Gen 3200: best_fit = 0.0508114
Gen 3250: best_fit = 0.0508114
Gen 3300: best_fit = 0.0507553
Gen 3350: best_fit = 0.0507296
Gen 3400: best_fit = 0.0507296
Gen 3450: best_fit = 0.0507296
Gen 3500: best_fit = 0.0506887
Gen 3550: best_fit = 0.0506308
Gen 3600: best_fit = 0.0505839
Gen 3650: best_fit = 0.0505839
Gen 3700: best_fit = 0.0505554
Gen 3750: best_fit = 0.0504945
Gen 3800: best_fit = 0.0504945
Gen 3850: best_fit = 0.0504945
Gen 3900: best_fit = 0.0504945
Gen 3950: best_fit = 0.0504945
Gen 4000: best_fit = 0.0504945
Gen 4050: best_fit = 0.0504886
Gen 4100: best_fit = 0.0504526
Gen 4150: best_fit = 0.0503762
Gen 4200: best_fit = 0.0503762
Gen 4250: best_fit = 0.0503762
Gen 4300: best_fit = 0.0503762
Gen 4350: best_fit = 0.0503762
Gen 4400: best_fit = 0.0503635
Gen 4450: best_fit = 0.0503635
Gen 4500: best_fit = 0.0503286
Gen 4550: best_fit = 0.0502718
Gen 4600: best_fit = 0.0502568
Gen 4650: best_fit = 0.0502552
Gen 4700: best_fit = 0.0502552
Gen 4750: best_fit = 0.0502552
Gen 4800: best_fit = 0.0502541
Gen 4850: best_fit = 0.0501867
Gen 4900: best_fit = 0.0501867
Gen 4950: best_fit = 0.0501867
Gen 5000: best_fit = 0.0501867
Gen 5050: best_fit = 0.0501759
Gen 5100: best_fit = 0.0501759
Gen 5150: best_fit = 0.0501759
Gen 5200: best_fit = 0.0501759
Gen 5250: best_fit = 0.0501759
Gen 5300: best_fit = 0.0501759
Gen 5350: best_fit = 0.0501184
Gen 5400: best_fit = 0.0500197
Gen 5450: best_fit = 0.0500197
Gen 5500: best_fit = 0.050002
Gen 5550: best_fit = 0.050002
Gen 5600: best_fit = 0.050001
Gen 5650: best_fit = 0.050001
Gen 5700: best_fit = 0.0500009
Gen 5750: best_fit = 0.0500009
Gen 5800: best_fit = 0.0499774
Gen 5850: best_fit = 0.0499774
Gen 5900: best_fit = 0.0499774
Gen 5950: best_fit = 0.0499774
Gen 6000: best_fit = 0.0499774
Gen 6050: best_fit = 0.0499774
Gen 6100: best_fit = 0.0499595
Gen 6150: best_fit = 0.0499481
Gen 6200: best_fit = 0.0499481
Gen 6250: best_fit = 0.0499481
Gen 6300: best_fit = 0.0498321
Gen 6350: best_fit = 0.0498321
Gen 6400: best_fit = 0.0498321
Gen 6450: best_fit = 0.0498321
Gen 6500: best_fit = 0.0498321
Gen 6550: best_fit = 0.0498321
Gen 6600: best_fit = 0.0497745
Gen 6650: best_fit = 0.049761
Gen 6700: best_fit = 0.0496833
Gen 6750: best_fit = 0.0496833
Gen 6800: best_fit = 0.0496833
Gen 6850: best_fit = 0.0496764
Gen 6900: best_fit = 0.0496759
Gen 6950: best_fit = 0.0496759
Gen 7000: best_fit = 0.0496716
Gen 7050: best_fit = 0.0496716
Gen 7100: best_fit = 0.049655
Gen 7150: best_fit = 0.049655
Gen 7200: best_fit = 0.049655
Gen 7250: best_fit = 0.04964
Gen 7300: best_fit = 0.04964
Gen 7350: best_fit = 0.0495839
Gen 7400: best_fit = 0.049574
Gen 7450: best_fit = 0.0495715
Gen 7500: best_fit = 0.0495674
Gen 7550: best_fit = 0.049548
Gen 7600: best_fit = 0.049548
Gen 7650: best_fit = 0.0491464
Gen 7700: best_fit = 0.0491388
Gen 7750: best_fit = 0.0491388
Gen 7800: best_fit = 0.0491388
Gen 7850: best_fit = 0.0491388
Gen 7900: best_fit = 0.0491388
Gen 7950: best_fit = 0.0491388
Gen 8000: best_fit = 0.0491388
Gen 8050: best_fit = 0.0491388
Gen 8100: best_fit = 0.0491307
Gen 8150: best_fit = 0.0491307
Gen 8200: best_fit = 0.0491007
Gen 8250: best_fit = 0.0491007
Gen 8300: best_fit = 0.0490734
Gen 8350: best_fit = 0.0490691
Gen 8400: best_fit = 0.0490691
Gen 8450: best_fit = 0.0490467
Gen 8500: best_fit = 0.0490342
Gen 8550: best_fit = 0.0490342
Gen 8600: best_fit = 0.0490342
Gen 8650: best_fit = 0.0489917
Gen 8700: best_fit = 0.0489795
Gen 8750: best_fit = 0.0489795
Gen 8800: best_fit = 0.0489795
Gen 8850: best_fit = 0.0489795
Gen 8900: best_fit = 0.0489795
Gen 8950: best_fit = 0.0489795
Gen 9000: best_fit = 0.0489505
Gen 9050: best_fit = 0.0489505
Gen 9100: best_fit = 0.0489505
Gen 9150: best_fit = 0.0488857
Gen 9200: best_fit = 0.0488843
Gen 9250: best_fit = 0.0488291
Gen 9300: best_fit = 0.0488291
Gen 9350: best_fit = 0.0488291
Gen 9400: best_fit = 0.0488291
Gen 9450: best_fit = 0.0488291
Gen 9500: best_fit = 0.0488032
Gen 9550: best_fit = 0.0488032
Gen 9600: best_fit = 0.0487994
Gen 9650: best_fit = 0.0487994
Gen 9700: best_fit = 0.0487994
Gen 9750: best_fit = 0.0487965
Gen 9800: best_fit = 0.0487948
Gen 9850: best_fit = 0.048741
Gen 9900: best_fit = 0.0486945
Gen 9950: best_fit = 0.0486941
Gen 10000: best_fit = 0.0486941

=== Final Results (CC-HIHH-UCB) ===
Solver: CCHIHH
Subpopulations per block: 8
Generations = 10000
The best solution = 0.0486941
CCHIHH gate_blocked_total = 0
CCHIHH gate_fallback_total = 0
Time = 61.972 s
