gen,best_fitness,avg_fitness,diversity,epsilon,stagnation,gate_blocked_count,gate_fallback_count
50,0.07547398731551659,0.07705714002627435,0.02691748980429665,0.1225252788368832,15,0,0
100,0.06868191416144186,0.07049479495152032,0.01169757493053704,0.07431533820440915,0,0,0
150,0.06422171186228291,0.06489195030549127,0.0005513511281297723,0.04507453110788775,0,0,0
200,0.06146896603640645,0.06200182162875462,0.0002712395598369718,0.02733908508910477,0,0,0
250,0.05895059702586471,0.05939648956448858,0.0003298275778328276,0.02,2,0,0
300,0.05701365871162783,0.05736191924078985,0.0004375804594589364,0.02,2,0,0
350,0.05568324598440624,0.05581246467229723,0.0005144829881001729,0.02,7,0,0
400,0.05464524190173189,0.05480009160684782,0.0004691517297882474,0.02,0,0,0
450,0.0539439882807152,0.05403850104652267,0.0002259498067763643,0.02,11,0,0
500,0.05300277658036749,0.05311247546469752,0.0003172804401225028,0.02,1,0,0
550,0.05252732478285358,0.05257062615979682,9.378279255147709e-05,0.02,1,0,0
600,0.05178674459824824,0.0519051481042635,0.0002266119014521306,0.02,1,0,0
650,0.05138485844387859,0.05141699755365527,9.856313591035473e-05,0.02,5,0,0
700,0.05074307281269349,0.05077684868621755,5.253549017907678e-05,0.02,3,0,0
750,0.05043429005562371,0.05047424157305114,9.246877646700953e-05,0.02,0,0,0
800,0.05023614042026317,0.05025026793055578,5.775924241673949e-05,0.02,0,0,0
850,0.04992402991773402,0.04993233415256001,5.936087393835162e-05,0.02,5,0,0
900,0.04942215427988101,0.04943640790370257,3.642283990687578e-05,0.02,2,0,0
950,0.04935425065848954,0.04936306196131882,0.0002273741417777031,0.02,1,0,0
1000,0.04896568805697425,0.04897250119689961,3.490167909279258e-05,0.02,10,0,0
1050,0.04883261788625654,0.04884368977806289,4.049427987514873e-05,0.02,10,0,0
1100,0.0486117068130319,0.04861935743382173,1.234038847383748e-05,0.02,4,0,0
1150,0.0483416443002256,0.04835665765819294,2.451743451741891e-05,0.02,2,0,0
1200,0.04816442951256908,0.04823121891267505,1.112522473035052e-05,0.02,2,0,0
1250,0.04798342050357837,0.04802555938824524,9.468374439006653e-06,0.02,1,0,0
1300,0.04766581374828828,0.04770474426827651,3.833673162577519e-05,0.02,2,0,0
1350,0.0475533905518061,0.04755420148673813,4.669012771867001e-06,0.02,12,0,0
1400,0.04754485568751818,0.04754683241997543,9.725055493162649e-06,0.02,0,0,0
1450,0.04754483132664733,0.04754483132664733,7.317739395728148e-06,0.02,41,0,0
1500,0.04748432478226106,0.04750500105417368,8.944680908429793e-06,0.02,3,0,0
1550,0.04743715762544811,0.04745583195687625,1.477658597559138e-05,0.02,3,0,0
1600,0.04742963563292094,0.04743217199622529,1.241779981783365e-05,0.02,1,0,0
1650,0.04741487939132017,0.04741739061007599,8.579132411472166e-06,0.02,3,0,0
1700,0.0473519100961238,0.04736240497865651,1.115017501732348e-05,0.02,12,0,0
1750,0.0473519100961238,0.04735191009612377,9.732744376484184e-06,0.02,62,0,0
1800,0.04722717539049032,0.04722717539049028,2.048236066344903e-06,0.02,42,0,0
1850,0.04722717539049032,0.04722717539049028,2.047411954894726e-06,0.02,92,0,0
1900,0.04722717539049032,0.04722717539049028,2.037434802189397e-06,0.02,142,0,0
1950,0.04710414991639715,0.04710995303680596,1.066046356648291e-05,0.02,2,0,0
2000,0.04707736922223228,0.04707877991546564,2.09959841723607e-05,0.02,15,0,0
2050,0.04701937509671661,0.04702906056509498,2.973625209473668e-05,0.02,10,0,0
2100,0.04701937509671661,0.04701937509671657,2.726981630642027e-05,0.02,60,0,0
