Command: 'build_codex\Release\CED_Schedule.exe' '--solver' 'CCHIHH' '--stable' '--resample_gate' '15' '--data_dir' 'data' '--data_file' 'data_matrix_T200_E100_D300.txt' '--generations' '10000' '--log_every' '50' '--nsubpop' '8' '--seed' '6' '--cnum' '100' '--enum' '100' '--dnum' '300' '--tnum' '200' '--mopt' '5' '--cchihh_op_stats' 'results\operator_ablation\T200\full\op_freq_full_T200_run5.csv' '--cchihh_op_stats_every' '50' '--cchihh_global_stats' 'results\operator_ablation\T200\full\global_stats_full_T200_run5.csv' '--cchihh_global_stats_every' '50' '--cchihh_weight_log_offload' 'results\operator_ablation\T200\full\op_weights_offload_T200_run5.csv' '--cchihh_weight_log_seq' 'results\operator_ablation\T200\full\op_weights_seq_T200_run5.csv' '--cchihh_weight_log_dev' 'results\operator_ablation\T200\full\op_weights_dev_T200_run5.csv' '--cchihh_weight_log_every' '50' '--cchihh_reward_log' 'results\operator_ablation\T200\full\op_rewards_T200_run5.csv' '--op_mode' 'bandit'
=== CED_Schedule Configuration ===
Data directory: "data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 6
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH op mode: bandit
CCHIHH fixed ops: disabled
CCHIHH op stats: results\operator_ablation\T200\full\op_freq_full_T200_run5.csv
CCHIHH weight logs: results\operator_ablation\T200\full\op_weights_offload_T200_run5.csv | results\operator_ablation\T200\full\op_weights_seq_T200_run5.csv | results\operator_ablation\T200\full\op_weights_dev_T200_run5.csv
CCHIHH reward log: results\operator_ablation\T200\full\op_rewards_T200_run5.csv
CCHIHH global stats: results\operator_ablation\T200\full\global_stats_full_T200_run5.csv
=================================
[Initial] Loading data from: "data\\data_matrix_T200_E100_D300.txt"
[Normalization] f1_ref (makespan) = 22665.1
[Normalization] f2_ref (energy) = 1877.05
[Normalization] alpha = 0.5

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=200, M_Jnum=200, M_OPTnum=5, ops=1000
  Nvar=2400, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=400
  Block 1 (seq): start=400, len=1000
  Block 2 (dev): start=1400, len=1000
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.101961
Gen 50: best_fit = 0.0742091
Gen 100: best_fit = 0.0666579
Gen 150: best_fit = 0.0615139
Gen 200: best_fit = 0.059177
Gen 250: best_fit = 0.0562907
Gen 300: best_fit = 0.0546384
Gen 350: best_fit = 0.0534242
Gen 400: best_fit = 0.051968
Gen 450: best_fit = 0.0510313
Gen 500: best_fit = 0.050315
Gen 550: best_fit = 0.049399
Gen 600: best_fit = 0.048581
Gen 650: best_fit = 0.048002
Gen 700: best_fit = 0.0476603
Gen 750: best_fit = 0.0467481
Gen 800: best_fit = 0.0464181
Gen 850: best_fit = 0.0461471
Gen 900: best_fit = 0.0459765
Gen 950: best_fit = 0.0457041
Gen 1000: best_fit = 0.0454944
Gen 1050: best_fit = 0.0451204
Gen 1100: best_fit = 0.0449158
Gen 1150: best_fit = 0.0447294
Gen 1200: best_fit = 0.0446001
Gen 1250: best_fit = 0.0444888
Gen 1300: best_fit = 0.0442377
Gen 1350: best_fit = 0.0439978
Gen 1400: best_fit = 0.0438468
Gen 1450: best_fit = 0.0437326
Gen 1500: best_fit = 0.0435605
Gen 1550: best_fit = 0.0434458
Gen 1600: best_fit = 0.0433459
Gen 1650: best_fit = 0.0433022
Gen 1700: best_fit = 0.0431975
Gen 1750: best_fit = 0.043096
Gen 1800: best_fit = 0.0429985
Gen 1850: best_fit = 0.0428633
Gen 1900: best_fit = 0.0427339
Gen 1950: best_fit = 0.0426555
Gen 2000: best_fit = 0.0425856
Gen 2050: best_fit = 0.0424715
Gen 2100: best_fit = 0.0423968
Gen 2150: best_fit = 0.0423351
