gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
50,0.245,0.4825,0.255,0.0175,0.2475,0.4925,0.26,0,0.2775,0.4925,0.23,0,0.164167,0.253333,0.164167,0.085,0.164167,0.0866667,0.0766667,0.00583333
100,0.255,0.51,0.2275,0.0075,0.2775,0.4975,0.225,0,0.2475,0.4575,0.2775,0.0175,0.1775,0.2525,0.1525,0.0758333,0.165833,0.075,0.0925,0.00833333
150,0.245,0.5125,0.2425,0,0.2275,0.5075,0.2475,0.0175,0.235,0.4525,0.295,0.0175,0.1575,0.249167,0.150833,0.0808333,0.169167,0.0825,0.0983333,0.0116667
200,0.2275,0.5275,0.245,0,0.2325,0.525,0.2325,0.01,0.2775,0.4625,0.22,0.04,0.153333,0.268333,0.154167,0.0816667,0.175,0.0775,0.0733333,0.0166667
250,0.22,0.5175,0.2625,0,0.2825,0.4725,0.245,0,0.2325,0.4875,0.2625,0.0175,0.1675,0.25,0.1625,0.0875,0.1575,0.0816667,0.0875,0.00583333
300,0.24,0.5175,0.2425,0,0.275,0.465,0.2475,0.0125,0.2525,0.475,0.25,0.0225,0.171667,0.256667,0.158333,0.0808333,0.155,0.0825,0.0833333,0.0116667
350,0.265,0.4975,0.2375,0,0.235,0.51,0.25,0.005,0.2525,0.52,0.2275,0,0.166667,0.25,0.173333,0.0791667,0.17,0.0833333,0.0758333,0.00166667
400,0.27,0.505,0.225,0,0.28,0.47,0.235,0.015,0.2475,0.5125,0.2275,0.0125,0.183333,0.250833,0.170833,0.075,0.156667,0.0783333,0.0758333,0.00916667
450,0.245,0.475,0.275,0.005,0.225,0.5275,0.2375,0.01,0.27,0.4175,0.2675,0.045,0.156667,0.248333,0.139167,0.0916667,0.175833,0.0791667,0.0891667,0.02
500,0.225,0.5475,0.2275,0,0.2525,0.51,0.225,0.0125,0.2675,0.47,0.26,0.0025,0.159167,0.271667,0.156667,0.0758333,0.17,0.075,0.0866667,0.005
550,0.2525,0.495,0.2525,0,0.275,0.46,0.2475,0.0175,0.2375,0.51,0.2525,0,0.175833,0.244167,0.17,0.0841667,0.153333,0.0825,0.0841667,0.00583333
600,0.265,0.475,0.26,0,0.2325,0.5325,0.235,0,0.2475,0.5225,0.2225,0.0075,0.165833,0.240833,0.174167,0.0866667,0.1775,0.0783333,0.0741667,0.0025
650,0.285,0.4675,0.2475,0,0.21,0.4975,0.28,0.0125,0.26,0.505,0.235,0,0.165,0.2425,0.168333,0.0825,0.165833,0.0933333,0.0783333,0.00416667
