Command: 'build_codex\Release\CED_Schedule.exe' '--solver' 'CCHIHH' '--stable' '--resample_gate' '15' '--data_dir' 'data' '--data_file' 'data_matrix_T200_E100_D300.txt' '--generations' '10000' '--log_every' '50' '--nsubpop' '8' '--seed' '1' '--cnum' '100' '--enum' '100' '--dnum' '300' '--tnum' '200' '--mopt' '5' '--cchihh_op_stats' 'results\operator_ablation\T200\roundrobin\op_freq_roundrobin_T200_run0.csv' '--cchihh_op_stats_every' '50' '--cchihh_global_stats' 'results\operator_ablation\T200\roundrobin\global_stats_roundrobin_T200_run0.csv' '--cchihh_global_stats_every' '50' '--op_mode' 'roundrobin'
=== CED_Schedule Configuration ===
Data directory: "data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 1
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH op mode: roundrobin
CCHIHH fixed ops: disabled
CCHIHH op stats: results\operator_ablation\T200\roundrobin\op_freq_roundrobin_T200_run0.csv
CCHIHH global stats: results\operator_ablation\T200\roundrobin\global_stats_roundrobin_T200_run0.csv
=================================
[Initial] Loading data from: "data\\data_matrix_T200_E100_D300.txt"
[Normalization] f1_ref (makespan) = 22665.1
[Normalization] f2_ref (energy) = 1874.7
[Normalization] alpha = 0.5

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=200, M_Jnum=200, M_OPTnum=5, ops=1000
  Nvar=2400, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=400
  Block 1 (seq): start=400, len=1000
  Block 2 (dev): start=1400, len=1000
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.111917
Gen 50: best_fit = 0.0733784
Gen 100: best_fit = 0.066962
Gen 150: best_fit = 0.0625622
Gen 200: best_fit = 0.0600688
Gen 250: best_fit = 0.0577612
Gen 300: best_fit = 0.0558798
Gen 350: best_fit = 0.0543989
Gen 400: best_fit = 0.0533633
Gen 450: best_fit = 0.0524209
Gen 500: best_fit = 0.0517249
Gen 550: best_fit = 0.0512283
Gen 600: best_fit = 0.0509098
Gen 650: best_fit = 0.0506585
Gen 700: best_fit = 0.0501496
Gen 750: best_fit = 0.0497956
Gen 800: best_fit = 0.0494469
Gen 850: best_fit = 0.0490716
Gen 900: best_fit = 0.0488125
Gen 950: best_fit = 0.0485275
Gen 1000: best_fit = 0.0482986
Gen 1050: best_fit = 0.0480796
Gen 1100: best_fit = 0.0477522
Gen 1150: best_fit = 0.0475313
Gen 1200: best_fit = 0.0472726
Gen 1250: best_fit = 0.0471505
Gen 1300: best_fit = 0.0469051
Gen 1350: best_fit = 0.046739
