gen,best_fitness,avg_fitness,diversity,epsilon,stagnation,gate_blocked_count,gate_fallback_count
50,0.05309827403588366,0.05420989016470396,0.02053251421886089,0.1225252788368832,1,946,946
100,0.04939679945011331,0.05037670740390962,0.001283017368429922,0.07431533820440915,0,1344,1344
150,0.04718158736342948,0.04756222460905924,0.0006034798894585777,0.04507453110788775,1,1598,1598
200,0.04475327899812728,0.04524225773115607,0.0005392960180265522,0.02733908508910477,0,1762,1762
250,0.0432684064714426,0.043493005816997,0.0007242372031583212,0.02,0,1919,1919
300,0.04220048234753917,0.04230283982924823,0.001182007957616286,0.02,2,2074,2074
350,0.04141897384450458,0.04152849207496261,0.0007987276361807842,0.02,1,2226,2226
400,0.04031096761243926,0.04040109115881948,0.0005800086633064963,0.02,1,2333,2333
450,0.03954746491489891,0.03962900391862131,0.0008364305693134964,0.02,1,2437,2437
500,0.03870312125914571,0.03882594624288646,0.0005509291391105207,0.02,1,2540,2540
550,0.03809528099067074,0.03816517143913111,0.0008002766084573469,0.02,0,2645,2645
600,0.03738848863831751,0.03747166845522808,0.00115450037626092,0.02,3,2751,2751
650,0.03685252340157688,0.03691945145641213,0.0006160706616303015,0.02,1,2842,2842
700,0.0363919859561775,0.03643168631668114,0.0004475188425411085,0.02,0,2904,2904
750,0.0359913946646905,0.03602865747223932,0.0006127447868228274,0.02,0,2972,2972
800,0.03559898318631068,0.03562904334717725,0.0005360399371007801,0.02,0,2985,2985
850,0.0352624550409282,0.03531355944139305,0.00052947343639047,0.02,0,3006,3006
900,0.03495319328522793,0.0349739060063928,0.0003756134888794434,0.02,1,3028,3028
950,0.03456969048689113,0.03462383624683166,0.000664192369555539,0.02,0,3049,3049
1000,0.03431121522715382,0.03433890240354651,0.0004231317271144906,0.02,0,3075,3075
1050,0.03407367742199034,0.03412676313561164,0.0002683280370735832,0.02,0,3097,3097
1100,0.03391695274423937,0.03393596458205081,0.0002146586178058018,0.02,1,3121,3121
1150,0.03364248205107184,0.03368447107265982,0.0003558824450445411,0.02,0,3148,3148
1200,0.03339764066095779,0.03343925966114387,0.0002056447550486002,0.02,0,3169,3169
1250,0.03320816173856219,0.03323124958472963,0.0003077516167827585,0.02,0,3183,3183
1300,0.03287752419929674,0.03290883750609826,0.0002201359611090195,0.02,0,3198,3198
1350,0.03269806507058189,0.03272435369159046,0.0001504026227285108,0.02,0,3214,3214
1400,0.03255625566555662,0.03256800161617737,0.0001641285732475257,0.02,0,3222,3222
1450,0.03239497982426398,0.03241369448877957,0.0002209317428996153,0.02,2,3241,3241
1500,0.03222758638271832,0.03226392608187815,0.0003422858090452409,0.02,2,3256,3256
1550,0.03212837290961885,0.03214567150322192,0.0003313762354776735,0.02,2,3271,3271
1600,0.03198924692275613,0.03199894225236544,0.0001455610958181171,0.02,1,3283,3283
1650,0.03179983350056308,0.03181140930506839,0.0002694979478041201,0.02,0,3307,3307
1700,0.03167307899520258,0.03170222614075083,0.0003212654338673331,0.02,2,3326,3326
1750,0.03146532513336178,0.03148699388224984,0.0001654159258293948,0.02,0,3346,3346
1800,0.03131286583496462,0.03134313251227903,0.0002919421108318775,0.02,0,3363,3363
1850,0.03122788220414199,0.03123187661494091,0.0001775476678387949,0.02,0,3380,3380
1900,0.03104500906562428,0.03107599188088962,0.0001311938358217115,0.02,1,3396,3396
1950,0.03088881083371783,0.03094878799301554,0.0004312576377330192,0.02,0,3406,3406
2000,0.03078731663575662,0.03079296753795475,0.0001293077363279809,0.02,2,3436,3436
2050,0.03069732462420828,0.03070724974036305,0.0002679103693046298,0.02,0,3452,3452
2100,0.03051965619118716,0.03053846901493937,0.0001857893916728613,0.02,2,3474,3474
2150,0.03040237428421107,0.03042446508240451,0.0002838051756162993,0.02,2,3500,3500
2200,0.03028311532210074,0.03030832238584984,0.0003265675070276865,0.02,0,3520,3520
2250,0.03013527443566439,0.03015763890388674,0.0002226905741386239,0.02,0,3535,3535
2300,0.03001277299583155,0.03002064356839741,0.0002465365033849079,0.02,1,3552,3552
2350,0.02988327122126441,0.02988992299457119,0.0004811590407438568,0.02,1,3577,3577
2400,0.02971826930985975,0.02974321761618773,0.0001444432110471668,0.02,3,3592,3592
2450,0.02956599563612624,0.02961210072986055,0.0002583856606961472,0.02,1,3612,3612
