gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
50,0.085,0.7525,0.1325,0.03,0.0775,0.8925,0.025,0.005,0.185,0.775,0.025,0.015,0.0541667,0.3125,0.258333,0.0441667,0.2975,0.00833333,0.00833333,0.0166667
100,0.3075,0.61,0.0725,0.01,0.2475,0.7525,0,0,0.4125,0.4725,0.075,0.04,0.185,0.340833,0.1575,0.0241667,0.250833,0,0.025,0.0166667
150,0.2775,0.63,0.0925,0,0.2475,0.75,0.0025,0,0.0975,0.7725,0.13,0,0.175,0.2425,0.2575,0.0308333,0.25,0.000833333,0.0433333,0
200,0.3425,0.6075,0.05,0,0.2475,0.7475,0.0025,0.0025,0.1125,0.8375,0.04,0.01,0.196667,0.24,0.279167,0.0166667,0.249167,0.000833333,0.0133333,0.00416667
250,0.41,0.5675,0.0225,0,0.1775,0.82,0.0025,0,0.1925,0.7825,0.025,0,0.195833,0.253333,0.260833,0.0075,0.273333,0.000833333,0.00833333,0
300,0.3225,0.6575,0.02,0,0.215,0.78,0.005,0,0.305,0.6825,0.01,0.0025,0.179167,0.320833,0.2275,0.00666667,0.26,0.00166667,0.00333333,0.000833333
350,0.3225,0.6725,0.005,0,0.215,0.78,0.005,0,0.1675,0.815,0.0175,0,0.179167,0.28,0.271667,0.00166667,0.26,0.00166667,0.00583333,0
400,0.33,0.6575,0.0125,0,0.1775,0.8225,0,0,0.2125,0.7825,0.005,0,0.169167,0.29,0.260833,0.00416667,0.274167,0,0.00166667,0
450,0.3875,0.6,0.0125,0,0.1575,0.8425,0,0,0.2625,0.735,0.0025,0,0.181667,0.2875,0.245,0.00416667,0.280833,0,0.000833333,0
500,0.4175,0.5725,0.01,0,0.1125,0.86,0.0275,0,0.17,0.8275,0.0025,0,0.176667,0.2475,0.275833,0.00333333,0.286667,0.00916667,0.000833333,0
550,0.455,0.5075,0.0325,0.005,0.14,0.83,0.03,0,0.1775,0.815,0.0075,0,0.198333,0.228333,0.271667,0.0108333,0.276667,0.01,0.0025,0.00166667
600,0.4075,0.585,0.0075,0,0.1875,0.7575,0.0525,0.0025,0.165,0.825,0.01,0,0.198333,0.25,0.275,0.0025,0.2525,0.0175,0.00333333,0.000833333
650,0.3925,0.5925,0.015,0,0.33,0.6375,0.03,0.0025,0.1475,0.84,0.0125,0,0.240833,0.246667,0.28,0.005,0.2125,0.01,0.00416667,0.000833333
700,0.4325,0.5225,0.045,0,0.4825,0.5025,0.015,0,0.27,0.725,0.005,0,0.305,0.264167,0.241667,0.015,0.1675,0.005,0.00166667,0
750,0.4875,0.48,0.0325,0,0.3675,0.62,0.01,0.0025,0.235,0.76,0.005,0,0.285,0.238333,0.253333,0.0108333,0.206667,0.00333333,0.00166667,0.000833333
800,0.415,0.57,0.015,0,0.5575,0.39,0.05,0.0025,0.33,0.655,0.015,0,0.324167,0.3,0.218333,0.005,0.13,0.0166667,0.005,0.000833333
850,0.35,0.6075,0.0425,0,0.4,0.44,0.16,0,0.46,0.5,0.04,0,0.25,0.355833,0.166667,0.0141667,0.146667,0.0533333,0.0133333,0
