gen,op_id,w0,w1,w2,w3,w4,w5,w6,norm
50,0,-1.219603313405268e-07,2.11430020211537e-07,-5.160930469145102e-08,1.566400594071678e-05,-7.749207509981596e-06,0.0001291786867507461,0.000258650913196625,0.00028964271361064
50,1,-1.456919204965971e-05,-1.860708724077395e-05,-0.0002780098377763357,4.087134226807975e-05,0.001268768931476262,0.0004699652722706882,0.0009142706598964039,0.0016571213654223
50,2,-8.090232603782767e-08,-3.655828467024044e-07,9.883007891401814e-05,1.349862969735273e-05,0.0002866916964661447,0.0002301473204069293,0.0003784550397312783,0.0005369710166377611
50,3,0,0,0,0,0,0,0,0
100,0,-6.355782909451576e-07,1.221677280811446e-06,-1.894682402009834e-07,1.697940703320833e-05,-4.98133571233689e-05,8.2686098795248e-05,0.0001658526773586835,0.0001926543658614493
100,1,-1.66919431643688e-05,-2.059346254092493e-05,-0.0002788616868097735,3.845310926595133e-05,0.001181829592332714,0.0003291026398782784,0.0006335713131187627,0.001409392612207057
100,2,-1.389430234310315e-06,-1.046655522913207e-06,9.87562708480443e-05,1.280355260297062e-05,0.0002707475271415373,0.0001381606620745144,0.0001944843247735518,0.0003743481034758678
100,3,0,0,0,0,0,0,0,0
150,0,4.306101370855649e-07,1.546917822146412e-06,-2.553787442768289e-07,1.70757929957608e-05,-3.811585490105495e-05,0.0001257541516848597,0.0002519933846952586,0.0002847135706206596
150,1,-2.431892981270121e-05,-2.130488407308325e-05,-0.000279575298895668,3.813260284889839e-05,0.001036029102476824,2.102834967915283e-05,1.780258288197592e-05,0.001074605591001493
150,2,-2.128970007319243e-06,-1.233454026931248e-06,9.870274133734662e-05,1.27613576504623e-05,0.0002582124411939185,0.0001062453959921519,0.0001307207536212792,0.0003239765449888093
150,3,0,0,0,0,0,0,0,0
200,0,3.18029011392917e-08,1.447971925277533e-06,-2.98047267592184e-07,1.709431724534697e-05,-4.873779978944711e-05,0.0001185225576135472,0.0002375654809387889,0.0002704713102597577
200,1,-3.05589281094799e-05,-2.1413905069853e-05,-0.000279919187436463,3.800184301597019e-05,0.0008767754473771329,-0.0001612418244969945,-0.0003462804070667968,0.0009979155908162167
200,2,-2.828534357509906e-06,-1.360401546671244e-06,9.868815370454349e-05,1.274241091594169e-05,0.0002499482142007973,8.594880663695599e-05,9.013661927563529e-05,0.0002964751073791313
200,3,0,0,0,0,0,0,0,0
250,0,1.28988351962862e-06,1.637396681014122e-06,-3.229664611282109e-07,1.711178130108539e-05,-5.93884589501081e-05,0.0001447650810517536,0.0002900161636581044,0.0003299856893342047
250,1,-3.056907283228252e-05,-2.134028111731617e-05,-0.0002799759572645817,3.799809739627423e-05,0.0008440299080316977,-0.000162904085003641,-0.0003495811518672113,0.0009707478952681912
250,2,-3.919165992370383e-06,-1.4037431695399e-06,9.86792780006341e-05,1.272381239221036e-05,0.0002387285209744797,6.04234048142026e-05,3.909863253288238e-05,0.0002684917564980819
250,3,0,0,0,0,0,0,0,0
300,0,1.331802832973395e-07,1.445827569016044e-06,-3.624281437617249e-07,1.709640637818585e-05,-6.469688575612022e-05,0.0001239694507488597,0.0002483504255562914,0.0002855285839264785
300,1,-3.029065692554913e-05,-2.141392664737569e-05,-0.0002800025048687308,3.800035892301909e-05,0.0008359071951729596,-0.0001567585725733384,-0.0003374015169802694,0.0009583190402158481
300,2,-4.209204557787862e-06,-1.417824574012002e-06,9.867253584065083e-05,1.272114311793418e-05,0.0002342773933377807,5.504164589253537e-05,2.833624253540014e-05,0.0002619852035778222
300,3,0,0,0,0,0,0,0,0
350,0,2.52178099284305e-06,1.493423291892934e-06,-3.636222790581885e-07,1.712711719545007e-05,-4.707883673714395e-05,0.0001580006367082719,0.0003164760212455809,0.000357267057184494
350,1,-2.917049481151929e-05,-2.133801894138679e-05,-0.0002800189257432861,3.802600711161703e-05,0.0008329589254606541,-0.0001421981182899035,-0.0003081699157516367,0.000943489469011338
350,2,-4.623340073252525e-06,-1.42224622249362e-06,9.866735696736681e-05,1.271829834691395e-05,0.0002278502710757876,4.861325191796962e-05,1.548499759643732e-05,0.0002538487343742899
350,3,0,0,0,0,0,0,0,0
400,0,-3.716707342282916e-07,1.47523725434647e-06,-4.078339818951248e-07,1.711422010472002e-05,-8.885243366441744e-05,0.0001199980342745835,0.0002405288999551205,0.0002836261839709357
400,1,-3.53793452861473e-05,-2.155448034797367e-05,-0.0002800979722854033,3.795332297493931e-05,0.0007581882321622987,-0.0002257692828311226,-0.0004752332268510229,0.0009660638730756312
400,2,-4.759158074232865e-06,-1.423224398683529e-06,9.866593274566852e-05,1.271802940879162e-05,0.0002259176281386081,4.687837657345492e-05,1.201669922346772e-05,0.0002515991805710913
400,3,0,0,0,0,0,0,0,0
450,0,-2.326434751094447e-06,1.436246012536162e-06,-4.252022255969256e-07,1.711192445631073e-05,-0.0001044643156933873,9.607476164380402e-05,0.0001927139405705829,0.0002399631009660326
450,1,-3.520567685984676e-05,-2.158018547506969e-05,-0.0002800997984557611,3.795662633384931e-05,0.000763941581417176,-0.0002235221936192646,-0.0004707306890742572,0.0009678626137839877
450,2,-5.189611242066762e-06,-1.426298120750438e-06,9.866198161063666e-05,1.271518790139291e-05,0.0002217650876070631,4.192427896754195e-05,2.11339397907169e-06,0.0002467117643978612
450,3,0,0,0,0,0,0,0,0
500,0,-1.801642051067064e-06,1.456989403431518e-06,-4.314272238318257e-07,1.711621513903517e-05,-0.0001010575435296104,0.0001020636833743333,0.0002047077909090511,0.0002506659568217753
500,1,-3.703382151575842e-05,-2.164210859149426e-05,-0.0002801191992408977,3.794069023682395e-05,0.000750630467880754,-0.0002423248099314954,-0.0005082925389056721,0.0009809560971245066
500,2,-5.395519729420474e-06,-1.428396127648532e-06,9.866052626743571e-05,1.271483710508857e-05,0.0002197509565638766,3.972955206665662e-05,-2.274917462242862e-06,0.0002445420494357573
500,3,0,0,0,0,0,0,0,0
550,0,-4.64990592785615e-06,1.341676372434103e-06,-4.490608104624481e-07,1.71082793641944e-05,-0.0001183275312204568,7.497690269322964e-05,0.0001505402544804271,0.000206401611912967
550,1,-3.841751761282648e-05,-2.173566708644725e-05,-0.0002801224918194245,3.793201226039394e-05,0.0007482445455533722,-0.0002555025343155208,-0.0005346505174831346,0.0009964228086999419
550,2,-5.718717773728497e-06,-1.430108191892181e-06,9.865866250286388e-05,1.271446590793873e-05,0.0002164225522454836,3.659643258109156e-05,-8.539126367941316e-06,0.0002412071204376715
550,3,0,0,0,0,0,0,0,0
600,0,-5.351387393329834e-06,1.337710439360275e-06,-4.529393441389794e-07,1.711003271311965e-05,-0.0001200092338385301,6.910491252511642e-05,0.0001388160045529133,0.0001969034622636077
600,1,-4.01078619889024e-05,-2.18616164845236e-05,-0.000280123399815584,3.792813981570531e-05,0.0007473199634353954,-0.0002703597687326652,-0.000564365309816263,0.001015915335549683
600,2,-6.333608146901366e-06,-1.432841715859868e-06,9.865604122431876e-05,1.271419134289198e-05,0.0002117801396481088,3.131947658849452e-05,-1.909055414252275e-05,0.0002369240789360965
600,3,0,0,0,0,0,0,0,0
650,0,-5.416578687653281e-06,1.323409252137121e-06,-4.52599291247113e-07,1.710959695496195e-05,-0.0001174613093691445,6.854916202749979e-05,0.0001376939240800687,0.0001943702586116556
650,1,-4.054525079884764e-05,-2.186829688933615e-05,-0.0002801259635474935,3.792876870070038e-05,0.0007432692960152994,-0.0002736943591455122,-0.0005710318894722888,0.001017578770484717
650,2,-7.209146264524001e-06,-1.439685227911584e-06,9.865318677349682e-05,1.271249852189172e-05,0.0002048772757071029,2.426372033902479e-05,-3.320008368141923e-05,0.0002315464859266109
650,3,0,0,0,0,0,0,0,0
