gen,op_id,w0,w1,w2,w3,w4,w5,w6,norm
50,0,-1.348749311389554e-05,-2.176241361325019e-05,-3.637534859504358e-08,0.0005432463584212683,-5.290743452633665e-05,0.003444494975216548,0.00688905781531049,0.007721543533257367
50,1,-2.290412617862084e-06,-5.09319024966513e-07,0.0001840297685217137,2.898333753300937e-06,0.0004817767471007818,0.0002129047365254071,0.0003472978566830531,0.0006572168010444777
50,2,5.564947760481234e-08,1.327845102738466e-08,4.085247789127319e-05,9.027317827635129e-06,0.0002613354301154269,0.0001409806051950417,0.0002777915007950669,0.0004087667754098304
50,3,0,0,0,0,0,0,0,0
100,0,-3.556745226241904e-05,-2.522539996292812e-05,-2.610322858187378e-06,0.0005299252109527978,-0.001085726387183455,0.001724382373394753,0.00345166986911681,0.004043395868613699
100,1,-1.497628944796846e-06,-3.949696498933818e-07,0.000183972441746242,3.748699872700088e-06,0.0005128486133816922,0.0002645568601594611,0.0004508943194845608,0.000755097365122335
100,2,6.210683960293742e-07,1.023821107429615e-07,4.087464750069844e-05,9.1269056423806e-06,0.0002767342950732412,0.0001746945426258941,0.0003452944862595531,0.0004775801178411463
100,3,0,0,0,0,0,0,0,0
150,0,-3.928222697774163e-05,-2.536444747333453e-05,-2.861921653095255e-06,0.0005297327365909152,-0.001177039416829676,0.001563572610060759,0.00313044915608316,0.003729973783539012
150,1,-3.265523620211439e-06,-4.292520354686249e-07,0.000183779839281146,3.379695299114857e-06,0.000419006117972937,0.0001882644157544398,0.0002984825560719149,0.0005778397294974429
150,2,8.357727544432292e-08,3.42844559032019e-08,4.077606983004927e-05,9.027139219877695e-06,0.0002518273781927613,0.0001515283762792979,0.0002989946904726292,0.0004213310900348665
150,3,0,0,0,0,0,0,0,0
200,0,-4.327662282303579e-05,-2.592726511895888e-05,-2.924237867347123e-06,0.0005292908658307888,-0.001202115652078633,0.001449223416030578,0.002901754040879545,0.003499744208550544
200,1,-3.844142747793357e-06,-5.295681504791281e-07,0.000183649001100071,3.191254354849444e-06,0.0004094050678941555,0.0001771291947255786,0.0002764270137462934,0.0005560138062634291
200,2,5.886213038630116e-07,4.966695316620022e-11,4.076129543612359e-05,9.034466145763762e-06,0.0002649358751956112,0.0001695942948980413,0.0003351327759291097,0.0004615307915933572
200,3,0,0,0,0,0,0,0,0
250,0,-4.344218654820338e-05,-2.591034480234352e-05,-2.929338777203179e-06,0.0005292298012893352,-0.001204996209226084,0.001444734789717464,0.002892798748390791,0.003491448182158631
250,1,-4.609032451680167e-06,-4.460662279765409e-07,0.0001835965218969548,3.02697428313247e-06,0.0003733625168046716,0.0001569492817870451,0.0002361390571975904,0.0005035201961426621
250,2,5.527728124176241e-08,-7.847846392386415e-09,4.074291077512182e-05,8.923213128497856e-06,0.0002548771073840247,0.0001571550703016181,0.0003102725802661585,0.0004332075041860501
250,3,0,0,0,0,0,0,0,0
300,0,-4.373767451041308e-05,-2.588910889448452e-05,-2.931646025180933e-06,0.0005292163559835965,-0.001206888691407403,0.001439455274359451,0.002882246597904437,0.003481180694474207
