#{"t_start": 1772269873.5482786, "env_id": "None"}
r,l,t
-0.010221,32,4.173517
-0.008399,32,7.524897
-10.009751,32,70.851465
-0.010255,32,74.498944
-10.007333,32,137.857262
-10.008075,32,201.30078
-0.00908,32,204.756491
-10.008517,32,268.29057
-0.00869,32,272.108737
-0.010536,32,275.817222
-0.008755,32,279.271643
-0.010077,32,282.853088
-0.008527,32,286.569209
-10.009987,32,350.291263
-0.008559,32,354.036979
-0.008606,32,357.841146
-10.009923,32,421.527232
-0.008492,32,425.136537
-0.010511,32,428.783237
-0.008978,32,432.368365
-0.010612,32,436.02937
-0.011395,32,439.761765
-0.008767,32,443.398447
-0.009329,32,447.024904
-0.008905,32,450.71169
