task_id,type,assigned_tier,server_id,start_time,end_time,job_id,op_index
CE_0,CE,cloud,c0,461.112000,807.857886,,
CE_1,CE,cloud,c7,0.000000,148.573728,,
CE_2,CE,cloud,c63,381.168000,850.642224,,
CE_3,CE,cloud,c46,0.000000,232.966979,,
CE_4,CE,cloud,c41,0.000000,278.735323,,
CE_5,CE,cloud,c2,0.000000,338.171662,,
CE_6,CE,cloud,c0,0.000000,377.527837,,
CE_7,CE,edge,e65,0.000000,744.292361,,
CE_8,CE,cloud,c0,0.000000,536.204000,,
CE_9,CE,cloud,c81,0.000000,291.729593,,
CE_10,CE,edge,e8,0.000000,651.779009,,
CE_11,CE,cloud,c17,0.000000,327.122020,,
CE_12,CE,cloud,c4,397.182000,632.397747,,
CE_13,CE,cloud,c18,0.000000,458.514011,,
CE_14,CE,cloud,c46,0.000000,526.177247,,
CE_15,CE,cloud,c61,0.000000,397.266822,,
CE_16,CE,cloud,c61,0.000000,352.660731,,
CE_17,CE,edge,e68,0.000000,333.529285,,
CE_18,CE,cloud,c16,541.754000,872.079068,,
CE_19,CE,cloud,c15,0.000000,454.100717,,
CE_20,CE,edge,e81,0.000000,443.785670,,
CE_21,CE,edge,e23,0.000000,526.032219,,
CE_22,CE,cloud,c39,541.524000,859.667933,,
CE_23,CE,cloud,c23,0.000000,261.337538,,
CE_24,CE,cloud,c24,0.000000,386.375407,,
CE_25,CE,cloud,c70,0.000000,255.877192,,
CE_26,CE,cloud,c85,0.000000,509.904463,,
CE_27,CE,cloud,c34,0.000000,475.588304,,
CE_28,CE,cloud,c40,644.166000,905.313163,,
CE_29,CE,cloud,c37,622.786000,785.648927,,
CE_30,CE,cloud,c26,0.000000,146.087864,,
CE_31,CE,cloud,c66,0.000000,465.840262,,
CE_32,CE,cloud,c20,0.000000,307.878650,,
CE_33,CE,cloud,c35,0.000000,184.319725,,
CE_34,CE,cloud,c3,0.000000,155.950806,,
CE_35,CE,cloud,c98,0.000000,452.816559,,
CE_36,CE,cloud,c47,0.000000,219.156402,,
CE_37,CE,cloud,c36,0.000000,509.243722,,
CE_38,CE,cloud,c27,0.000000,280.369286,,
CE_39,CE,cloud,c39,0.000000,391.028366,,
CE_40,CE,cloud,c65,0.000000,277.019542,,
CE_41,CE,cloud,c42,0.000000,493.152000,,
CE_42,CE,cloud,c42,0.000000,193.401933,,
CE_43,CE,cloud,c64,0.000000,244.119777,,
CE_44,CE,edge,e89,0.000000,311.560402,,
CE_45,CE,edge,e46,0.000000,270.631966,,
CE_46,CE,cloud,c44,0.000000,363.740671,,
CE_47,CE,cloud,c42,0.000000,538.027646,,
CE_48,CE,cloud,c27,0.000000,139.138836,,
CE_49,CE,cloud,c46,411.746000,903.633024,,
CE_50,CE,cloud,c21,602.260000,854.047569,,
CE_51,CE,cloud,c44,0.000000,493.966000,,
CE_52,CE,edge,e24,649.168000,898.413085,,
CE_53,CE,cloud,c93,0.000000,513.330000,,
CE_54,CE,cloud,c83,0.000000,171.873461,,
CE_55,CE,cloud,c62,325.420000,662.434010,,
CE_56,CE,cloud,c74,394.250000,716.661740,,
CE_57,CE,cloud,c96,685.512000,889.623629,,
CE_58,CE,cloud,c51,0.000000,495.516000,,
CE_59,CE,cloud,c44,0.000000,479.290000,,
CE_60,CE,cloud,c69,0.000000,934.770000,,
CE_61,CE,cloud,c93,0.000000,233.858848,,
CE_62,CE,cloud,c78,496.990000,925.646548,,
CE_63,CE,cloud,c83,0.000000,418.307951,,
CE_64,CE,cloud,c74,0.000000,449.836128,,
CE_65,CE,edge,e28,0.000000,354.468430,,
CE_66,CE,cloud,c89,396.308000,917.563307,,
CE_67,CE,cloud,c16,546.646000,868.054453,,
CE_68,CE,edge,e97,0.000000,282.408822,,
CE_69,CE,cloud,c57,0.000000,510.457137,,
CE_70,CE,edge,e9,440.674000,877.384142,,
CE_71,CE,cloud,c0,0.000000,498.509032,,
CE_72,CE,cloud,c72,515.224000,735.666078,,
CE_73,CE,edge,e80,0.000000,277.969346,,
CE_74,CE,edge,e30,0.000000,577.904570,,
CE_75,CE,cloud,c54,0.000000,358.311893,,
CE_76,CE,cloud,c83,0.000000,408.856738,,
CE_77,CE,cloud,c62,0.000000,395.464614,,
CE_78,CE,cloud,c88,597.942000,880.632814,,
CE_79,CE,cloud,c92,463.562000,907.727561,,
CE_80,CE,cloud,c74,0.000000,345.036488,,
CE_81,CE,cloud,c68,0.000000,194.763977,,
CE_82,CE,cloud,c95,0.000000,372.320743,,
CE_83,CE,cloud,c97,0.000000,279.104438,,
CE_84,CE,cloud,c84,0.000000,357.227550,,
CE_85,CE,cloud,c95,0.000000,200.134634,,
CE_86,CE,cloud,c61,562.046000,800.053369,,
CE_87,CE,cloud,c43,0.000000,243.577406,,
CE_88,CE,cloud,c22,0.000000,487.802000,,
CE_89,CE,cloud,c6,0.000000,146.137672,,
CE_90,CE,cloud,c73,0.000000,704.122000,,
CE_91,CE,cloud,c1,0.000000,298.600004,,
CE_92,CE,cloud,c99,0.000000,490.529940,,
CE_93,CE,cloud,c95,733.296000,919.344398,,
CE_94,CE,edge,e49,0.000000,578.670511,,
CE_95,CE,cloud,c30,0.000000,463.852568,,
CE_96,CE,cloud,c99,518.758000,820.667315,,
CE_97,CE,edge,e0,0.000000,880.799769,,
CE_98,CE,cloud,c98,551.598000,790.801551,,
CE_99,CE,edge,e61,358.996000,925.069830,,
CE_100,CE,cloud,c0,0.000000,259.293796,,
CE_101,CE,cloud,c0,0.000000,250.283678,,
CE_102,CE,cloud,c26,541.298000,705.635821,,
CE_103,CE,cloud,c0,0.000000,451.135701,,
CE_104,CE,edge,e91,0.000000,673.882839,,
CE_105,CE,cloud,c5,0.000000,475.255705,,
CE_106,CE,cloud,c26,0.000000,328.850987,,
CE_107,CE,cloud,c21,371.156000,580.726752,,
CE_108,CE,cloud,c19,436.582000,840.356280,,
CE_109,CE,cloud,c32,425.070000,939.706758,,
CE_110,CE,cloud,c11,0.000000,361.656652,,
CE_111,CE,cloud,c59,665.100000,908.322265,,
CE_112,CE,cloud,c35,0.000000,348.204409,,
CE_113,CE,cloud,c59,397.742000,879.887927,,
CE_114,CE,cloud,c5,462.298000,932.491201,,
CE_115,CE,cloud,c39,0.000000,390.165535,,
CE_116,CE,edge,e11,0.000000,733.897887,,
CE_117,CE,cloud,c6,0.000000,149.149314,,
CE_118,CE,edge,e20,0.000000,322.176699,,
CE_119,CE,cloud,c7,589.518000,730.388371,,
CE_120,CE,cloud,c10,517.410000,835.916532,,
CE_121,CE,cloud,c52,0.000000,335.396652,,
CE_122,CE,cloud,c13,0.000000,913.620000,,
CE_123,CE,edge,e70,0.000000,787.457340,,
CE_124,CE,cloud,c23,546.168000,903.509665,,
CE_125,CE,edge,e38,0.000000,726.982894,,
CE_126,CE,cloud,c34,0.000000,527.121417,,
CE_127,CE,cloud,c23,0.000000,445.531809,,
