gen,blocks mean,blocks var,no_blocks mean,no_blocks var
50,1505.8120000000001,3980.5325760000014,1637.909,2878.5644290000005
100,1399.7450000000001,3143.1185450000025,1589.053,2561.6642809999994
150,1339.1709999999998,2647.500789,1565.9630000000002,3354.2847209999954
200,1273.029,2014.4618289999974,1539.964,3289.907284
250,1239.984,2164.2898040000023,1515.835,3303.4025649999994
300,1208.497,1827.1847809999986,1510.1100000000001,3344.9088799999945
350,1187.261,2042.342248999999,1490.0279999999998,4093.5006159999975
400,1170.941,1993.2321289999993,1485.807,4133.533681
450,1156.093,2244.524720999999,1481.1529999999998,4050.2566809999967
500,1144.6100000000001,2426.835340000002,1478.1889999999999,4142.152748999999
550,1135.165,2774.0609249999984,1476.435,4179.479484999999
600,1125.426,2840.1984839999977,1473.185,4329.953964999996
650,1116.71,2988.717459999997,1471.624,4431.149243999998
700,1111.101,3119.8359289999994,1461.633,5203.267221000001
750,1103.486,3218.6939040000007,1453.69,3701.7178800000015
800,1096.466,2507.9277239999988,1451.228,3754.4656160000004
850,1091.0610000000001,2029.1571090000004,1446.414,3846.031944
900,1084.998,1706.7987159999989,1444.544,3855.3483640000004
950,1081.021,1529.353368999999,1443.202,3903.8437160000044
1000,1076.033,1170.1257410000032,1440.653,3674.4447809999983
1050,1072.724,1120.8127240000003,1437.359,3769.8774289999974
1100,1071.218,1100.1301559999988,1432.587,4279.5914210000055
1150,1066.187,930.7732610000003,1430.363,4316.1143209999955
1200,1060.6380000000001,664.5543360000003,1428.4940000000001,4338.191963999999
1250,1056.472,612.5873559999993,1425.48,4361.888979999995
1300,1052.4360000000001,627.0014640000004,1423.3619999999999,4444.089876000001
1350,1049.08,539.7786999999995,1422.479,4474.939608999999
1400,1047.303,538.418281,1421.657,4517.269720999997
1450,1044.885,417.20890500000104,1419.22,4677.763099999995
1500,1043.71,383.60323999999855,1418.521,4698.835589000004
1550,1041.899,333.6022489999997,1415.658,4721.608855999997
1600,1039.667,286.5158209999981,1414.274,4528.460424000001
1650,1037.792,203.57163599999961,1412.375,4661.931104999999
1700,1034.46,138.64990000000049,1410.898,4743.583235999998
1750,1033.694,134.96736399999963,1409.479,4824.399089000005
1800,1032.1770000000001,133.90926099999953,1408.224,4888.973084000003
1850,1031.467,131.2210210000002,1404.401,5285.149188999996
1900,1030.77,117.75824000000034,1403.446,5353.830383999998
1950,1030.214,114.33400400000009,1402.3780000000002,5244.4974760000005
2000,1029.6299999999999,111.40349999999998,1398.973,5556.386881
2050,1028.3120000000001,84.95537599999987,1397.592,5730.0913759999985
2100,1027.599,78.62480900000043,1395.334,5926.492284000002
2150,1026.038,44.14149599999985,1393.827,6034.891500999999
2200,1025.3600000000001,41.16387999999984,1392.6309999999999,6162.078708999998
2250,1024.609,45.754308999999566,1391.376,6182.724843999998
2300,1024.085,43.760065000000104,1390.294,6255.501704000002
2350,1023.4010000000001,41.15508900000004,1389.158,6328.301656000006
2400,1022.448,33.82377599999964,1388.156,6408.666844
2450,1021.3280000000001,25.456995999999997,1385.9029999999998,6435.573561000006
2500,1020.2819999999999,22.642476000000123,1384.7559999999999,6465.593284000004
2550,1019.568,25.5016560000001,1383.841,6568.630289000003
2600,1019.2539999999999,26.015543999999828,1383.282,6622.001675999997
2650,1018.9119999999999,25.93861599999998,1381.285,6828.412705000001
2700,1018.3460000000001,22.9860840000002,1378.961,7054.231368999999
2750,1017.376,19.28942399999981,1378.106,7140.394343999998
2800,1016.976,22.489263999999928,1377.5639999999999,7185.418683999998
2850,1016.631,22.47900899999984,1376.899,7211.364288999997
2900,1016.3209999999999,22.894249,1376.288,7175.665236000005
2950,1016.108,23.999696000000025,1375.076,7212.766324000001
3000,1015.7,25.115120000000125,1373.627,7391.010421000002
3050,1015.3950000000001,25.078285000000008,1372.813,7422.692681
3100,1015.208,24.887216000000013,1372.423,7452.928421000009
3150,1014.9200000000001,24.500799999999977,1371.8210000000001,7504.0292690000015
3200,1014.6959999999999,24.02558400000017,1371.1960000000001,7556.502264000004
3250,1014.235,25.978205000000127,1370.74,7575.900220000001
3300,1013.751,28.863068999999882,1370.069,7588.357609000003
3350,1013.2950000000001,30.639645000000094,1367.5819999999999,7768.637976000004
3400,1012.402,29.392516000000068,1367.118,7828.963696000003
3450,1011.9540000000001,30.945244000000137,1366.535,7874.755565000001
3500,1011.6690000000001,30.375709000000064,1365.31,7905.7513999999965
3550,1011.414,30.8683839999999,1364.426,7957.040043999999
3600,1011.2030000000001,30.091060999999836,1363.224,8112.372803999997
3650,1010.997,30.248961000000087,1362.632,8094.084056000002
3700,1010.79,29.57856000000016,1362.271,8123.943529000006
3750,1010.5629999999999,29.908680999999945,1360.6860000000001,8146.200623999999
3800,1010.2450000000001,30.664244999999898,1360.359,8160.897249000007
3850,1010.0469999999999,29.970661000000007,1357.703,7858.1795609999945
3900,1009.686,31.96484400000005,1357.353,7884.433200999994
3950,1009.473,31.322060999999756,1357.075,7909.2554249999985
4000,1009.3,31.644240000000043,1354.98,8039.343699999999
4050,1009.122,31.875876000000016,1354.069,8041.068969
4100,1008.924,32.26254400000008,1352.786,8035.576243999999
4150,1008.6299999999999,32.18561999999984,1352.209,8047.8028689999965
4200,1008.269,33.21538900000006,1350.72,8163.136980000003
4250,1007.902,32.405576000000096,1350.3129999999999,8166.017280999998
4300,1007.71,32.90440000000008,1347.424,8328.917884000002
4350,1007.5120000000001,32.386095999999974,1346.898,8352.231416000008
4400,1007.3639999999999,32.556244000000056,1346.482,8371.825375999997
4450,1007.2239999999999,32.50370400000008,1345.9,8446.881039999993
4500,1007.0630000000001,33.03952100000017,1344.413,8507.018860999999
4550,1006.9530000000001,32.885700999999855,1343.2459999999999,8539.280604000003
4600,1006.833,33.053781,1342.6680000000001,8643.070855999997
4650,1006.64,32.906999999999854,1341.9360000000001,8531.424764000005
4700,1006.524,33.24444400000023,1340.435,8580.006864999998
4750,1006.4033999999999,33.420968039999934,1339.6950000000002,8681.804784999997
4800,1006.2446,33.52370344000016,1339.277,8696.936661000007
4850,1006.1119000000001,33.10065648999996,1336.741,8624.619568999993
4900,1005.9187,32.48475481000001,1333.874,8779.584363999998
4950,1005.5791999999999,31.39662235999997,1331.581,8948.723968999995
5000,1005.4404000000001,31.936657439999912,1331.026,8993.032923999996
