gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
50,0.025,0.7925,0.175,0.0075,0.0425,0.925,0.0275,0.005,0.0275,0.8275,0.09,0.055,0.0225,0.273333,0.275833,0.0583333,0.308333,0.00916667,0.03,0.0225
100,0.0075,0.7575,0.2275,0.0075,0.2,0.775,0.015,0.01,0.0525,0.3575,0.4625,0.1275,0.0691667,0.27,0.119167,0.0758333,0.258333,0.005,0.154167,0.0483333
150,0.005,0.7575,0.2375,0,0.1775,0.8175,0.005,0,0.0225,0.255,0.65,0.0725,0.0608333,0.26,0.085,0.0791667,0.2725,0.00166667,0.216667,0.0241667
200,0.0025,0.7525,0.245,0,0.09,0.9025,0.0025,0.005,0.0075,0.2625,0.7225,0.0075,0.0308333,0.253333,0.0875,0.0816667,0.300833,0.000833333,0.240833,0.00416667
250,0,0.75,0.1625,0.0875,0.36,0.6275,0.01,0.0025,0.0125,0.125,0.7375,0.125,0.12,0.254167,0.0416667,0.0541667,0.209167,0.00333333,0.245833,0.0716667
300,0,0.755,0.0375,0.2075,0.155,0.84,0.005,0,0.0025,0.1375,0.7375,0.1225,0.0516667,0.2525,0.0458333,0.0125,0.28,0.00166667,0.245833,0.11
350,0,0.7525,0.03,0.2175,0.005,0.925,0.07,0,0.01,0.13,0.735,0.125,0.00166667,0.254167,0.0433333,0.01,0.308333,0.0233333,0.245,0.114167
400,0.0025,0.75,0.005,0.2425,0.0025,0.95,0.0475,0,0.0075,0.13,0.76,0.1025,0.00166667,0.2525,0.0433333,0.00166667,0.316667,0.0158333,0.253333,0.115
450,0,0.75,0,0.25,0.0025,0.9025,0.095,0,0.01,0.1775,0.8125,0,0.000833333,0.253333,0.0591667,0,0.300833,0.0316667,0.270833,0.0833333
500,0.34,0.3925,0.01,0.2575,0.01,0.9675,0.0225,0,0.0075,0.16,0.8225,0.01,0.116667,0.133333,0.0533333,0.00333333,0.3225,0.0075,0.274167,0.0891667
550,0.745,0.01,0.0025,0.2425,0.005,0.96,0.0325,0.0025,0.105,0.275,0.62,0,0.25,0.0383333,0.0916667,0.000833333,0.32,0.0108333,0.206667,0.0816667
600,0.7425,0.01,0,0.2475,0.005,0.9925,0.0025,0,0.135,0.1675,0.69,0.0075,0.249167,0.0483333,0.0558333,0,0.330833,0.000833333,0.23,0.085
