Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CCHIHH --stable --seed 8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T200_E100_D300.txt --resample_gate 15 --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5 --cchihh_op_stats 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\results\ablation_cchihh_bandit_fixed_T200_gen10000_seed1_10\CCHIHH_cfg1_bandit_on_opstats_seed8.csv' --cchihh_op_stats_every 50
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 8
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
CCHIHH op stats: C:\Users\Hu\Desktop\论文\CED_schedule_Final\results\ablation_cchihh_bandit_fixed_T200_gen10000_seed1_10\CCHIHH_cfg1_bandit_on_opstats_seed8.csv
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=200, M_Jnum=200, M_OPTnum=5, ops=1000
  Nvar=2400, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=400
  Block 1 (seq): start=400, len=1000
  Block 2 (dev): start=1400, len=1000
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 1915.99
Gen 50: best_fit = 1457.55
Gen 100: best_fit = 1365.6
Gen 150: best_fit = 1315.91
Gen 200: best_fit = 1241.13
Gen 250: best_fit = 1231.51
Gen 300: best_fit = 1187.9
Gen 350: best_fit = 1164.07
Gen 400: best_fit = 1159.3
Gen 450: best_fit = 1145.93
Gen 500: best_fit = 1141.48
Gen 550: best_fit = 1132.42
Gen 600: best_fit = 1111.1
Gen 650: best_fit = 1101.49
Gen 700: best_fit = 1095.57
Gen 750: best_fit = 1086.5
Gen 800: best_fit = 1077.7
Gen 850: best_fit = 1073.22
Gen 900: best_fit = 1063.92
Gen 950: best_fit = 1062.74
Gen 1000: best_fit = 1060.92
Gen 1050: best_fit = 1059.61
Gen 1100: best_fit = 1058.49
Gen 1150: best_fit = 1057.53
Gen 1200: best_fit = 1054.93
Gen 1250: best_fit = 1047.45
Gen 1300: best_fit = 1043.56
Gen 1350: best_fit = 1035.26
Gen 1400: best_fit = 1032.73
Gen 1450: best_fit = 1030.87
Gen 1500: best_fit = 1029.04
Gen 1550: best_fit = 1028.39
Gen 1600: best_fit = 1027.67
Gen 1650: best_fit = 1026.89
Gen 1700: best_fit = 1026.13
