Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_鍒嗗潡+HIHH_CLEAN - 鍓湰\build_local\Release\CED_Schedule.exe' --solver CCHIHH --stable --cchihh_no_blocks --cchihh_no_migration --nsubpop 1 --seed 3 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_鍒嗗潡+HIHH_CLEAN - 鍓湰\data' --data_file data_matrix_100.txt
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_分块+HIHH_CLEAN - 副本\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 3
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/100/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH blocks: disabled
CCHIHH migration: disabled
CCHIHH bandit: enabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_分块+HIHH_CLEAN - 副本\\data\\data_matrix_100.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=100, M_Jnum=100, M_OPTnum=5, ops=500
  Nvar=1200, popsize=40, nSubpop=1
  Full-space block: len=1200
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 55.8001
Gen 50: best_fit = 55.7709
Gen 100: best_fit = 55.7579
Gen 150: best_fit = 55.7481
Gen 200: best_fit = 55.7481
Gen 250: best_fit = 55.7481
Gen 300: best_fit = 55.7481
Gen 350: best_fit = 55.7441
Gen 400: best_fit = 55.7333
Gen 450: best_fit = 55.7333
Gen 500: best_fit = 55.7333
Gen 550: best_fit = 55.7333
Gen 600: best_fit = 55.7333
Gen 650: best_fit = 55.7333
Gen 700: best_fit = 55.7302
Gen 750: best_fit = 55.7302
Gen 800: best_fit = 55.7234
Gen 850: best_fit = 55.7204
Gen 900: best_fit = 55.7204
Gen 950: best_fit = 55.7204
Gen 1000: best_fit = 55.7161
Gen 1050: best_fit = 55.7161
Gen 1100: best_fit = 55.7161
Gen 1150: best_fit = 55.7161
Gen 1200: best_fit = 55.7161
Gen 1250: best_fit = 55.7148
Gen 1300: best_fit = 55.7148
