gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
50,0.0225,0.7925,0.1775,0.0075,0.245,0.7125,0.0275,0.015,0.1825,0.7775,0.0225,0.0175,0.0891667,0.325,0.259167,0.0591667,0.2375,0.00916667,0.0075,0.0133333
100,0,0.7625,0.2375,0,0.58,0.38,0.025,0.015,0.625,0.3525,0.0175,0.005,0.193333,0.4625,0.1175,0.0791667,0.126667,0.00833333,0.00583333,0.00666667
150,0.0125,0.675,0.2375,0.075,0.81,0.1025,0.085,0.0025,0.7325,0.1975,0.065,0.005,0.274167,0.469167,0.0658333,0.0791667,0.0341667,0.0283333,0.0216667,0.0275
200,0.005,0.5775,0.1975,0.22,0.815,0.1075,0.07,0.0075,0.7375,0.13,0.1325,0,0.273333,0.438333,0.0433333,0.0658333,0.0358333,0.0233333,0.0441667,0.0758333
250,0.0075,0.62,0.1675,0.205,0.47,0.3225,0.205,0.0025,0.4725,0.205,0.32,0.0025,0.159167,0.364167,0.0683333,0.0558333,0.1075,0.0683333,0.106667,0.07
300,0.0025,0.6925,0.1225,0.1825,0.06,0.6625,0.2775,0,0.245,0.2325,0.5175,0.005,0.0208333,0.3125,0.0775,0.0408333,0.220833,0.0925,0.1725,0.0625
350,0.005,0.74,0.1325,0.1225,0.015,0.685,0.3,0,0.0825,0.24,0.6775,0,0.00666667,0.274167,0.08,0.0441667,0.228333,0.1,0.225833,0.0408333
400,0,0.74,0.235,0.025,0.0125,0.6825,0.3,0.005,0.08,0.215,0.705,0,0.00416667,0.273333,0.0716667,0.0783333,0.2275,0.1,0.235,0.01
450,0.0025,0.7525,0.12,0.125,0.0075,0.5125,0.475,0.005,0.1675,0.2125,0.62,0,0.00333333,0.306667,0.0708333,0.04,0.170833,0.158333,0.206667,0.0433333
500,0.005,0.715,0.26,0.02,0.005,0.505,0.49,0,0.12,0.2375,0.6425,0,0.00333333,0.278333,0.0791667,0.0866667,0.168333,0.163333,0.214167,0.00666667
550,0.0075,0.7475,0.185,0.06,0.0025,0.5025,0.495,0,0.1625,0.2,0.6275,0.01,0.00333333,0.303333,0.0666667,0.0616667,0.1675,0.165,0.209167,0.0233333
600,0.005,0.505,0.2725,0.2175,0.0225,0.705,0.2675,0.005,0.1275,0.22,0.6525,0,0.00916667,0.210833,0.0733333,0.0908333,0.235,0.0891667,0.2175,0.0741667
650,0,0.5575,0.3125,0.13,0.005,0.835,0.1575,0.0025,0.265,0.1775,0.54,0.0175,0.00166667,0.274167,0.0591667,0.104167,0.278333,0.0525,0.18,0.05
700,0.005,0.5925,0.385,0.0175,0.0075,0.74,0.25,0.0025,0.1425,0.2125,0.64,0.005,0.00416667,0.245,0.0708333,0.128333,0.246667,0.0833333,0.213333,0.00833333
750,0.005,0.6975,0.295,0.0025,0.0025,0.745,0.25,0.0025,0.3325,0.1525,0.5,0.015,0.0025,0.343333,0.0508333,0.0983333,0.248333,0.0833333,0.166667,0.00666667
800,0.0075,0.6775,0.31,0.005,0.005,0.7375,0.255,0.0025,0.19,0.2125,0.5975,0,0.00416667,0.289167,0.0708333,0.103333,0.245833,0.085,0.199167,0.0025
850,0.0075,0.5975,0.31,0.085,0.0075,0.735,0.255,0.0025,0.1975,0.1825,0.61,0.01,0.005,0.265,0.0608333,0.103333,0.245,0.085,0.203333,0.0325
