Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CCHIHH --resample_gate 0 --seed 9 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T200_E100_D300.txt --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 9
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
CCHIHH gate: disabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=200, M_Jnum=200, M_OPTnum=5, ops=1000
  Nvar=2400, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=400
  Block 1 (seq): start=400, len=1000
  Block 2 (dev): start=1400, len=1000
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 1965.93
Gen 50: best_fit = 1495.01
Gen 100: best_fit = 1369.31
Gen 150: best_fit = 1317.01
Gen 200: best_fit = 1268.75
Gen 250: best_fit = 1208.04
Gen 300: best_fit = 1190.28
Gen 350: best_fit = 1177.55
Gen 400: best_fit = 1160.07
Gen 450: best_fit = 1147.01
Gen 500: best_fit = 1138.75
Gen 550: best_fit = 1126.21
Gen 600: best_fit = 1104.43
Gen 650: best_fit = 1098.56
Gen 700: best_fit = 1090.94
Gen 750: best_fit = 1088.62
Gen 800: best_fit = 1084.5
Gen 850: best_fit = 1079.21
Gen 900: best_fit = 1077.58
Gen 950: best_fit = 1075.75
Gen 1000: best_fit = 1071.51
Gen 1050: best_fit = 1070.35
Gen 1100: best_fit = 1067.88
Gen 1150: best_fit = 1056.02
Gen 1200: best_fit = 1052.72
Gen 1250: best_fit = 1050.54
Gen 1300: best_fit = 1048.95
