gen,migration_on mean,migration_on var,migration_off mean,migration_off var
50,2000.1950000000002,1025.1686850000017,2065.045,795.8832250000008
100,1877.6599999999999,877.3297799999997,2004.1680000000001,1399.0434360000002
150,1800.357,664.5560410000004,1963.9739999999997,1339.9255239999989
200,1750.616,728.5405239999985,1929.551,1292.2058889999987
250,1704.941,782.1005889999994,1911.596,1234.9654639999967
300,1668.86,964.276299999999,1892.2419999999997,1318.5807759999993
350,1634.4540000000002,916.8672640000004,1872.7419999999997,1608.9900560000003
400,1607.249,1167.5550490000007,1853.6349999999998,1878.9372250000026
450,1584.9119999999998,1060.3761559999996,1843.4810000000002,2002.655168999999
500,1566.018,1256.296415999998,1834.566,1617.263724
550,1548.566,1324.195384,1826.2150000000001,1566.4522250000007
600,1533.002,1306.8766760000008,1819.667,1865.3767610000002
650,1520.133,1451.4036409999985,1815.798,2037.9945560000033
700,1507.3899999999999,1648.1124600000028,1811.1799999999998,1841.6315000000025
750,1495.202,1986.8508560000005,1807.8439999999998,2071.4953440000036
800,1485.3709999999999,2058.6929490000025,1802.1860000000001,2494.9153840000017
850,1475.797,2159.5306009999986,1797.464,2499.2126840000033
900,1468.224,2292.515864000003,1791.7830000000001,2920.154381000004
950,1460.581,2473.4560290000004,1788.7540000000001,3201.8092440000037
1000,1456.054,2586.468863999997,1783.1709999999998,3797.013349000003
1050,1449.875,2695.138565000001,1781.243,4110.079041000004
1100,1444.864,2741.1204839999973,1776.4869999999999,4226.504600999999
1150,1440.45,2803.1997400000005,1773.523,3897.9393210000026
1200,1434.977,3003.4914609999987,1768.8259999999998,3279.6138240000023
1250,1428.645,3219.1102649999975,1761.741,3093.344069000001
1300,1422.8229999999999,3255.6099810000005,1758.6119999999999,2896.110455999998
1350,1417.133,3185.0780609999993,1755.8049999999998,3226.150625000001
1400,1411.4789999999998,3537.4777290000006,1752.6650000000002,3000.4548249999993
1450,1407.102,3716.7254760000033,1744.9419999999998,2945.821895999996
1500,1403.739,3848.1903690000013,1742.3220000000001,2716.0282759999964
1550,1399.993,3932.198461000006,1739.717,2543.4163209999997
