Command: 'build_nsub1\Release\CED_Schedule.exe' --solver CCHIHH --stable --migration --resample_gate 15 --seed 2 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T200_E100_D300.txt --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5 --nsubpop 1
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 2
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: enabled
  Subpopulations: 1
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"
[Migration] Initialized: 1 subpops, interval=5, pElitist=0.8

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=200, M_Jnum=200, M_OPTnum=5, ops=1000
  Nvar=2400, popsize=40, nSubpop=1
  Block 0 (offload): start=0, len=400
  Block 1 (seq): start=400, len=1000
  Block 2 (dev): start=1400, len=1000
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 4312.24
Gen 50: best_fit = 1702.28
Gen 100: best_fit = 1608.03
Gen 150: best_fit = 1506.48
Gen 200: best_fit = 1448.75
Gen 250: best_fit = 1415.84
Gen 300: best_fit = 1365.15
Gen 350: best_fit = 1365.15
Gen 400: best_fit = 1365.15
Gen 450: best_fit = 1365.15
Gen 500: best_fit = 1352.48
Gen 550: best_fit = 1340.78
Gen 600: best_fit = 1337.56
Gen 650: best_fit = 1326.89
Gen 700: best_fit = 1306.06
Gen 750: best_fit = 1288.09
Gen 800: best_fit = 1274.18
Gen 850: best_fit = 1263.81
Gen 900: best_fit = 1263.81
Gen 950: best_fit = 1253.45
Gen 1000: best_fit = 1250.97
Gen 1050: best_fit = 1224.7
Gen 1100: best_fit = 1222.32
Gen 1150: best_fit = 1220.48
Gen 1200: best_fit = 1210.11
Gen 1250: best_fit = 1210.11
Gen 1300: best_fit = 1189.33
Gen 1350: best_fit = 1175.56
Gen 1400: best_fit = 1164.56
Gen 1450: best_fit = 1164.51
Gen 1500: best_fit = 1163.26
Gen 1550: best_fit = 1161.86
Gen 1600: best_fit = 1159.22
Gen 1650: best_fit = 1158.88
Gen 1700: best_fit = 1157.08
Gen 1750: best_fit = 1156.19
Gen 1800: best_fit = 1152.16
Gen 1850: best_fit = 1148.18
Gen 1900: best_fit = 1144.59
Gen 1950: best_fit = 1126.83
Gen 2000: best_fit = 1126.14
Gen 2050: best_fit = 1126.14
Gen 2100: best_fit = 1126.14
Gen 2150: best_fit = 1126.14
Gen 2200: best_fit = 1124.03
Gen 2250: best_fit = 1121.93
Gen 2300: best_fit = 1121.37
Gen 2350: best_fit = 1120.95
Gen 2400: best_fit = 1120.12
Gen 2450: best_fit = 1120.12
Gen 2500: best_fit = 1114.85
Gen 2550: best_fit = 1113.71
Gen 2600: best_fit = 1113.08
Gen 2650: best_fit = 1113.08
Gen 2700: best_fit = 1113.08
Gen 2750: best_fit = 1113.08
Gen 2800: best_fit = 1112.96
Gen 2850: best_fit = 1112.87
Gen 2900: best_fit = 1112.12
Gen 2950: best_fit = 1109.97
Gen 3000: best_fit = 1107.67
Gen 3050: best_fit = 1105.01
Gen 3100: best_fit = 1104.66
Gen 3150: best_fit = 1103.86
Gen 3200: best_fit = 1103.58
Gen 3250: best_fit = 1103.58
Gen 3300: best_fit = 1103.58
Gen 3350: best_fit = 1103.58
Gen 3400: best_fit = 1097.67
Gen 3450: best_fit = 1097.02
Gen 3500: best_fit = 1093.94
Gen 3550: best_fit = 1092.5
Gen 3600: best_fit = 1088.24
Gen 3650: best_fit = 1088.24
Gen 3700: best_fit = 1088.24
Gen 3750: best_fit = 1088.24
Gen 3800: best_fit = 1088.24
Gen 3850: best_fit = 1088.24
Gen 3900: best_fit = 1088.24
Gen 3950: best_fit = 1088.24
Gen 4000: best_fit = 1088.24
Gen 4050: best_fit = 1088.24
Gen 4100: best_fit = 1088.24
Gen 4150: best_fit = 1088.24
Gen 4200: best_fit = 1088.24
Gen 4250: best_fit = 1088.24
Gen 4300: best_fit = 1088.24
Gen 4350: best_fit = 1088.24
Gen 4400: best_fit = 1088.24
Gen 4450: best_fit = 1088.24
Gen 4500: best_fit = 1088.24
Gen 4550: best_fit = 1088.24
Gen 4600: best_fit = 1088.24
Gen 4650: best_fit = 1088.24
Gen 4700: best_fit = 1088.24
Gen 4750: best_fit = 1088.24
Gen 4800: best_fit = 1088.24
Gen 4850: best_fit = 1088.24
Gen 4900: best_fit = 1088.24
Gen 4950: best_fit = 1088.24
Gen 5000: best_fit = 1088.24
Gen 5050: best_fit = 1088.24
Gen 5100: best_fit = 1088.24
Gen 5150: best_fit = 1088.24
Gen 5200: best_fit = 1084.54
Gen 5250: best_fit = 1084.53
Gen 5300: best_fit = 1084.08
Gen 5350: best_fit = 1083.25
Gen 5400: best_fit = 1076.7
Gen 5450: best_fit = 1070.03
Gen 5500: best_fit = 1070.03
Gen 5550: best_fit = 1070.03
Gen 5600: best_fit = 1070.03
Gen 5650: best_fit = 1070.03
Gen 5700: best_fit = 1070.03
Gen 5750: best_fit = 1070.03
Gen 5800: best_fit = 1070.03
Gen 5850: best_fit = 1070.03
Gen 5900: best_fit = 1070.03
Gen 5950: best_fit = 1070.03
Gen 6000: best_fit = 1070.03
Gen 6050: best_fit = 1070.03
Gen 6100: best_fit = 1070.03
Gen 6150: best_fit = 1070.03
Gen 6200: best_fit = 1070.03
Gen 6250: best_fit = 1070.03
Gen 6300: best_fit = 1070.03
Gen 6350: best_fit = 1070.03
Gen 6400: best_fit = 1070.03
Gen 6450: best_fit = 1070.03
Gen 6500: best_fit = 1070.03
Gen 6550: best_fit = 1070.03
Gen 6600: best_fit = 1070.03
Gen 6650: best_fit = 1070.03
Gen 6700: best_fit = 1070.03
Gen 6750: best_fit = 1070.03
Gen 6800: best_fit = 1070.03
Gen 6850: best_fit = 1070.03
Gen 6900: best_fit = 1070.03
Gen 6950: best_fit = 1070.03
Gen 7000: best_fit = 1070.03
Gen 7050: best_fit = 1070.03
Gen 7100: best_fit = 1070.03
Gen 7150: best_fit = 1070.03
Gen 7200: best_fit = 1070.03
Gen 7250: best_fit = 1070.03
Gen 7300: best_fit = 1070.03
Gen 7350: best_fit = 1070.03
Gen 7400: best_fit = 1070.03
Gen 7450: best_fit = 1070.03
Gen 7500: best_fit = 1070.03
Gen 7550: best_fit = 1070.03
Gen 7600: best_fit = 1070.03
Gen 7650: best_fit = 1070.03
Gen 7700: best_fit = 1070.03
Gen 7750: best_fit = 1069.91
Gen 7800: best_fit = 1069.67
Gen 7850: best_fit = 1069.54
Gen 7900: best_fit = 1069.54
Gen 7950: best_fit = 1069.54
Gen 8000: best_fit = 1069.54
Gen 8050: best_fit = 1069.54
Gen 8100: best_fit = 1069.54
Gen 8150: best_fit = 1069.54
Gen 8200: best_fit = 1069.54
Gen 8250: best_fit = 1069.54
Gen 8300: best_fit = 1069.54
Gen 8350: best_fit = 1069.54
Gen 8400: best_fit = 1069.54
Gen 8450: best_fit = 1069.54
Gen 8500: best_fit = 1069.54
Gen 8550: best_fit = 1069.54
Gen 8600: best_fit = 1069.54
Gen 8650: best_fit = 1069.54
Gen 8700: best_fit = 1069.54
Gen 8750: best_fit = 1069.54
Gen 8800: best_fit = 1069.54
Gen 8850: best_fit = 1069.54
Gen 8900: best_fit = 1069.54
Gen 8950: best_fit = 1069.54
Gen 9000: best_fit = 1069.54
Gen 9050: best_fit = 1069.54
Gen 9100: best_fit = 1069.54
Gen 9150: best_fit = 1069.54
Gen 9200: best_fit = 1069.54
Gen 9250: best_fit = 1069.54
Gen 9300: best_fit = 1069.54
Gen 9350: best_fit = 1069.54
Gen 9400: best_fit = 1069.54
Gen 9450: best_fit = 1069.54
Gen 9500: best_fit = 1063.39
Gen 9550: best_fit = 1062.73
Gen 9600: best_fit = 1062.73
Gen 9650: best_fit = 1062.73
Gen 9700: best_fit = 1062.73
Gen 9750: best_fit = 1062.58
Gen 9800: best_fit = 1062.51
Gen 9850: best_fit = 1062.11
Gen 9900: best_fit = 1062.11
Gen 9950: best_fit = 1059.43
Gen 10000: best_fit = 1058.55

=== Final Results (CC-HIHH-UCB) ===
Solver: CCHIHH
Subpopulations per block: 1
Generations = 10000
The best solution = 1058.55
Time = 81.064 s

exit code 0
