Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_qhh\Release\CED_Schedule.exe' --solver GA --seed 5 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T200_E100_D300.txt --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 5
Pini (heuristic prob): 0.4
Solver: GA
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"
Gen 50: best_fit = 1712.62
Gen 100: best_fit = 1711.66
Gen 150: best_fit = 1687.99
Gen 200: best_fit = 1658.47
Gen 250: best_fit = 1656.23
Gen 300: best_fit = 1650.5
Gen 350: best_fit = 1650.06
Gen 400: best_fit = 1650.06
Gen 450: best_fit = 1649.8
Gen 500: best_fit = 1649.53
Gen 550: best_fit = 1649.5
Gen 600: best_fit = 1639.04
Gen 650: best_fit = 1639.04
Gen 700: best_fit = 1615.63
Gen 750: best_fit = 1608.58
Gen 800: best_fit = 1608.45
Gen 850: best_fit = 1608.3
Gen 900: best_fit = 1608.25
Gen 950: best_fit = 1608.13
Gen 1000: best_fit = 1608.01
Gen 1050: best_fit = 1606.89
Gen 1100: best_fit = 1599.98
Gen 1150: best_fit = 1599.95
Gen 1200: best_fit = 1599.52
Gen 1250: best_fit = 1599.01
Gen 1300: best_fit = 1599.01
Gen 1350: best_fit = 1590.46
Gen 1400: best_fit = 1590.46
Gen 1450: best_fit = 1590.46
Gen 1500: best_fit = 1589.9
Gen 1550: best_fit = 1587.72
Gen 1600: best_fit = 1587.72
Gen 1650: best_fit = 1587.02
Gen 1700: best_fit = 1582.51
Gen 1750: best_fit = 1582.5
Gen 1800: best_fit = 1581.95
Gen 1850: best_fit = 1581.65
Gen 1900: best_fit = 1581.65
Gen 1950: best_fit = 1581.56
Gen 2000: best_fit = 1576.37
Gen 2050: best_fit = 1576.37
Gen 2100: best_fit = 1576.37
Gen 2150: best_fit = 1576.37
Gen 2200: best_fit = 1576.26
Gen 2250: best_fit = 1563.43
Gen 2300: best_fit = 1562.42
Gen 2350: best_fit = 1561.59
Gen 2400: best_fit = 1561.53
Gen 2450: best_fit = 1561.42
Gen 2500: best_fit = 1561.42
Gen 2550: best_fit = 1559.83
Gen 2600: best_fit = 1559.31
Gen 2650: best_fit = 1559.31
Gen 2700: best_fit = 1557.21
Gen 2750: best_fit = 1557
Gen 2800: best_fit = 1556.69
Gen 2850: best_fit = 1556.1
Gen 2900: best_fit = 1545.84
Gen 2950: best_fit = 1545.46
Gen 3000: best_fit = 1545.41
Gen 3050: best_fit = 1545.15
Gen 3100: best_fit = 1518.74
Gen 3150: best_fit = 1517.93
Gen 3200: best_fit = 1517.92
Gen 3250: best_fit = 1517.92
Gen 3300: best_fit = 1517.37
Gen 3350: best_fit = 1517.37
Gen 3400: best_fit = 1517.35
Gen 3450: best_fit = 1517.29
Gen 3500: best_fit = 1503.8
Gen 3550: best_fit = 1501.11
Gen 3600: best_fit = 1501.01
Gen 3650: best_fit = 1499.37
Gen 3700: best_fit = 1497.64
Gen 3750: best_fit = 1497.63
Gen 3800: best_fit = 1497.63
Gen 3850: best_fit = 1497.1
Gen 3900: best_fit = 1496.94
Gen 3950: best_fit = 1496.58
Gen 4000: best_fit = 1450.03
Gen 4050: best_fit = 1445.35
Gen 4100: best_fit = 1445.15
Gen 4150: best_fit = 1445.15
Gen 4200: best_fit = 1444.71
Gen 4250: best_fit = 1444.68
Gen 4300: best_fit = 1443.55
Gen 4350: best_fit = 1442.57
Gen 4400: best_fit = 1442.2
Gen 4450: best_fit = 1442.19
Gen 4500: best_fit = 1441.62
Gen 4550: best_fit = 1434.81
Gen 4600: best_fit = 1432.62
Gen 4650: best_fit = 1429.12
Gen 4700: best_fit = 1428.28
Gen 4750: best_fit = 1427.99
Gen 4800: best_fit = 1427.98
Gen 4850: best_fit = 1427.07
Gen 4900: best_fit = 1426
Gen 4950: best_fit = 1406.29
Gen 5000: best_fit = 1405.57
Gen 5050: best_fit = 1405.54
Gen 5100: best_fit = 1405.46
Gen 5150: best_fit = 1405.44
Gen 5200: best_fit = 1405.41
Gen 5250: best_fit = 1403.89
Gen 5300: best_fit = 1403.77
Gen 5350: best_fit = 1393.9
Gen 5400: best_fit = 1392.57
Gen 5450: best_fit = 1392.57
Gen 5500: best_fit = 1392.13
Gen 5550: best_fit = 1391.4
Gen 5600: best_fit = 1391.04
Gen 5650: best_fit = 1390.88
Gen 5700: best_fit = 1390.76
Gen 5750: best_fit = 1390.58
Gen 5800: best_fit = 1382.33
Gen 5850: best_fit = 1382.03
Gen 5900: best_fit = 1381.94
Gen 5950: best_fit = 1381.65
Gen 6000: best_fit = 1381.65
Gen 6050: best_fit = 1380.81
Gen 6100: best_fit = 1375.99
Gen 6150: best_fit = 1375.3
Gen 6200: best_fit = 1375.3
Gen 6250: best_fit = 1374.48
Gen 6300: best_fit = 1373.8
Gen 6350: best_fit = 1373.8
Gen 6400: best_fit = 1373.72
Gen 6450: best_fit = 1372.66
Gen 6500: best_fit = 1372.46
Gen 6550: best_fit = 1372.46
Gen 6600: best_fit = 1371.87
Gen 6650: best_fit = 1371.83
Gen 6700: best_fit = 1370.64
Gen 6750: best_fit = 1370.64
Gen 6800: best_fit = 1370.64
Gen 6850: best_fit = 1370.04
Gen 6900: best_fit = 1370.04
Gen 6950: best_fit = 1369.82
Gen 7000: best_fit = 1369.8
Gen 7050: best_fit = 1363.77
Gen 7100: best_fit = 1363.77
Gen 7150: best_fit = 1363.68
Gen 7200: best_fit = 1363.52
Gen 7250: best_fit = 1363.33
Gen 7300: best_fit = 1356.86
Gen 7350: best_fit = 1356.47
Gen 7400: best_fit = 1355.32
Gen 7450: best_fit = 1355.07
Gen 7500: best_fit = 1355.07
Gen 7550: best_fit = 1353.07
Gen 7600: best_fit = 1353
Gen 7650: best_fit = 1352.72
Gen 7700: best_fit = 1352.53
Gen 7750: best_fit = 1351.21
Gen 7800: best_fit = 1350.81
Gen 7850: best_fit = 1348.48
Gen 7900: best_fit = 1348.41
Gen 7950: best_fit = 1348.3
Gen 8000: best_fit = 1348.29
Gen 8050: best_fit = 1347.96
Gen 8100: best_fit = 1347.66
Gen 8150: best_fit = 1347.66
Gen 8200: best_fit = 1347.42
Gen 8250: best_fit = 1347.22
Gen 8300: best_fit = 1347.07
Gen 8350: best_fit = 1344.65
Gen 8400: best_fit = 1342.4
Gen 8450: best_fit = 1342.31
Gen 8500: best_fit = 1337.05
Gen 8550: best_fit = 1336.98
Gen 8600: best_fit = 1336.78
Gen 8650: best_fit = 1336.74
Gen 8700: best_fit = 1335.08
Gen 8750: best_fit = 1334.23
Gen 8800: best_fit = 1332.33
Gen 8850: best_fit = 1324.87
Gen 8900: best_fit = 1324.41
Gen 8950: best_fit = 1323.37
Gen 9000: best_fit = 1323.28
Gen 9050: best_fit = 1323.25
Gen 9100: best_fit = 1322.92
Gen 9150: best_fit = 1322.39
Gen 9200: best_fit = 1322.24
Gen 9250: best_fit = 1320.03
Gen 9300: best_fit = 1319.88
Gen 9350: best_fit = 1319.61
Gen 9400: best_fit = 1319.52
Gen 9450: best_fit = 1319.52
Gen 9500: best_fit = 1318.98
Gen 9550: best_fit = 1318.84
Gen 9600: best_fit = 1317.64
Gen 9650: best_fit = 1317.64
Gen 9700: best_fit = 1317.63
Gen 9750: best_fit = 1316.62
Gen 9800: best_fit = 1316.09
Gen 9850: best_fit = 1316.05
Gen 9900: best_fit = 1315.83
Gen 9950: best_fit = 1315.76
Gen 10000: best_fit = 1315.76

=== Final Results ===
Solver: GA
Generation = 10000
The best solution = 1315.76
Time = 21.146 s

exit code 0
