gen,GA,DE,GDE,CCHIHH (non-stable),CCHIHH (stable)
1,1.4792320499474567e-05,1.5014755463055632e-05,1.1924183142555457e-05,1.500418314255558e-05,1.500418314255558e-05
2,1.4510156087402323e-05,1.5099791883451872e-05,1.4121248699265537e-05,1.6353132154007194e-05,1.6353132154007194e-05
3,1.4510156087402323e-05,1.5099791883451872e-05,1.58095733610774e-05,2.3132861602497253e-05,2.4412237252867556e-05
4,1.5923683662843144e-05,1.5264328824138228e-05,1.613086368365589e-05,1.9779334027052432e-05,2.431015608741021e-05
5,1.5923683662843144e-05,1.571818938605165e-05,2.271028095733408e-05,1.620349635795808e-05,2.5429947970869266e-05
6,1.5923683662843144e-05,1.571818938605165e-05,2.0383995837667002e-05,1.898264308012726e-05,2.5293465140483682e-05
7,1.5727450572312364e-05,1.571818938605165e-05,1.820126951092716e-05,1.6609386056193388e-05,2.6997023933397926e-05
8,1.5727450572312364e-05,1.5687346514043425e-05,1.8543225806456177e-05,1.9573340270550862e-05,2.4462539021851676e-05
9,1.5727450572312364e-05,1.5687346514043425e-05,2.3783288241419982e-05,2.0433465140482347e-05,2.2869531737771582e-05
10,2.0876836628505757e-05,1.5687346514043425e-05,2.3736191467227338e-05,2.034216441207593e-05,2.3546722164411002e-05
11,2.0876836628505757e-05,1.5687346514043425e-05,2.865290322581152e-05,1.610126951093007e-05,2.6307866805411977e-05
12,2.2257898022886146e-05,1.5077086368362796e-05,3.477055150885165e-05,3.8649302809569766e-05,2.5417003121751275e-05
13,2.2257898022886146e-05,3.630861602497073e-05,3.323712799168179e-05,4.4808949011441285e-05,2.4458980228931036e-05
14,2.220938605618516e-05,3.5931467221640566e-05,3.785223725286792e-05,4.5828886576480296e-05,2.7248012486991293e-05
15,2.220938605618516e-05,3.5931467221640566e-05,3.268228928200725e-05,4.575966701352366e-05,3.207078043704055e-05
16,2.220938605618516e-05,3.659302809572849e-05,2.878047866806361e-05,5.07637877211158e-05,3.0046347554620954e-05
17,2.056634755462524e-05,3.659302809572849e-05,2.9851862643087614e-05,4.353737773152438e-05,3.105619146721996e-05
18,2.056634755462524e-05,4.063818938604815e-05,3.0745078043713376e-05,4.473411030176388e-05,3.0666514047869586e-05
19,2.056634755462524e-05,8.341344432881943e-05,3.392298888889623e-05,4.837544224765641e-05,3.297123829344439e-05
20,2.056634755462524e-05,8.920054110301432e-05,3.475698888889056e-05,4.389712799167528e-05,3.062220603538111e-05
21,2.056634755462524e-05,9.574628511966311e-05,3.649512222222776e-05,4.3690593132155516e-05,3.2333902185221695e-05
22,2.056634755462524e-05,9.764486992715581e-05,3.6976055555563384e-05,4.7536441207071156e-05,3.5629032258065855e-05
23,2.034476586888069e-05,0.0001083611446409939,3.3491733333338155e-05,4.607207075962147e-05,4.115866805411591e-05
24,2.034476586888069e-05,0.00011784241415192093,3.489800000000289e-05,4.663529656607083e-05,4.509802289282498e-05
25,2.034476586888069e-05,0.000134349261186265,4.078498888889084e-05,4.106112382934201e-05,4.8028095733618666e-05
26,2.0362247658682664e-05,0.0002704421644120783,4.008026666666955e-05,4.076822060353956e-05,4.482616024973855e-05
27,2.0362247658682664e-05,0.0003017015400624436,4.509543333333021e-05,4.013667013527467e-05,5.006953173777625e-05
28,2.0362247658682664e-05,0.00031577419354840235,4.3810488888884314e-05,4.314636836628383e-05,5.57597918834528e-05
29,2.0362247658682664e-05,0.000342248054110307,4.733982222221688e-05,4.3908886576480206e-05,5.27953173777359e-05
30,2.0362247658682664e-05,0.0003621957336108258,4.440715555554862e-05,4.172894901145129e-05,5.083673257023766e-05
31,2.0362247658682664e-05,0.00037098651404787286,4.420512222221697e-05,3.631902185223443e-05,5.831078043704865e-05
32,2.0362247658682664e-05,0.00039330572320498206,4.211872222221872e-05,3.674118626430386e-05,6.272255983350857e-05
33,2.0362247658682664e-05,0.00045685431841830694,4.3832222222217085e-05,3.843804370447101e-05,6.60173152965631e-05
34,2.0362247658682664e-05,0.00046637962539021065,4.9421833333329784e-05,3.7815442247657166e-05,7.231768990634111e-05
35,2.0362247658682664e-05,0.00046155931321539384,4.923432222221795e-05,4.119812695109195e-05,7.543573361081549e-05
