=== CED_Schedule Configuration ===
Data directory: ".\\\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 6
Pini (heuristic prob): 0.4
Solver: CCHIHH
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
=================================
[Initial] Loading data from: ".\\\\data\\data_matrix_100.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=100, M_Jnum=100, M_OPTnum=5, ops=500
  Nvar=1200, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=200
  Block 1 (seq): start=200, len=500
  Block 2 (dev): start=700, len=500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 55.8196
Gen 50: best_fit = 55.7401
Gen 100: best_fit = 55.696
Gen 150: best_fit = 55.6748
Gen 200: best_fit = 55.6637
Gen 250: best_fit = 55.639
Gen 300: best_fit = 55.6227
Gen 350: best_fit = 55.6005
Gen 400: best_fit = 55.5867
Gen 450: best_fit = 55.5713
Gen 500: best_fit = 55.5553
Gen 550: best_fit = 55.5408
Gen 600: best_fit = 55.5266
Gen 650: best_fit = 55.5072
Gen 700: best_fit = 55.4949
Gen 750: best_fit = 55.4899
Gen 800: best_fit = 55.4789
Gen 850: best_fit = 55.4675
Gen 900: best_fit = 55.461
Gen 950: best_fit = 55.4536
Gen 1000: best_fit = 55.4459
Gen 1050: best_fit = 55.436
Gen 1100: best_fit = 55.4253
Gen 1150: best_fit = 55.4209
Gen 1200: best_fit = 55.4126
Gen 1250: best_fit = 55.404
Gen 1300: best_fit = 55.3994
Gen 1350: best_fit = 55.396
Gen 1400: best_fit = 55.392
Gen 1450: best_fit = 55.3806
Gen 1500: best_fit = 55.3744
Gen 1550: best_fit = 55.3701
Gen 1600: best_fit = 55.3618
Gen 1650: best_fit = 55.3578
Gen 1700: best_fit = 55.3504
Gen 1750: best_fit = 55.3495
Gen 1800: best_fit = 55.3458
Gen 1850: best_fit = 55.3415
Gen 1900: best_fit = 55.3362
Gen 1950: best_fit = 55.3319
Gen 2000: best_fit = 55.3288
Gen 2050: best_fit = 55.3239
Gen 2100: best_fit = 55.3199
Gen 2150: best_fit = 55.311
