=== CED_Schedule Configuration ===
Data directory: "data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 3
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/100/5
Migration: disabled
=================================
[Initial] Loading data from: "data\\data_matrix_100.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=100, M_Jnum=100, M_OPTnum=5, ops=500
  Nvar=1200, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=200
  Block 1 (seq): start=200, len=500
  Block 2 (dev): start=700, len=500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 55.8075
Gen 50: best_fit = 55.7478
Gen 100: best_fit = 55.721
Gen 150: best_fit = 55.697
Gen 200: best_fit = 55.6591
Gen 250: best_fit = 55.6467
Gen 300: best_fit = 55.6236
Gen 350: best_fit = 55.5981
Gen 400: best_fit = 55.583
Gen 450: best_fit = 55.5676
Gen 500: best_fit = 55.5559
Gen 550: best_fit = 55.5476
Gen 600: best_fit = 55.5334
Gen 650: best_fit = 55.5208
Gen 700: best_fit = 55.5063
Gen 750: best_fit = 55.4976
Gen 800: best_fit = 55.494
Gen 850: best_fit = 55.4782
Gen 900: best_fit = 55.4712
Gen 950: best_fit = 55.4628
Gen 1000: best_fit = 55.4493
Gen 1050: best_fit = 55.4416
Gen 1100: best_fit = 55.437
Gen 1150: best_fit = 55.4259
Gen 1200: best_fit = 55.4219
Gen 1250: best_fit = 55.4095
Gen 1300: best_fit = 55.4022
Gen 1350: best_fit = 55.392
Gen 1400: best_fit = 55.3821
Gen 1450: best_fit = 55.3775
Gen 1500: best_fit = 55.3772
Gen 1550: best_fit = 55.3698
Gen 1600: best_fit = 55.3624
Gen 1650: best_fit = 55.3609
Gen 1700: best_fit = 55.3566
Gen 1750: best_fit = 55.3547
Gen 1800: best_fit = 55.3504
Gen 1850: best_fit = 55.343
Gen 1900: best_fit = 55.343
Gen 1950: best_fit = 55.3347
Gen 2000: best_fit = 55.3304
Gen 2050: best_fit = 55.3258
Gen 2100: best_fit = 55.3181
Gen 2150: best_fit = 55.3144
Gen 2200: best_fit = 55.3104
Gen 2250: best_fit = 55.306
Gen 2300: best_fit = 55.3017
